"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","addisfortune.news","addisstandard.com","capitalethiopia.com","thereporterethiopia.com","ethiopianmonitor.com"
"2012-11-01","Ethiopia",0,1,1,1,0,0,0,2,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00869565217391304,0.00869565217391304,0.00869565217391304,0,0,0,0.0173913043478261,0.00869565217391304,0.0173913043478261,0,0,0,0.00869565217391304,0,0.00869565217391304,0,0,0.00869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0.00869565217391304,0,0,0.00869565217391304,0.00869565217391304,0,0.00869565217391304,0,0.00869565217391304,0,115,99,115,2.59902311888663,0,0,115,0,1,1,0,0
"2012-12-01","Ethiopia",0,0,2,0,11,0,0,0,1,1,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147058823529412,0,0.0808823529411765,0,0,0,0.00735294117647059,0.00735294117647059,0,0.0147058823529412,0.0147058823529412,0,0,0.00735294117647059,0,0,0,0.00735294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0.0294117647058824,0,0,0,0.0147058823529412,0,0,0,0,0,136,110,135,3.41643766319723,0,0.0147058823529412,136,0,1,1,0,0
"2013-01-01","Ethiopia",2,0,4,0,24,2,0,1,3,1,0,5,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892857142857143,0,0.0178571428571429,0,0.107142857142857,0.00892857142857143,0,0.00446428571428571,0.0133928571428571,0.00446428571428571,0,0.0223214285714286,0,0.00446428571428571,0,0,0,0,0.00892857142857143,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1,0.00892857142857143,0,0,0,0.00446428571428571,0.00446428571428571,0,0,0,0.00446428571428571,0.00446428571428571,224,166,224,4.1671504906878,0,0.00446428571428571,224,0,1,1,0,0
"2013-02-01","Ethiopia",1,1,1,1,12,0,0,1,5,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00735294117647059,0.00735294117647059,0.00735294117647059,0.00735294117647059,0.0882352941176471,0,0,0.00735294117647059,0.0367647058823529,0,0,0,0.0147058823529412,0.00735294117647059,0.0147058823529412,0,0,0,0,0.00735294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0147058823529412,0,0,0,0,0,0,0,0,0,136,107,136,4.08069276606664,0,0,136,0,1,1,0,0
"2013-03-01","Ethiopia",1,1,2,0,6,5,0,1,3,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.00549450549450549,0.00549450549450549,0.010989010989011,0,0.032967032967033,0.0274725274725275,0,0.00549450549450549,0.0164835164835165,0,0,0.021978021978022,0,0,0,0,0,0,0,0.0164835164835165,0,0,0,0,0,0,0,0.00549450549450549,0.00549450549450549,0,0,0,0,0,3,6,0,0,0,1,0,0,0,0,1,0.0164835164835165,0.032967032967033,0,0,0,0.00549450549450549,0,0,0,0,0.00549450549450549,182,146,180,4.10514278316505,0,0.010989010989011,182,0,1,1,0,0
"2013-04-01","Ethiopia",1,0,3,1,9,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00641025641025641,0,0.0192307692307692,0.00641025641025641,0.0576923076923077,0.00641025641025641,0,0.00641025641025641,0,0,0,0.00641025641025641,0.00641025641025641,0,0,0,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.00641025641025641,0,0,0,0.00641025641025641,0.00641025641025641,0,0,0,0,0,156,133,155,3.02462765400813,0,0.00641025641025641,156,0,1,1,0,0
"2013-05-01","Ethiopia",7,0,2,0,5,0,1,1,18,2,0,2,14,1,1,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02734375,0,0.0078125,0,0.01953125,0,0.00390625,0.00390625,0.0703125,0.0078125,0,0.0078125,0.0546875,0.00390625,0.00390625,0,0,0.00390625,0.00390625,0.0234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,2,1,0,0,0,0,0.00390625,0.015625,0.00390625,0,0.0078125,0.0078125,0.00390625,0,0,0,0,256,198,256,6.9664157279013,0,0.00390625,256,0,1,1,0,0
"2013-06-01","Ethiopia",0,0,0,2,10,1,0,0,8,0,0,0,6,1,3,1,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00961538461538462,0.0480769230769231,0.00480769230769231,0,0,0.0384615384615385,0,0,0,0.0288461538461538,0.00480769230769231,0.0144230769230769,0.00480769230769231,0,0.0192307692307692,0.0144230769230769,0,0,0,0,0,0,0,0,0.00480769230769231,0,0,0,0,0,0,0,7,3,0,2,0,1,0,1,0,0,0,0.0336538461538462,0.0144230769230769,0,0.00961538461538462,0,0.00480769230769231,0,0.00480769230769231,0,0,208,164,207,5.36515774813224,0,0.00961538461538462,208,0,1,1,0,0
"2013-07-01","Ethiopia",1,1,3,0,4,5,0,3,7,3,0,2,13,1,3,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00471698113207547,0.00471698113207547,0.0141509433962264,0,0.0188679245283019,0.0235849056603774,0,0.0141509433962264,0.0330188679245283,0.0141509433962264,0,0.00943396226415094,0.0613207547169811,0.00471698113207547,0.0141509433962264,0.0235849056603774,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,0,2,1,0,3,7,1,0,0,0,0,0,0.00943396226415094,0.00471698113207547,0,0.0141509433962264,0.0330188679245283,0.00471698113207547,0,0,0,0,212,159,211,6.14833170137623,0,0.00471698113207547,212,0,1,1,0,0
"2013-08-01","Ethiopia",0,0,1,0,3,0,0,9,2,1,0,1,2,0,7,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591715976331361,0,0.0177514792899408,0,0,0.0532544378698225,0.0118343195266272,0.00591715976331361,0,0.00591715976331361,0.0118343195266272,0,0.0414201183431953,0.00591715976331361,0,0,0,0.0177514792899408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0.0236686390532544,0.00591715976331361,0,0.00591715976331361,0.00591715976331361,0,0,0,0,0,169,135,169,3.88488702543048,0.00591715976331361,0.0118343195266272,169,0,1,1,0,0
