"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","investment","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles"
"2012-01-01","Jamaica",2,0,32,4,20,0,0,9,20,6,16,1,8,1,3,5,0,0,4,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0.00163265306122449,0,0.0261224489795918,0.00326530612244898,0.0163265306122449,0,0,0.0073469387755102,0.0163265306122449,0.00489795918367347,0.0130612244897959,0.000816326530612245,0.00653061224489796,0.000816326530612245,0.00244897959183673,0.00408163265306122,0,0,0.00326530612244898,0.00163265306122449,0,0,0,0,0,0.00244897959183673,0,0,0,0,0.000816326530612245,0,0,39,18,11,0,78,10,2,0,4,27,10,0.0318367346938776,0.0146938775510204,0.00897959183673469,0,0.0636734693877551,0.00816326530612245,0.00163265306122449,0,0.00326530612244898,0.0220408163265306,0.00816326530612245,1225,912,4,2.46244320788455,0,0.00326530612244898,1225
"2012-02-01","Jamaica",2,2,13,4,14,2,0,27,23,9,6,5,12,4,5,6,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00168350168350168,0.00168350168350168,0.0109427609427609,0.00336700336700337,0.0117845117845118,0.00168350168350168,0,0.0227272727272727,0.0193602693602694,0.00757575757575758,0.00505050505050505,0.00420875420875421,0.0101010101010101,0.00336700336700337,0.00420875420875421,0.00505050505050505,0,0,0.00168350168350168,0.00168350168350168,0,0,0,0,0,0.000841750841750842,0,0,0,0,0,0,0,26,25,14,0,79,13,3,0,0,24,3,0.0218855218855219,0.021043771043771,0.0117845117845118,0,0.0664983164983165,0.0109427609427609,0.00252525252525253,0,0,0.0202020202020202,0.00252525252525253,1188,889,1,5.04344417693349,0.000841750841750842,0,1188
"2012-03-01","Jamaica",2,2,56,7,11,3,1,24,19,12,12,5,15,4,12,8,1,1,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00153727901614143,0.00153727901614143,0.04304381245196,0.005380476556495,0.00845503458877786,0.00230591852421214,0.000768639508070715,0.0184473481936972,0.0146041506533436,0.00922367409684858,0.00922367409684858,0.00384319754035357,0.0115295926210607,0.00307455803228286,0.00922367409684858,0.00614911606456572,0.000768639508070715,0.000768639508070715,0.00384319754035357,0.00307455803228286,0,0,0,0,0,0.000768639508070715,0,0,0,0,0,0,0,26,10,8,3,65,19,3,1,0,21,12,0.0199846272098386,0.00768639508070715,0.00614911606456572,0.00230591852421214,0.0499615680245965,0.0146041506533436,0.00230591852421214,0.000768639508070715,0,0.016141429669485,0.00922367409684858,1301,955,6,6.79726735644325,0.000768639508070715,0,1301
"2012-04-01","Jamaica",1,1,9,2,4,0,1,23,19,12,3,0,10,2,3,6,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.00088261253309797,0.00088261253309797,0.00794351279788173,0.00176522506619594,0.00353045013239188,0,0.00088261253309797,0.0203000882612533,0.0167696381288614,0.0105913503971756,0.00264783759929391,0,0.0088261253309797,0.00176522506619594,0.00264783759929391,0.00529567519858782,0,0.00176522506619594,0.00088261253309797,0,0,0,0,0,0,0,0.00176522506619594,0,0,0,0,0,0,19,25,16,1,95,18,4,1,1,21,10,0.0167696381288614,0.0220653133274493,0.0141218005295675,0.00088261253309797,0.0838481906443072,0.0158870255957635,0.00353045013239188,0.00088261253309797,0.00088261253309797,0.0185348631950574,0.0088261253309797,1133,850,4,4.58493588764433,0,0.00176522506619594,1133
"2012-05-01","Jamaica",5,0,3,0,4,2,0,13,26,13,3,1,13,4,6,1,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00408830744071954,0,0.00245298446443173,0,0.00327064595257563,0.00163532297628782,0,0.0106295993458708,0.0212591986917416,0.0106295993458708,0.00245298446443173,0.000817661488143908,0.0106295993458708,0.00327064595257563,0.00490596892886345,0.000817661488143908,0,0,0.00327064595257563,0.00163532297628782,0,0,0,0,0,0,0.000817661488143908,0,0,0,0,0,0,34,26,13,1,86,23,4,3,3,12,11,0.0278004905968929,0.0212591986917416,0.0106295993458708,0.000817661488143908,0.0703188879803761,0.0188062142273099,0.00327064595257563,0.00245298446443173,0.00245298446443173,0.0098119378577269,0.00899427636958299,1223,933,16,5.49835507865226,0,0.00163532297628782,1223
"2012-06-01","Jamaica",0,0,7,0,6,1,0,26,15,11,10,0,8,1,2,5,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583333333333333,0,0.005,0.000833333333333333,0,0.0216666666666667,0.0125,0.00916666666666667,0.00833333333333333,0,0.00666666666666667,0.000833333333333333,0.00166666666666667,0.00416666666666667,0,0.0025,0.00583333333333333,0.000833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,33,16,30,2,118,27,8,0,0,31,6,0.0275,0.0133333333333333,0.025,0.00166666666666667,0.0983333333333333,0.0225,0.00666666666666667,0,0,0.0258333333333333,0.005,1200,864,12,3.38589655072824,0,0,1200
"2012-07-01","Jamaica",2,0,5,0,8,0,0,21,31,7,4,3,7,1,2,6,0,1,5,2,0,0,0,0,0,1,3,0,0,0,1,0,0,0.00152091254752852,0,0.00380228136882129,0,0.00608365019011407,0,0,0.0159695817490494,0.023574144486692,0.00532319391634981,0.00304182509505703,0.00228136882129278,0.00532319391634981,0.000760456273764259,0.00152091254752852,0.00456273764258555,0,0.000760456273764259,0.00380228136882129,0.00152091254752852,0,0,0,0,0,0.000760456273764259,0.00228136882129278,0,0,0,0.000760456273764259,0,0,41,9,10,1,79,10,1,1,0,23,5,0.0311787072243346,0.00684410646387833,0.00760456273764259,0.000760456273764259,0.0600760456273764,0.00760456273764259,0.000760456273764259,0.000760456273764259,0,0.0174904942965779,0.00380228136882129,1315,1047,37,3.7890353411031,0.000760456273764259,0.00304182509505703,1315
"2012-08-01","Jamaica",1,0,4,0,7,2,0,44,23,5,5,1,16,2,7,3,0,0,1,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0.000694444444444444,0,0.00277777777777778,0,0.00486111111111111,0.00138888888888889,0,0.0305555555555556,0.0159722222222222,0.00347222222222222,0.00347222222222222,0.000694444444444444,0.0111111111111111,0.00138888888888889,0.00486111111111111,0.00208333333333333,0,0,0.000694444444444444,0.00208333333333333,0,0,0,0,0,0.000694444444444444,0.00138888888888889,0,0,0,0,0,0,19,8,15,0,48,6,1,1,2,14,6,0.0131944444444444,0.00555555555555556,0.0104166666666667,0,0.0333333333333333,0.00416666666666667,0.000694444444444444,0.000694444444444444,0.00138888888888889,0.00972222222222222,0.00416666666666667,1440,1226,131,3.83814916576116,0,0.00416666666666667,1440
"2012-09-01","Jamaica",3,1,4,1,13,1,2,25,13,6,2,0,3,3,13,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255102040816327,0.000850340136054422,0.00340136054421769,0.000850340136054422,0.0110544217687075,0.000850340136054422,0.00170068027210884,0.0212585034013605,0.0110544217687075,0.00510204081632653,0.00170068027210884,0,0.00255102040816327,0.00255102040816327,0.0110544217687075,0,0,0.00255102040816327,0.00510204081632653,0.00255102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,7,0,77,11,4,1,1,24,9,0.0229591836734694,0.0195578231292517,0.00595238095238095,0,0.0654761904761905,0.00935374149659864,0.00340136054421769,0.000850340136054422,0.000850340136054422,0.0204081632653061,0.0076530612244898,1176,902,5,5.04042490899805,0,0,1176
"2012-10-01","Jamaica",1,0,4,0,11,1,0,158,15,10,11,1,8,1,3,4,0,2,2,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0.000726216412490922,0,0.00290486564996369,0,0.00798838053740015,0.000726216412490922,0,0.114742193173566,0.0108932461873638,0.00726216412490922,0.00798838053740015,0.000726216412490922,0.00580973129992738,0.000726216412490922,0.00217864923747277,0.00290486564996369,0,0.00145243282498184,0.00145243282498184,0.00217864923747277,0,0,0,0,0,0.000726216412490922,0.00145243282498184,0,0,0,0,0,0,31,12,17,0,95,14,0,3,1,33,11,0.0225127087872186,0.00871459694989107,0.0123456790123457,0,0.0689905591866376,0.0101670297748729,0,0.00217864923747277,0.000726216412490922,0.0239651416122004,0.00798838053740015,1377,949,3,2.75066403515116,0.000726216412490922,0.00145243282498184,1377
