"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","mwebantu.com","diggers.news","openzambia.com","lusakavoice.com","dailynationzambia.com","zambianewsnetwork.com","zambianobserver.com"
"2012-11-01","Zambia",6,1,9,1,5,1,0,8,9,5,0,0,10,6,1,5,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154241645244216,0.0025706940874036,0.0231362467866324,0.0025706940874036,0.012853470437018,0.0025706940874036,0,0.0205655526992288,0.0231362467866324,0.012853470437018,0,0,0.025706940874036,0.0154241645244216,0.0025706940874036,0.012853470437018,0,0.0179948586118252,0.0025706940874036,0.0077120822622108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,11,3,0,1,2,2,2,0.0154241645244216,0.0051413881748072,0.0102827763496144,0,0.0282776349614396,0.0077120822622108,0,0.0025706940874036,0.0051413881748072,0.0051413881748072,0.0051413881748072,389,291,389,4.66953042921994,0,0.0025706940874036,389,0,0,0,1,1,0,0
"2012-12-01","Zambia",5,3,7,3,7,1,0,4,23,11,1,2,25,6,11,12,0,5,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0103734439834025,0.00622406639004149,0.0145228215767635,0.00622406639004149,0.0145228215767635,0.0020746887966805,0,0.00829875518672199,0.0477178423236514,0.0228215767634855,0.0020746887966805,0.004149377593361,0.0518672199170125,0.012448132780083,0.0228215767634855,0.024896265560166,0,0.0103734439834025,0,0.00829875518672199,0.0020746887966805,0,0,0,0,0,0,0.0020746887966805,0,0,0,0,0,0,0,0,4,1,6,0,9,5,3,0,0,3,1,0.00829875518672199,0.0020746887966805,0.012448132780083,0,0.0186721991701245,0.0103734439834025,0.00622406639004149,0,0,0.00622406639004149,0.0020746887966805,482,347,480,6.00795395343093,0,0.00622406639004149,482,0,0,0,1,1,0,0
"2013-01-01","Zambia",11,0,19,3,8,0,1,13,35,12,1,8,30,3,7,20,0,7,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0136986301369863,0,0.0236612702366127,0.0037359900373599,0.0099626400996264,0,0.0012453300124533,0.0161892901618929,0.0435865504358655,0.0149439601494396,0.0012453300124533,0.0099626400996264,0.037359900373599,0.0037359900373599,0.0087173100871731,0.024906600249066,0,0.0087173100871731,0.0012453300124533,0.0049813200498132,0,0,0,0,0,0,0,0.0012453300124533,0,0,0,0,0,0.0012453300124533,0,0.0012453300124533,17,8,11,5,33,9,3,0,3,5,4,0.0211706102117061,0.0099626400996264,0.0136986301369863,0.0062266500622665,0.0410958904109589,0.0112079701120797,0.0037359900373599,0,0.0037359900373599,0.0062266500622665,0.0049813200498132,803,565,799,4.69716233322533,0,0.0062266500622665,803,0,0,0,1,1,0,0
"2013-02-01","Zambia",12,1,31,12,13,6,1,32,36,21,1,5,34,9,11,10,1,9,6,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.00925925925925926,0.000771604938271605,0.0239197530864198,0.00925925925925926,0.0100308641975309,0.00462962962962963,0.000771604938271605,0.0246913580246914,0.0277777777777778,0.0162037037037037,0.000771604938271605,0.00385802469135802,0.0262345679012346,0.00694444444444444,0.00848765432098765,0.00771604938271605,0.000771604938271605,0.00694444444444444,0.00462962962962963,0.00540123456790123,0,0,0,0,0,0,0,0.000771604938271605,0,0.000771604938271605,0,0,0,0,0,0,26,19,9,0,32,15,3,1,4,10,2,0.0200617283950617,0.0146604938271605,0.00694444444444444,0,0.0246913580246914,0.0115740740740741,0.00231481481481481,0.000771604938271605,0.00308641975308642,0.00771604938271605,0.00154320987654321,1296,958,1292,3.84419068397782,0.00154320987654321,0.00462962962962963,1296,0,0,0,1,1,0,0
"2013-03-01","Zambia",15,0,41,3,14,1,1,20,35,15,0,10,26,5,8,11,0,11,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0118953211736717,0,0.0325138778747026,0.00237906423473434,0.0111022997620936,0.000793021411578113,0.000793021411578113,0.0158604282315623,0.0277557494052339,0.0118953211736717,0,0.00793021411578113,0.0206185567010309,0.00396510705789056,0.0063441712926249,0.00872323552735924,0,0.00872323552735924,0.00158604282315623,0.000793021411578113,0,0,0,0,0.00158604282315623,0.00158604282315623,0,0,0,0,0,0,0,0,0,0,34,21,9,0,29,12,2,0,5,8,6,0.0269627279936558,0.0166534496431404,0.00713719270420301,0,0.0229976209357653,0.00951625693893735,0.00158604282315623,0,0.00396510705789056,0.0063441712926249,0.00475812846946868,1261,948,1257,3.07684223368986,0,0.0063441712926249,1261,0,0,0,1,0,0,0
"2013-04-01","Zambia",10,0,32,8,12,2,0,20,35,30,0,0,30,1,8,11,1,2,0,3,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0.00909090909090909,0,0.0290909090909091,0.00727272727272727,0.0109090909090909,0.00181818181818182,0,0.0181818181818182,0.0318181818181818,0.0272727272727273,0,0,0.0272727272727273,0.000909090909090909,0.00727272727272727,0.01,0.000909090909090909,0.00181818181818182,0,0.00272727272727273,0,0,0,0,0.000909090909090909,0.00181818181818182,0,0.000909090909090909,0,0,0,0,0,0.000909090909090909,0,0,19,14,9,1,28,13,3,0,0,7,5,0.0172727272727273,0.0127272727272727,0.00818181818181818,0.000909090909090909,0.0254545454545455,0.0118181818181818,0.00272727272727273,0,0,0.00636363636363636,0.00454545454545455,1100,834,1092,3.28307625190857,0,0.0136363636363636,1100,0,0,0,1,0,0,0
"2013-05-01","Zambia",3,6,25,4,17,1,1,12,21,14,0,1,13,6,15,6,1,12,0,8,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.00249376558603491,0.00498753117206983,0.0207813798836243,0.00332502078137988,0.0141313383208645,0.000831255195344971,0.000831255195344971,0.00997506234413965,0.0174563591022444,0.0116375727348296,0,0.000831255195344971,0.0108063175394846,0.00498753117206983,0.0124688279301746,0.00498753117206983,0.000831255195344971,0.00997506234413965,0,0.00665004156275977,0,0,0,0,0.000831255195344971,0.000831255195344971,0,0.000831255195344971,0,0,0,0,0,0,0,0,24,18,7,0,17,18,3,1,2,8,8,0.0199501246882793,0.0149625935162095,0.0058187863674148,0,0.0141313383208645,0.0149625935162095,0.00249376558603491,0.000831255195344971,0.00166251039068994,0.00665004156275977,0.00665004156275977,1203,944,1199,2.33092996381353,0,0.00665004156275977,1203,0,0,0,1,0,0,0
"2013-06-01","Zambia",5,3,39,6,10,0,0,15,32,22,0,2,22,4,7,11,2,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00379362670713202,0.00227617602427921,0.0295902883156297,0.00455235204855842,0.00758725341426404,0,0,0.0113808801213961,0.0242792109256449,0.0166919575113809,0,0.00151745068285281,0.0166919575113809,0.00303490136570561,0.00531107738998483,0.00834597875569044,0.00151745068285281,0.00455235204855842,0.00303490136570561,0.00758725341426404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,12,1,27,17,0,3,3,7,8,0.0113808801213961,0.0144157814871017,0.00910470409711684,0.000758725341426404,0.0204855842185129,0.0128983308042489,0,0.00227617602427921,0.00227617602427921,0.00531107738998483,0.00606980273141123,1318,1036,1318,2.37022257841384,0,0.00227617602427921,1318,0,0,0,1,0,0,0
"2013-07-01","Zambia",13,5,29,3,15,5,3,18,31,19,0,2,17,8,7,7,3,12,0,9,0,1,0,0,2,1,0,0,0,1,1,0,1,0,0,0,0.0131048387096774,0.00504032258064516,0.0292338709677419,0.0030241935483871,0.0151209677419355,0.00504032258064516,0.0030241935483871,0.0181451612903226,0.03125,0.0191532258064516,0,0.00201612903225806,0.0171370967741935,0.00806451612903226,0.00705645161290323,0.00705645161290323,0.0030241935483871,0.0120967741935484,0,0.00907258064516129,0,0.00100806451612903,0,0,0.00201612903225806,0.00100806451612903,0,0,0,0.00100806451612903,0.00100806451612903,0,0.00100806451612903,0,0,0,15,10,7,1,30,12,1,1,5,6,4,0.0151209677419355,0.0100806451612903,0.00705645161290323,0.00100806451612903,0.030241935483871,0.0120967741935484,0.00100806451612903,0.00100806451612903,0.00504032258064516,0.00604838709677419,0.00403225806451613,992,717,985,4.6400737332364,0,0.00806451612903226,992,0,0,0,1,0,0,0
"2013-08-01","Zambia",8,3,16,8,7,1,0,6,39,7,0,2,35,1,6,14,0,7,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0106382978723404,0.00398936170212766,0.0212765957446809,0.0106382978723404,0.00930851063829787,0.00132978723404255,0,0.00797872340425532,0.0518617021276596,0.00930851063829787,0,0.00265957446808511,0.0465425531914894,0.00132978723404255,0.00797872340425532,0.0186170212765957,0,0.00930851063829787,0.00132978723404255,0.00132978723404255,0,0,0,0.00132978723404255,0,0,0.00132978723404255,0,0,0,0,0,0,0,0,0,12,6,13,0,26,8,3,0,2,7,6,0.0159574468085106,0.00797872340425532,0.0172872340425532,0,0.0345744680851064,0.0106382978723404,0.00398936170212766,0,0.00265957446808511,0.00930851063829787,0.00797872340425532,752,548,750,4.99526719189427,0,0.00398936170212766,752,0,0,0,1,0,0,0
