"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","lahora.gt"
"2014-09-01","Guatemala",7,2,20,1,7,0,0,22,29,12,4,2,17,3,11,9,0,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00869565217391304,0.00248447204968944,0.0248447204968944,0.00124223602484472,0.00869565217391304,0,0,0.0273291925465838,0.0360248447204969,0.0149068322981366,0.00496894409937888,0.00248447204968944,0.0211180124223602,0.00372670807453416,0.0136645962732919,0.0111801242236025,0,0.00124223602484472,0.00993788819875776,0.00745341614906832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,3,0,19,19,1,0,0,7,7,0.0136645962732919,0.0062111801242236,0.00372670807453416,0,0.0236024844720497,0.0236024844720497,0.00124223602484472,0,0,0.00869565217391304,0.00869565217391304,805,591,4,4.14324223456958,0,0,805,1
"2014-10-01","Guatemala",4,0,16,3,7,2,2,33,34,7,2,2,10,3,8,8,0,4,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00455580865603645,0,0.0182232346241458,0.00341685649202733,0.00797266514806378,0.00227790432801822,0.00227790432801822,0.0375854214123007,0.0387243735763098,0.00797266514806378,0.00227790432801822,0.00227790432801822,0.0113895216400911,0.00341685649202733,0.00911161731207289,0.00911161731207289,0,0.00455580865603645,0.00797266514806378,0.010250569476082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,2,0,25,9,0,1,0,11,6,0.0113895216400911,0.00569476082004556,0.00227790432801822,0,0.0284738041002278,0.010250569476082,0,0.00113895216400911,0,0.0125284738041002,0.00683371298405467,878,661,1,5.05758647710734,0,0,878,1
"2014-11-01","Guatemala",9,1,13,1,10,0,0,11,30,8,0,0,12,2,13,5,0,1,2,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0109090909090909,0.00121212121212121,0.0157575757575758,0.00121212121212121,0.0121212121212121,0,0,0.0133333333333333,0.0363636363636364,0.0096969696969697,0,0,0.0145454545454545,0.00242424242424242,0.0157575757575758,0.00606060606060606,0,0.00121212121212121,0.00242424242424242,0.00606060606060606,0,0,0,0,0,0,0,0,0.00121212121212121,0,0,0.00121212121212121,0,0,10,9,5,0,13,14,0,1,1,3,6,0.0121212121212121,0.0109090909090909,0.00606060606060606,0,0.0157575757575758,0.016969696969697,0,0.00121212121212121,0.00121212121212121,0.00363636363636364,0.00727272727272727,825,651,3,3.95557393563355,0.00121212121212121,0.00121212121212121,825,1
"2014-12-01","Guatemala",0,0,1,0,6,0,0,11,7,1,1,0,8,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00268817204301075,0,0.0161290322580645,0,0,0.0295698924731183,0.0188172043010753,0.00268817204301075,0.00268817204301075,0,0.021505376344086,0.00268817204301075,0,0.00268817204301075,0.00268817204301075,0.00268817204301075,0.00268817204301075,0.00268817204301075,0,0,0,0,0,0,0,0,0,0,0,0.00268817204301075,0,0,7,2,1,0,5,6,0,0,0,1,2,0.0188172043010753,0.00537634408602151,0.00268817204301075,0,0.0134408602150538,0.0161290322580645,0,0,0,0.00268817204301075,0.00537634408602151,372,311,0,3.37464885055444,0.00268817204301075,0,372,0
"2015-01-01","Guatemala",4,0,9,0,1,0,0,8,17,4,0,1,5,1,0,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00796812749003984,0,0.0179282868525896,0,0.00199203187250996,0,0,0.0159362549800797,0.0338645418326693,0.00796812749003984,0,0.00199203187250996,0.0099601593625498,0.00199203187250996,0,0.00398406374501992,0,0.00199203187250996,0.00199203187250996,0.00796812749003984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,5,4,1,0,0,5,3,0.0298804780876494,0,0.00398406374501992,0,0.0099601593625498,0.00796812749003984,0.00199203187250996,0,0,0.0099601593625498,0.00597609561752988,502,414,4,3.47078149488625,0,0,502,0
"2015-02-01","Guatemala",1,0,11,1,4,1,0,18,15,0,1,1,9,0,6,5,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00173010380622837,0,0.0190311418685121,0.00173010380622837,0.0069204152249135,0.00173010380622837,0,0.0311418685121107,0.0259515570934256,0,0.00173010380622837,0.00173010380622837,0.0155709342560554,0,0.0103806228373702,0.00865051903114187,0,0,0.00346020761245675,0.00173010380622837,0,0,0.00173010380622837,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,6,6,0,0,0,3,8,0.0207612456747405,0,0.00519031141868512,0,0.0103806228373702,0.0103806228373702,0,0,0,0.00519031141868512,0.013840830449827,578,473,0,3.86724226163373,0.00173010380622837,0,578,0
"2015-03-01","Guatemala",11,1,16,0,5,0,0,13,21,6,0,3,8,5,7,2,2,0,14,8,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0.0135635018495684,0.00123304562268804,0.0197287299630086,0,0.0061652281134402,0,0,0.0160295930949445,0.0258939580764488,0.00739827373612824,0,0.00369913686806412,0.00986436498150432,0.0061652281134402,0.00863131935881628,0.00246609124537608,0.00246609124537608,0,0.0172626387176326,0.00986436498150432,0,0,0,0,0.00493218249075216,0,0,0,0,0,0,0,0.00123304562268804,0,19,6,3,0,20,6,1,0,0,11,5,0.0234278668310728,0.00739827373612824,0.00369913686806412,0,0.0246609124537608,0.00739827373612824,0.00123304562268804,0,0,0.0135635018495684,0.0061652281134402,811,627,6,3.28176723057476,0.00493218249075216,0.00123304562268804,811,0
"2015-04-01","Guatemala",8,1,17,2,5,1,0,14,19,2,0,3,15,5,17,8,0,4,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010126582278481,0.00126582278481013,0.0215189873417722,0.00253164556962025,0.00632911392405063,0.00126582278481013,0,0.0177215189873418,0.0240506329113924,0.00253164556962025,0,0.00379746835443038,0.0189873417721519,0.00632911392405063,0.0215189873417722,0.010126582278481,0,0.00506329113924051,0.00506329113924051,0.00886075949367089,0.00126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,7,0,17,6,4,0,0,16,10,0.0215189873417722,0.00506329113924051,0.00886075949367089,0,0.0215189873417722,0.00759493670886076,0.00506329113924051,0,0,0.020253164556962,0.0126582278481013,790,593,2,4.16808215620589,0,0.00126582278481013,790,0
"2015-05-01","Guatemala",8,0,41,4,7,2,1,12,26,11,0,1,42,3,35,31,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862998921251348,0,0.0442286947141316,0.00431499460625674,0.0075512405609493,0.00215749730312837,0.00107874865156419,0.0129449838187702,0.0280474649406688,0.011866235167206,0,0.00107874865156419,0.0453074433656958,0.00323624595469256,0.0377562028047465,0.0334412081984898,0.00107874865156419,0.00107874865156419,0.00539374325782093,0.00107874865156419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,9,0,22,3,1,4,0,8,4,0.0204962243797195,0.00215749730312837,0.00970873786407767,0,0.0237324703344121,0.00323624595469256,0.00107874865156419,0.00431499460625674,0,0.00862998921251348,0.00431499460625674,927,669,1,8.54085353135607,0,0,927,0
"2015-06-01","Guatemala",14,5,34,8,9,1,0,34,53,26,1,2,36,3,50,16,1,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100864553314121,0.00360230547550432,0.0244956772334294,0.00576368876080692,0.00648414985590778,0.000720461095100865,0,0.0244956772334294,0.0381844380403458,0.0187319884726225,0.000720461095100865,0.00144092219020173,0.0259365994236311,0.00216138328530259,0.0360230547550432,0.0115273775216138,0.000720461095100865,0.00648414985590778,0.00936599423631124,0.00576368876080692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,16,0,42,12,7,0,1,10,6,0.0223342939481268,0.00720461095100865,0.0115273775216138,0,0.0302593659942363,0.00864553314121038,0.00504322766570605,0,0.000720461095100865,0.00720461095100865,0.00432276657060519,1388,969,4,5.70748252160811,0,0,1388,1
