"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","journalducameroun.com","camerounweb.com","X237actu.com","X237online.com","cameroonvoice.com","lebledparle.com","thesunnewspaper.cm"
"2012-11-01","Cameroon",4,0,7,0,3,1,0,3,11,8,0,1,10,2,6,3,0,2,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0.0082815734989648,0,0.0144927536231884,0,0.0062111801242236,0.0020703933747412,0,0.0062111801242236,0.0227743271221532,0.0165631469979296,0,0.0020703933747412,0.020703933747412,0.0041407867494824,0.0124223602484472,0.0062111801242236,0,0.0041407867494824,0.0041407867494824,0.0020703933747412,0.0020703933747412,0,0,0,0,0,0.0020703933747412,0,0,0,0.0020703933747412,0,0,0,0.0020703933747412,0.0041407867494824,0,0,0,0,0,0,2,2,2,0,4,0,0,0,0,3,3,0.0041407867494824,0.0041407867494824,0.0041407867494824,0,0.0082815734989648,0,0,0,0,0.0062111801242236,0.0062111801242236,483,410,0,8.30354193473189,0,0.0124223602484472,483,1,0,0,1,1,1,0
"2012-12-01","Cameroon",1,0,1,1,1,0,0,3,3,0,0,1,4,0,4,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00315457413249211,0,0.00315457413249211,0.00315457413249211,0.00315457413249211,0,0,0.00946372239747634,0.00946372239747634,0,0,0.00315457413249211,0.0126182965299685,0,0.0126182965299685,0.00315457413249211,0,0,0.0126182965299685,0.00946372239747634,0,0,0,0,0,0,0,0,0,0,0.00315457413249211,0,0,0,0.00315457413249211,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,1,2,0.00315457413249211,0.00630914826498423,0,0,0.00630914826498423,0.00315457413249211,0,0,0,0.00315457413249211,0.00630914826498423,317,282,4,6.14741732860188,0,0.00630914826498423,317,1,0,0,1,1,0,0
"2013-01-01","Cameroon",1,1,6,1,4,1,0,0,4,0,0,3,1,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303030303030303,0.00303030303030303,0.0181818181818182,0.00303030303030303,0.0121212121212121,0.00303030303030303,0,0,0.0121212121212121,0,0,0.00909090909090909,0.00303030303030303,0,0,0,0,0.00303030303030303,0.0181818181818182,0.00606060606060606,0,0,0,0,0,0,0,0,0.00303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,9,0,0,0,0,1,0,0.0121212121212121,0.00606060606060606,0.00606060606060606,0,0.0272727272727273,0,0,0,0,0.00303030303030303,0,330,281,2,5.462451986989,0.00303030303030303,0,330,1,0,0,1,1,1,0
"2013-02-01","Cameroon",1,0,7,2,2,0,0,4,9,0,0,7,2,0,4,3,0,3,4,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239808153477218,0,0.0167865707434053,0.00479616306954436,0.00479616306954436,0,0,0.00959232613908873,0.0215827338129496,0,0,0.0167865707434053,0.00479616306954436,0,0.00959232613908873,0.00719424460431655,0,0.00719424460431655,0.00959232613908873,0.103117505995204,0,0,0,0,0,0,0,0.00239808153477218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,3,2,0,1,1,0,8,0.00479616306954436,0.00959232613908873,0,0,0.00719424460431655,0.00479616306954436,0,0.00239808153477218,0.00239808153477218,0,0.0191846522781775,417,307,2,3.8274218358936,0.00239808153477218,0,417,1,0,0,1,1,1,0
"2013-03-01","Cameroon",1,0,22,0,2,6,0,2,5,2,0,2,0,0,1,2,0,1,7,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0.00257731958762887,0,0.0567010309278351,0,0.00515463917525773,0.0154639175257732,0,0.00515463917525773,0.0128865979381443,0.00515463917525773,0,0.00515463917525773,0,0,0.00257731958762887,0.00515463917525773,0,0.00257731958762887,0.0180412371134021,0.0335051546391753,0,0,0,0,0.00257731958762887,0,0,0,0,0,0,0,0,0,0.00515463917525773,0.00257731958762887,0,0,0,0,0,0,1,3,2,0,2,1,0,0,1,6,0,0.00257731958762887,0.0077319587628866,0.00515463917525773,0,0.00515463917525773,0.00257731958762887,0,0,0.00257731958762887,0.0154639175257732,0,388,307,4,5.81141046858212,0.0077319587628866,0.00257731958762887,388,1,1,0,0,1,0,0
"2013-04-01","Cameroon",3,2,25,3,1,2,0,7,6,0,0,3,11,2,0,1,0,1,0,8,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00761421319796954,0.0050761421319797,0.0634517766497462,0.00761421319796954,0.00253807106598985,0.0050761421319797,0,0.0177664974619289,0.0152284263959391,0,0,0.00761421319796954,0.0279187817258883,0.0050761421319797,0,0.00253807106598985,0,0.00253807106598985,0,0.0203045685279188,0,0,0,0,0,0,0.0050761421319797,0,0.00253807106598985,0,0,0,0,0,0.00253807106598985,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,2,4,0.0177664974619289,0,0,0,0.00761421319796954,0,0,0,0,0.0050761421319797,0.0101522842639594,394,310,5,8.19814805913971,0.00253807106598985,0.00761421319796954,394,1,0,0,0,1,1,0
"2013-05-01","Cameroon",0,0,11,1,1,0,0,0,2,0,1,1,4,1,1,1,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0441767068273092,0.00401606425702811,0.00401606425702811,0,0,0,0.00803212851405622,0,0.00401606425702811,0.00401606425702811,0.0160642570281124,0.00401606425702811,0.00401606425702811,0.00401606425702811,0,0,0.0160642570281124,0.00803212851405622,0,0,0,0,0,0.00401606425702811,0,0,0,0,0,0.00401606425702811,0,0,0,0,0,0,0.00401606425702811,0,0,0,1,4,2,0,2,1,0,0,0,0,0,0.00401606425702811,0.0160642570281124,0.00803212851405622,0,0.00803212851405622,0.00401606425702811,0,0,0,0,0,249,212,1,6.22346784139409,0.00401606425702811,0.00803212851405622,249,1,0,0,0,1,1,0
"2013-06-01","Cameroon",1,1,14,1,2,1,0,3,7,1,0,0,6,0,2,1,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307692307692308,0.00307692307692308,0.0430769230769231,0.00307692307692308,0.00615384615384615,0.00307692307692308,0,0.00923076923076923,0.0215384615384615,0.00307692307692308,0,0,0.0184615384615385,0,0.00615384615384615,0.00307692307692308,0,0,0.00615384615384615,0.00923076923076923,0,0,0,0,0,0.00307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,10,0,0,0,0,0,0,0.0153846153846154,0.00307692307692308,0.00307692307692308,0,0.0307692307692308,0,0,0,0,0,0,325,265,1,7.81667782456986,0.00307692307692308,0,325,1,0,0,0,1,1,0
"2013-07-01","Cameroon",5,0,20,6,0,0,0,6,10,0,0,1,5,2,4,2,0,1,8,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0144927536231884,0,0.0579710144927536,0.0173913043478261,0,0,0,0.0173913043478261,0.0289855072463768,0,0,0.00289855072463768,0.0144927536231884,0.00579710144927536,0.0115942028985507,0.00579710144927536,0,0.00289855072463768,0.0231884057971014,0.0115942028985507,0,0,0,0,0,0,0,0,0,0.00289855072463768,0,0,0.00289855072463768,0,0.00289855072463768,0,0,0,0,0,0,0,3,1,3,0,5,1,0,0,0,0,0,0.00869565217391304,0.00289855072463768,0.00869565217391304,0,0.0144927536231884,0.00289855072463768,0,0,0,0,0,345,261,0,7.75310097973371,0.00289855072463768,0.00579710144927536,345,1,0,0,0,1,1,0
"2013-08-01","Cameroon",4,1,15,2,0,1,1,2,9,0,0,1,1,1,2,2,0,0,12,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0.00333333333333333,0.05,0.00666666666666667,0,0.00333333333333333,0.00333333333333333,0.00666666666666667,0.03,0,0,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00666666666666667,0.00666666666666667,0,0,0.04,0.00666666666666667,0.01,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0.00333333333333333,0.00666666666666667,0,0,0,0.00333333333333333,0,300,242,1,7.88099719433436,0.0166666666666667,0,300,1,0,0,0,1,1,0
