"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","ippmedia.com","mtanzania.co.tz","jamhurimedia.co.tz","mzalendo.co.tz"
"2013-09-01","Tanzania",5,4,7,1,7,0,1,22,31,18,0,2,15,9,12,5,2,3,9,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.00397772474144789,0.00318217979315831,0.00556881463802705,0.000795544948289578,0.00556881463802705,0,0.000795544948289578,0.0175019888623707,0.0246618933969769,0.0143198090692124,0,0.00159108989657916,0.0119331742243437,0.00715990453460621,0.00954653937947494,0.00397772474144789,0.00159108989657916,0.00238663484486874,0.00715990453460621,0.00318217979315831,0,0,0,0.000795544948289578,0.000795544948289578,0,0,0.000795544948289578,0,0,0,0,0,0,0.000795544948289578,0,0,19,14,9,0,32,18,3,3,1,11,12,0.015115354017502,0.0111376292760541,0.00715990453460621,0,0.0254574383452665,0.0143198090692124,0.00238663484486874,0.00238663484486874,0.000795544948289578,0.00875099443118536,0.00954653937947494,1257,1001,11,6.79321823134025,0.00159108989657916,0.00318217979315831,1257,0,0,1,0
"2013-10-01","Tanzania",14,4,5,0,4,1,0,15,31,15,1,3,20,10,8,1,2,2,7,3,0,1,0,0,1,0,0,4,0,0,0,0,0,1,1,0,2,0.0128322639780018,0.00366636113657195,0.00458295142071494,0,0.00366636113657195,0.000916590284142988,0,0.0137488542621448,0.0284142988084326,0.0137488542621448,0.000916590284142988,0.00274977085242896,0.0183318056828598,0.00916590284142988,0.0073327222731439,0.000916590284142988,0.00183318056828598,0.00183318056828598,0.00641613198900092,0.00274977085242896,0,0.000916590284142988,0,0,0.000916590284142988,0,0,0.00366636113657195,0,0,0,0,0,0.000916590284142988,0.000916590284142988,0,0.00183318056828598,16,13,6,0,25,17,0,1,1,11,8,0.0146654445462878,0.0119156736938588,0.00549954170485793,0,0.0229147571035747,0.0155820348304308,0,0.000916590284142988,0.000916590284142988,0.0100824931255729,0.0073327222731439,1091,860,6,8.4565069654343,0,0.00916590284142988,1091,1,0,1,0
"2013-11-01","Tanzania",3,4,7,0,14,2,0,16,22,22,0,4,13,9,5,10,0,5,2,8,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0.00182260024301337,0.00243013365735115,0.00425273390036452,0,0.00850546780072904,0.00121506682867558,0,0.00972053462940462,0.0133657351154313,0.0133657351154313,0,0.00243013365735115,0.00789793438639125,0.0054678007290401,0.00303766707168894,0.00607533414337789,0,0.00303766707168894,0.00121506682867558,0.00486026731470231,0,0,0,0,0,0,0,0.00182260024301337,0,0,0.00121506682867558,0,0,0,0,0,0,21,28,3,1,36,20,3,3,2,19,6,0.0127582017010936,0.0170109356014581,0.00182260024301337,0.000607533414337789,0.0218712029161604,0.0121506682867558,0.00182260024301337,0.00182260024301337,0.00121506682867558,0.011543134872418,0.00364520048602673,1646,1367,24,3.53990203678952,0.000607533414337789,0.00243013365735115,1646,0,0,1,0
"2013-12-01","Tanzania",1,0,9,4,13,0,1,16,17,14,0,2,19,5,3,22,0,2,6,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000684462696783025,0,0.00616016427104723,0.0027378507871321,0.00889801505817933,0,0.000684462696783025,0.0109514031485284,0.0116358658453114,0.00958247775496235,0,0.00136892539356605,0.0130047912388775,0.00342231348391513,0.00205338809034908,0.0150581793292266,0,0.00136892539356605,0.00410677618069815,0.0027378507871321,0.000684462696783025,0,0,0,0,0,0,0.000684462696783025,0,0,0,0,0,0,0,0,0,21,14,4,1,26,25,1,0,4,14,4,0.0143737166324435,0.00958247775496235,0.0027378507871321,0.000684462696783025,0.0177960301163587,0.0171115674195756,0.000684462696783025,0,0.0027378507871321,0.00958247775496235,0.0027378507871321,1461,1220,13,3.45079290053827,0.000684462696783025,0.000684462696783025,1461,0,0,1,0
"2014-01-01","Tanzania",1,1,20,2,14,1,1,32,24,14,0,3,19,8,2,15,0,3,7,11,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0.000661813368630046,0.000661813368630046,0.0132362673726009,0.00132362673726009,0.00926538716082065,0.000661813368630046,0.000661813368630046,0.0211780277961615,0.0158835208471211,0.00926538716082065,0,0.00198544010589014,0.0125744540039709,0.00529450694904037,0.00132362673726009,0.0099272005294507,0,0.00198544010589014,0.00463269358041032,0.00727994705493051,0,0,0,0,0,0,0.000661813368630046,0.00132362673726009,0,0,0.00132362673726009,0,0,0,0,0,0,22,22,12,1,40,10,9,0,2,26,9,0.014559894109861,0.014559894109861,0.00794176042356056,0.000661813368630046,0.0264725347452019,0.00661813368630046,0.00595632031767042,0,0.00132362673726009,0.0172071475843812,0.00595632031767042,1511,1209,10,4.56402855370855,0,0.00330906684315023,1511,0,0,0,0
"2014-02-01","Tanzania",8,1,22,1,8,1,2,21,28,19,0,2,23,2,7,11,0,5,2,7,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.00580973129992738,0.000726216412490922,0.0159767610748003,0.000726216412490922,0.00580973129992738,0.000726216412490922,0.00145243282498184,0.0152505446623094,0.0203340595497458,0.0137981118373275,0,0.00145243282498184,0.0167029774872912,0.00145243282498184,0.00508351488743646,0.00798838053740015,0,0.00363108206245461,0.00145243282498184,0.00508351488743646,0,0.000726216412490922,0,0,0,0,0,0.00217864923747277,0,0,0,0,0,0,0,0,0,30,20,10,1,36,18,5,0,1,8,5,0.0217864923747277,0.0145243282498184,0.00726216412490922,0.000726216412490922,0.0261437908496732,0.0130718954248366,0.00363108206245461,0,0.000726216412490922,0.00580973129992738,0.00363108206245461,1377,1102,13,5.75136346327337,0.000726216412490922,0.00217864923747277,1377,1,0,1,0
"2014-03-01","Tanzania",2,4,33,1,12,2,1,30,17,33,0,4,15,11,9,7,0,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012531328320802,0.0025062656641604,0.0206766917293233,0.0006265664160401,0.0075187969924812,0.0012531328320802,0.0006265664160401,0.018796992481203,0.0106516290726817,0.0206766917293233,0,0.0025062656641604,0.0093984962406015,0.0068922305764411,0.0056390977443609,0.0043859649122807,0,0.0056390977443609,0.0031328320802005,0.0012531328320802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,14,2,43,21,6,2,1,19,11,0.0162907268170426,0.0106516290726817,0.0087719298245614,0.0012531328320802,0.0269423558897243,0.0131578947368421,0.0037593984962406,0.0012531328320802,0.0006265664160401,0.0119047619047619,0.0068922305764411,1596,1264,13,3.86721126581743,0,0,1596,0,0,1,0
"2014-04-01","Tanzania",4,2,14,2,8,4,0,56,16,22,0,2,16,22,7,9,0,8,5,7,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0.00209863588667366,0.00104931794333683,0.00734522560335782,0.00104931794333683,0.00419727177334732,0.00209863588667366,0,0.0293809024134313,0.00839454354669465,0.0115424973767051,0,0.00104931794333683,0.00839454354669465,0.0115424973767051,0.00367261280167891,0.00472193074501574,0,0.00419727177334732,0.00262329485834208,0.00367261280167891,0,0,0,0,0,0,0,0.00314795383001049,0,0,0.000524658971668416,0,0,0,0,0,0,16,24,10,0,51,23,0,2,4,22,10,0.00839454354669465,0.012591815320042,0.00524658971668416,0,0.0267576075550892,0.0120671563483736,0,0.00104931794333683,0.00209863588667366,0.0115424973767051,0.00524658971668416,1906,1562,19,3.38835598141599,0,0.00367261280167891,1906,0,0,1,0
"2014-05-01","Tanzania",3,0,8,1,18,0,2,38,27,15,0,2,22,11,11,9,0,4,4,8,0,0,0,0,1,1,0,3,0,0,8,0,0,0,0,0,0,0.00167317345231456,0,0.00446179587283882,0.000557724484104852,0.0100390407138873,0,0.0011154489682097,0.0211935303959844,0.015058561070831,0.00836586726157278,0,0.0011154489682097,0.0122699386503067,0.00613496932515337,0.00613496932515337,0.00501952035694367,0,0.00223089793641941,0.00223089793641941,0.00446179587283882,0,0,0,0,0.000557724484104852,0.000557724484104852,0,0.00167317345231456,0,0,0.00446179587283882,0,0,0,0,0,0,20,29,16,2,48,26,1,1,0,16,6,0.011154489682097,0.0161740100390407,0.00892359174567764,0.0011154489682097,0.0267707752370329,0.0145008365867262,0.000557724484104852,0.000557724484104852,0,0.00892359174567764,0.00334634690462911,1793,1480,14,3.98408917787288,0.000557724484104852,0.00669269380925823,1793,0,0,1,0
"2014-06-01","Tanzania",6,1,14,1,18,3,1,22,22,24,0,4,15,14,9,7,0,7,9,2,0,0,0,0,1,3,0,11,0,0,0,0,0,3,1,0,0,0.00297914597815293,0.000496524329692155,0.00695134061569017,0.000496524329692155,0.00893743793445879,0.00148957298907646,0.000496524329692155,0.0109235352532274,0.0109235352532274,0.0119165839126117,0,0.00198609731876862,0.00744786494538232,0.00695134061569017,0.00446871896722939,0.00347567030784508,0,0.00347567030784508,0.00446871896722939,0.00099304865938431,0,0,0,0,0.000496524329692155,0.00148957298907646,0,0.0054617676266137,0,0,0,0,0,0.00148957298907646,0.000496524329692155,0,0,16,44,17,0,53,48,4,0,1,21,12,0.00794438927507448,0.0218470705064548,0.00844091360476663,0,0.0263157894736842,0.0238331678252234,0.00198609731876862,0,0.000496524329692155,0.0104270109235353,0.00595829195630586,2014,1647,24,3.26494097438927,0,0.00943396226415094,2014,0,1,0,0
"2014-07-01","Tanzania",13,1,32,5,16,0,2,16,46,18,0,3,38,12,2,11,2,7,6,17,0,2,0,0,1,0,1,3,0,0,3,0,0,0,0,1,0,0.00647410358565737,0.00049800796812749,0.0159362549800797,0.00249003984063745,0.00796812749003984,0,0.00099601593625498,0.00796812749003984,0.0229083665338645,0.00896414342629482,0,0.00149402390438247,0.0189243027888446,0.00597609561752988,0.00099601593625498,0.00547808764940239,0.00099601593625498,0.00348605577689243,0.00298804780876494,0.00846613545816733,0,0.00099601593625498,0,0,0.00049800796812749,0,0.00049800796812749,0.00149402390438247,0,0,0.00149402390438247,0,0,0,0,0.00049800796812749,0,33,27,13,2,46,30,4,1,4,16,18,0.0164342629482072,0.0134462151394422,0.00647410358565737,0.00099601593625498,0.0229083665338645,0.0149402390438247,0.00199203187250996,0.00049800796812749,0.00199203187250996,0.00796812749003984,0.00896414342629482,2008,1615,20,7.00731889838612,0.00049800796812749,0.0049800796812749,2008,0,1,0,0
"2014-08-01","Tanzania",8,1,22,5,18,2,1,47,26,30,0,1,15,11,3,3,0,1,5,5,0,1,0,0,0,0,2,2,0,0,2,0,0,0,1,0,0,0.00371747211895911,0.000464684014869888,0.0102230483271375,0.00232342007434944,0.00836431226765799,0.000929368029739777,0.000464684014869888,0.0218401486988848,0.0120817843866171,0.0139405204460967,0,0.000464684014869888,0.00697026022304833,0.00511152416356877,0.00139405204460967,0.00139405204460967,0,0.000464684014869888,0.00232342007434944,0.00232342007434944,0,0.000464684014869888,0,0,0,0,0.000929368029739777,0.000929368029739777,0,0,0.000929368029739777,0,0,0,0.000464684014869888,0,0,34,30,8,2,43,24,6,2,4,25,12,0.0157992565055762,0.0139405204460967,0.00371747211895911,0.000929368029739777,0.0199814126394052,0.0111524163568773,0.00278810408921933,0.000929368029739777,0.00185873605947955,0.0116171003717472,0.00557620817843866,2152,1777,26,2.53238853385468,0,0.00371747211895911,2152,0,1,1,0
"2014-09-01","Tanzania",7,1,41,8,21,0,1,27,42,41,2,4,17,25,19,6,4,7,4,8,1,0,0,1,0,0,0,9,0,0,1,1,0,0,1,2,0,0.00327102803738318,0.000467289719626168,0.0191588785046729,0.00373831775700935,0.00981308411214953,0,0.000467289719626168,0.0126168224299065,0.0196261682242991,0.0191588785046729,0.000934579439252336,0.00186915887850467,0.00794392523364486,0.0116822429906542,0.0088785046728972,0.00280373831775701,0.00186915887850467,0.00327102803738318,0.00186915887850467,0.00373831775700935,0.000467289719626168,0,0,0.000467289719626168,0,0,0,0.00420560747663551,0,0,0.000467289719626168,0.000467289719626168,0,0,0.000467289719626168,0.000934579439252336,0,27,33,13,2,43,26,2,0,4,18,10,0.0126168224299065,0.0154205607476636,0.00607476635514019,0.000934579439252336,0.0200934579439252,0.0121495327102804,0.000934579439252336,0,0.00186915887850467,0.00841121495327103,0.00467289719626168,2140,1707,14,5.37941954385712,0,0.00747663551401869,2140,1,1,1,0
"2014-10-01","Tanzania",7,1,39,3,13,1,1,46,41,47,1,2,19,15,11,11,1,3,9,10,0,0,0,0,0,2,0,17,0,0,4,0,0,1,0,0,1,0.00295483326298016,0.000422119037568594,0.0164626424651752,0.00126635711270578,0.00548754748839173,0.000422119037568594,0.000422119037568594,0.0194174757281553,0.0173068805403124,0.0198395947657239,0.000422119037568594,0.000844238075137189,0.00802026171380329,0.00633178556352891,0.00464330941325454,0.00464330941325454,0.000422119037568594,0.00126635711270578,0.00379907133811735,0.00422119037568594,0,0,0,0,0,0.000844238075137189,0,0.0071760236386661,0,0,0.00168847615027438,0,0,0.000422119037568594,0,0,0.000422119037568594,26,33,10,0,55,32,2,2,5,15,17,0.0109750949767835,0.0139299282397636,0.00422119037568594,0,0.0232165470662727,0.013507809202195,0.000844238075137189,0.000844238075137189,0.00211059518784297,0.00633178556352891,0.0071760236386661,2369,1914,26,4.09042268633506,0.00168847615027438,0.00928661882650908,2369,0,1,1,0
"2014-11-01","Tanzania",10,2,28,3,8,2,0,29,25,32,0,1,25,10,11,14,0,5,6,8,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,3,0.00544959128065395,0.00108991825613079,0.0152588555858311,0.00163487738419619,0.00435967302452316,0.00108991825613079,0,0.0158038147138965,0.0136239782016349,0.0174386920980926,0,0.000544959128065395,0.0136239782016349,0.00544959128065395,0.00599455040871935,0.00762942779291553,0,0.00272479564032698,0.00326975476839237,0.00435967302452316,0,0,0,0,0,0.000544959128065395,0,0.00217983651226158,0,0,0.00108991825613079,0,0,0,0,0,0.00163487738419619,21,27,22,1,51,31,7,1,3,12,8,0.0114441416893733,0.0147138964577657,0.0119891008174387,0.000544959128065395,0.0277929155313352,0.0168937329700272,0.00381471389645777,0.000544959128065395,0.00163487738419619,0.00653950953678474,0.00435967302452316,1835,1469,35,4.62116317141712,0.000544959128065395,0.00544959128065395,1835,0,1,1,0
"2014-12-01","Tanzania",8,0,40,7,11,2,0,28,28,16,0,2,21,13,1,19,0,4,4,4,0,0,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0.00560616678346181,0,0.028030833917309,0.00490539593552908,0.00770847932725999,0.00140154169586545,0,0.0196215837421163,0.0196215837421163,0.0112123335669236,0,0.00140154169586545,0.0147161878065872,0.00911002102312544,0.000700770847932726,0.0133146461107218,0,0.0028030833917309,0.0028030833917309,0.0028030833917309,0,0,0,0,0.000700770847932726,0,0,0.00140154169586545,0,0,0.00210231254379818,0,0,0.00140154169586545,0,0,0,23,26,25,0,43,14,5,0,0,3,11,0.0161177295024527,0.0182200420462509,0.0175192711983181,0,0.0301331464611072,0.00981079187105816,0.00350385423966363,0,0,0.00210231254379818,0.00770847932725999,1427,1110,12,4.88664868101258,0,0.00560616678346181,1427,0,1,1,0
"2015-01-01","Tanzania",5,3,32,6,22,0,2,26,37,21,1,5,31,10,13,19,1,5,16,9,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0.00255623721881391,0.00153374233128834,0.016359918200409,0.00306748466257669,0.0112474437627812,0,0.00102249488752556,0.0132924335378323,0.0189161554192229,0.0107361963190184,0.000511247443762781,0.00255623721881391,0.0158486707566462,0.00511247443762781,0.00664621676891616,0.00971370143149284,0.000511247443762781,0.00255623721881391,0.0081799591002045,0.00460122699386503,0,0,0,0,0,0,0,0.00102249488752556,0,0,0.00153374233128834,0,0,0.000511247443762781,0,0,0,45,34,20,0,50,37,12,2,2,21,20,0.0230061349693252,0.0173824130879346,0.0102249488752556,0,0.0255623721881391,0.0189161554192229,0.00613496932515337,0.00102249488752556,0.00102249488752556,0.0107361963190184,0.0102249488752556,1956,1497,8,6.20345593057579,0.00153374233128834,0.00204498977505112,1956,0,1,1,0
"2015-02-01","Tanzania",5,5,53,2,19,0,0,22,42,20,1,5,23,9,6,10,0,7,5,10,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0.00254323499491353,0.00254323499491353,0.0269582909460834,0.00101729399796541,0.00966429298067141,0,0,0.0111902339776195,0.0213631739572737,0.0101729399796541,0.000508646998982706,0.00254323499491353,0.0116988809766022,0.00457782299084435,0.00305188199389624,0.00508646998982706,0,0.00356052899287894,0.00254323499491353,0.00508646998982706,0,0,0,0,0.000508646998982706,0,0,0.000508646998982706,0,0,0.000508646998982706,0,0.000508646998982706,0.000508646998982706,0,0,0,35,26,12,0,43,37,4,1,2,11,6,0.0178026449643947,0.0132248219735504,0.00610376398779247,0,0.0218718209562564,0.0188199389623601,0.00203458799593082,0.000508646998982706,0.00101729399796541,0.00559511698880977,0.00305188199389624,1966,1577,9,4.73644217716717,0.000508646998982706,0.00203458799593082,1966,0,1,0,0
"2015-03-01","Tanzania",18,2,31,8,25,1,2,60,44,45,0,0,27,11,8,12,1,14,5,11,0,1,0,0,0,1,0,4,0,0,4,0,0,2,0,1,0,0.00670640834575261,0.000745156482861401,0.0115499254843517,0.0029806259314456,0.00931445603576751,0.0003725782414307,0.000745156482861401,0.022354694485842,0.0163934426229508,0.0167660208643815,0,0,0.0100596125186289,0.00409836065573771,0.0029806259314456,0.00447093889716841,0.0003725782414307,0.00521609538002981,0.0018628912071535,0.00409836065573771,0,0.0003725782414307,0,0,0,0.0003725782414307,0,0.0014903129657228,0,0,0.0014903129657228,0,0,0.000745156482861401,0,0.0003725782414307,0,38,36,12,1,55,49,2,1,5,8,7,0.0141579731743666,0.0134128166915052,0.00447093889716841,0.0003725782414307,0.0204918032786885,0.0182563338301043,0.000745156482861401,0.0003725782414307,0.0018628912071535,0.0029806259314456,0.0026080476900149,2684,2175,20,4.97748100790808,0,0.00484351713859911,2684,0,1,1,0
"2015-04-01","Tanzania",8,2,34,10,12,0,0,31,22,25,0,7,22,18,24,10,0,9,5,8,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0.00395061728395062,0.000987654320987654,0.0167901234567901,0.00493827160493827,0.00592592592592593,0,0,0.0153086419753086,0.0108641975308642,0.0123456790123457,0,0.00345679012345679,0.0108641975308642,0.00888888888888889,0.0118518518518519,0.00493827160493827,0,0.00444444444444444,0.00246913580246914,0.00395061728395062,0,0,0,0,0,0,0,0.00148148148148148,0,0,0.00148148148148148,0,0,0.000493827160493827,0,0,0,26,25,17,5,46,42,4,0,1,12,6,0.0128395061728395,0.0123456790123457,0.00839506172839506,0.00246913580246914,0.022716049382716,0.0207407407407407,0.00197530864197531,0,0.000493827160493827,0.00592592592592593,0.00296296296296296,2025,1629,15,4.3787846677116,0,0.00345679012345679,2025,1,1,1,0
"2015-05-01","Tanzania",9,0,67,13,26,44,1,60,27,15,1,1,20,6,24,13,0,3,9,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.00480512546716498,0,0.0357714895888948,0.00694073678590497,0.0138814735718099,0.0234917245061399,0.000533902829684997,0.0320341697810998,0.0144153764014949,0.00800854244527496,0.000533902829684997,0.000533902829684997,0.0106780565936999,0.00320341697810998,0.0128136679124399,0.00694073678590497,0,0.00160170848905499,0.00480512546716498,0.00373731980779498,0,0,0,0,0,0,0,0.00266951414842499,0,0,0,0,0,0,0,0,0,10,34,13,1,24,40,4,1,3,2,4,0.00533902829684997,0.0181526962092899,0.00694073678590497,0.000533902829684997,0.0128136679124399,0.0213561131873999,0.00213561131873999,0.000533902829684997,0.00160170848905499,0.00106780565936999,0.00213561131873999,1873,1421,7,5.00033432734729,0,0.00266951414842499,1873,1,1,1,0
"2015-06-01","Tanzania",4,2,96,21,13,3,1,20,27,37,0,0,33,8,2,16,1,6,2,4,0,0,0,0,0,0,0,3,0,0,0,0,1,6,0,0,0,0.00196367206676485,0.000981836033382425,0.0471281296023564,0.0103092783505155,0.00638193421698576,0.00147275405007364,0.000490918016691213,0.00981836033382425,0.0132547864506627,0.0181639666175749,0,0,0.01620029455081,0.0039273441335297,0.000981836033382425,0.0078546882670594,0.000490918016691213,0.00294550810014728,0.000981836033382425,0.00196367206676485,0,0,0,0,0,0,0,0.00147275405007364,0,0,0,0,0.000490918016691213,0.00294550810014728,0,0,0,18,37,8,0,27,44,3,2,1,6,2,0.00883652430044183,0.0181639666175749,0.0039273441335297,0,0.0132547864506627,0.0216003927344134,0.00147275405007364,0.000981836033382425,0.000490918016691213,0.00294550810014728,0.000981836033382425,2037,1624,21,3.76421974456817,0,0.00490918016691213,2037,1,1,1,0
"2015-07-01","Tanzania",11,1,154,22,19,3,2,24,29,20,1,3,22,3,3,14,0,7,9,6,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0.00530631934394597,0.000482392667631452,0.0742884708152436,0.0106126386878919,0.00916546068499759,0.00144717800289436,0.000964785335262904,0.0115774240231548,0.0139893873613121,0.00964785335262904,0.000482392667631452,0.00144717800289436,0.0106126386878919,0.00144717800289436,0.00144717800289436,0.00675349734684033,0,0.00337674867342016,0.00434153400868307,0.00289435600578871,0,0,0,0,0,0.000482392667631452,0,0.000482392667631452,0,0.000482392667631452,0.000482392667631452,0,0,0.000482392667631452,0,0,0,16,19,14,2,32,33,4,1,3,16,7,0.00771828268210323,0.00916546068499759,0.00675349734684033,0.000964785335262904,0.0154365653642065,0.0159189580318379,0.00192957067052581,0.000482392667631452,0.00144717800289436,0.00771828268210323,0.00337674867342016,2073,1610,6,4.28746930613603,0,0.00241196333815726,2073,1,0,1,0
"2015-08-01","Tanzania",1,4,113,16,8,1,1,18,11,9,0,2,18,3,3,11,1,5,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.0007627765064836,0.0030511060259344,0.0861937452326468,0.0122044241037376,0.0061022120518688,0.0007627765064836,0.0007627765064836,0.0137299771167048,0.0083905415713196,0.0068649885583524,0,0.0015255530129672,0.0137299771167048,0.0022883295194508,0.0022883295194508,0.0083905415713196,0.0007627765064836,0.003813882532418,0.0045766590389016,0.0022883295194508,0,0,0,0,0,0,0,0.0007627765064836,0,0,0,0,0,0.0007627765064836,0,0.0007627765064836,0.0007627765064836,5,5,6,0,15,18,2,0,3,4,3,0.003813882532418,0.003813882532418,0.0045766590389016,0,0.011441647597254,0.0137299771167048,0.0015255530129672,0,0.0022883295194508,0.0030511060259344,0.0022883295194508,1311,1032,13,4.14423532596032,0,0.0030511060259344,1311,1,1,1,0
"2015-09-01","Tanzania",7,2,68,7,7,1,0,17,9,17,0,1,13,2,1,6,0,9,3,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0.00549450549450549,0.00156985871271586,0.0533751962323391,0.00549450549450549,0.00549450549450549,0.000784929356357928,0,0.0133437990580848,0.00706436420722135,0.0133437990580848,0,0.000784929356357928,0.0102040816326531,0.00156985871271586,0.000784929356357928,0.00470957613814757,0,0.00706436420722135,0.00235478806907378,0.00470957613814757,0,0,0,0,0,0,0,0,0,0,0.00235478806907378,0,0,0,0,0.000784929356357928,0,5,17,4,2,17,15,2,0,2,7,6,0.00392464678178964,0.0133437990580848,0.00313971742543171,0.00156985871271586,0.0133437990580848,0.0117739403453689,0.00156985871271586,0,0.00156985871271586,0.00549450549450549,0.00470957613814757,1274,1033,5,4.00194256899139,0,0.00313971742543171,1274,1,1,0,0
"2015-10-01","Tanzania",10,0,272,50,6,0,3,8,21,5,1,6,13,21,7,4,4,13,11,13,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0.00503018108651911,0,0.13682092555332,0.0251509054325956,0.00301810865191147,0,0.00150905432595573,0.00402414486921529,0.0105633802816901,0.00251509054325956,0.000503018108651912,0.00301810865191147,0.00653923541247485,0.0105633802816901,0.00352112676056338,0.00201207243460765,0.00201207243460765,0.00653923541247485,0.00553319919517103,0.00653923541247485,0,0,0,0,0,0,0,0.00150905432595573,0,0,0.00100603621730382,0,0,0,0,0,0.00150905432595573,12,22,8,0,32,10,2,0,3,4,6,0.00603621730382294,0.0110663983903421,0.00402414486921529,0,0.0160965794768612,0.00503018108651911,0.00100603621730382,0,0.00150905432595573,0.00201207243460765,0.00301810865191147,1988,1443,17,6.19640064929328,0.000503018108651912,0.00352112676056338,1988,0,1,1,0
"2015-11-01","Tanzania",4,0,71,12,17,3,2,29,40,13,1,3,22,13,14,9,5,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00259403372243839,0,0.0460440985732815,0.00778210116731518,0.0110246433203632,0.00194552529182879,0.0012970168612192,0.0188067444876783,0.0259403372243839,0.00843060959792477,0.000648508430609598,0.00194552529182879,0.0142671854734112,0.00843060959792477,0.00907911802853437,0.00583657587548638,0.00324254215304799,0.0012970168612192,0.00324254215304799,0.00453955901426719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000648508430609598,18,14,9,0,32,17,0,2,1,7,5,0.0116731517509728,0.00907911802853437,0.00583657587548638,0,0.0207522697795071,0.0110246433203632,0,0.0012970168612192,0.000648508430609598,0.00453955901426719,0.00324254215304799,1542,1195,10,7.05322659522502,0,0.000648508430609598,1542,1,1,1,0
"2015-12-01","Tanzania",6,2,27,3,18,0,1,24,27,5,0,2,42,6,6,24,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00451467268623025,0.00150489089541008,0.0203160270880361,0.00225733634311512,0.0135440180586907,0,0.000752445447705041,0.018058690744921,0.0203160270880361,0.00376222723852521,0,0.00150489089541008,0.0316027088036117,0.00451467268623025,0.00451467268623025,0.018058690744921,0,0.00300978179082017,0.000752445447705041,0.00225733634311512,0,0,0,0,0,0,0,0,0,0,0,0.000752445447705041,0,0,0,0,0,26,16,23,1,39,15,11,1,1,12,7,0.0195635816403311,0.0120391271632807,0.017306245297216,0.000752445447705041,0.0293453724604966,0.0112866817155756,0.00827689992475546,0.000752445447705041,0.000752445447705041,0.0090293453724605,0.00526711813393529,1329,1035,13,6.29847091580408,0,0.000752445447705041,1329,1,1,1,0
