"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","ippmedia.com","mtanzania.co.tz","jamhurimedia.co.tz","mzalendo.co.tz"
"2012-11-01","Tanzania",6,0,13,4,10,0,2,11,20,10,0,5,26,10,10,8,0,5,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0.00354400472533963,0,0.00767867690490254,0.00236266981689309,0.00590667454223272,0,0.00118133490844654,0.006497341996456,0.0118133490844654,0.00590667454223272,0,0.00295333727111636,0.0153573538098051,0.00590667454223272,0.00590667454223272,0.00472533963378618,0,0.00295333727111636,0.00118133490844654,0.00177200236266982,0,0,0,0,0,0,0,0.000590667454223272,0,0,0,0,0,0.00118133490844654,0,0,0,27,28,5,1,23,20,1,2,2,9,8,0.0159480212640284,0.0165386887182516,0.00295333727111636,0.000590667454223272,0.0135853514471353,0.0118133490844654,0.000590667454223272,0.00118133490844654,0.00118133490844654,0.00531600708800945,0.00472533963378618,1693,1443,3,3.83074548762737,0,0.00177200236266982,1693,0,0,0,0
"2012-12-01","Tanzania",7,1,9,2,12,0,1,15,13,1,0,3,13,7,1,7,0,6,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0.0062780269058296,0.000896860986547085,0.00807174887892377,0.00179372197309417,0.010762331838565,0,0.000896860986547085,0.0134529147982063,0.0116591928251121,0.000896860986547085,0,0.00269058295964126,0.0116591928251121,0.0062780269058296,0.000896860986547085,0.0062780269058296,0,0.00538116591928251,0.000896860986547085,0.00269058295964126,0,0,0,0,0,0,0,0.00269058295964126,0,0,0,0,0,0.000896860986547085,0,0,0,11,13,3,1,11,20,4,1,2,6,6,0.00986547085201794,0.0116591928251121,0.00269058295964126,0.000896860986547085,0.00986547085201794,0.0179372197309417,0.00358744394618834,0.000896860986547085,0.00179372197309417,0.00538116591928251,0.00538116591928251,1115,948,6,4.2711874579026,0.000896860986547085,0.00269058295964126,1115,0,0,1,0
"2013-01-01","Tanzania",3,6,5,1,14,1,1,29,25,25,0,0,20,6,17,11,0,2,9,3,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0.00172215843857635,0.0034443168771527,0.00287026406429392,0.000574052812858783,0.00803673938002296,0.000574052812858783,0.000574052812858783,0.0166475315729047,0.0143513203214696,0.0143513203214696,0,0,0.0114810562571757,0.0034443168771527,0.00975889781859931,0.00631458094144661,0,0.00114810562571757,0.00516647531572905,0.00172215843857635,0,0,0,0.000574052812858783,0,0,0,0.000574052812858783,0,0,0,0,0,0.00114810562571757,0,0,0,26,27,7,1,45,22,4,1,4,17,5,0.0149253731343284,0.0154994259471871,0.00401836969001148,0.000574052812858783,0.0258323765786452,0.0126291618828932,0.00229621125143513,0.000574052812858783,0.00229621125143513,0.00975889781859931,0.00287026406429392,1742,1425,14,4.08107258125193,0,0.00229621125143513,1742,0,0,1,0
"2013-02-01","Tanzania",0,2,7,1,9,1,0,14,15,3,1,3,10,6,5,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208986415882968,0.00731452455590387,0.00104493207941484,0.00940438871473354,0.00104493207941484,0,0.0146290491118077,0.0156739811912226,0.00313479623824451,0.00104493207941484,0.00313479623824451,0.0104493207941484,0.00626959247648903,0.00522466039707419,0.00313479623824451,0,0.00104493207941484,0.00208986415882968,0.00313479623824451,0.00104493207941484,0.00104493207941484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,8,0,23,7,0,1,3,2,8,0.0208986415882968,0.0219435736677116,0.00835945663531871,0,0.0240334378265413,0.00731452455590387,0,0.00104493207941484,0.00313479623824451,0.00208986415882968,0.00835945663531871,957,790,8,3.0959071562612,0.00208986415882968,0,957,1,0,1,0
"2013-03-01","Tanzania",2,1,11,1,11,0,2,33,27,3,0,2,13,8,0,5,0,4,1,4,0,0,0,0,0,12,1,6,0,0,1,0,0,1,0,2,0,0.00175131348511384,0.000875656742556918,0.00963222416812609,0.000875656742556918,0.00963222416812609,0,0.00175131348511384,0.0288966725043783,0.0236427320490368,0.00262697022767075,0,0.00175131348511384,0.0113835376532399,0.00700525394045534,0,0.00437828371278459,0,0.00350262697022767,0.000875656742556918,0.00350262697022767,0,0,0,0,0,0.010507880910683,0.000875656742556918,0.00525394045534151,0,0,0.000875656742556918,0,0,0.000875656742556918,0,0.00175131348511384,0,16,17,6,2,21,11,1,0,0,15,1,0.0140105078809107,0.0148861646234676,0.00525394045534151,0.00175131348511384,0.0183887915936953,0.00963222416812609,0.000875656742556918,0,0,0.0131348511383538,0.000875656742556918,1142,945,50,4.55943925875452,0.000875656742556918,0.0201401050788091,1142,1,0,1,0
"2013-04-01","Tanzania",1,0,12,0,4,0,1,19,27,9,0,1,10,8,4,3,1,3,3,4,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,1,1,0.000878734622144112,0,0.0105448154657293,0,0.00351493848857645,0,0.000878734622144112,0.0166959578207381,0.023725834797891,0.00790861159929701,0,0.000878734622144112,0.00878734622144113,0.0070298769771529,0.00351493848857645,0.00263620386643234,0.000878734622144112,0.00263620386643234,0.00263620386643234,0.00351493848857645,0,0,0,0,0.000878734622144112,0,0,0.000878734622144112,0,0,0.00175746924428822,0,0,0.00175746924428822,0,0.000878734622144112,0.000878734622144112,11,12,7,0,30,16,0,2,0,6,6,0.00966608084358524,0.0105448154657293,0.00615114235500879,0,0.0263620386643234,0.0140597539543058,0,0.00175746924428822,0,0.00527240773286467,0.00527240773286467,1138,951,18,4.37260022262168,0,0.0070298769771529,1138,1,0,1,0
"2013-05-01","Tanzania",7,0,14,5,12,2,0,14,15,12,1,5,7,5,2,4,0,2,12,11,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.00503235082674335,0,0.0100647016534867,0.00359453630481668,0.00862688713156003,0.00143781452192667,0,0.0100647016534867,0.01078360891445,0.00862688713156003,0.000718907260963336,0.00359453630481668,0.00503235082674335,0.00359453630481668,0.00143781452192667,0.00287562904385334,0,0.00143781452192667,0.00862688713156003,0.00790797987059669,0,0,0.000718907260963336,0,0,0.000718907260963336,0,0.00143781452192667,0,0,0,0,0,0,0,0,0,14,16,3,2,19,16,1,0,2,2,3,0.0100647016534867,0.0115025161754134,0.00215672178289001,0.00143781452192667,0.0136592379583034,0.0115025161754134,0.000718907260963336,0,0.00143781452192667,0.00143781452192667,0.00215672178289001,1391,1191,10,4.15838355243021,0.000718907260963336,0.00215672178289001,1391,0,0,0,0
"2013-06-01","Tanzania",7,4,5,6,16,1,1,24,37,26,2,3,18,5,4,6,2,4,6,10,0,0,0,0,1,7,0,0,0,0,0,0,0,2,0,0,0,0.00520446096654275,0.00297397769516729,0.00371747211895911,0.00446096654275093,0.0118959107806691,0.000743494423791822,0.000743494423791822,0.0178438661710037,0.0275092936802974,0.0193308550185874,0.00148698884758364,0.00223048327137546,0.0133828996282528,0.00371747211895911,0.00297397769516729,0.00446096654275093,0.00148698884758364,0.00297397769516729,0.00446096654275093,0.00743494423791822,0,0,0,0,0.000743494423791822,0.00520446096654275,0,0,0,0,0,0,0,0.00148698884758364,0,0,0,15,17,9,1,31,30,0,0,1,8,2,0.0111524163568773,0.012639405204461,0.00669144981412639,0.000743494423791822,0.0230483271375465,0.0223048327137546,0,0,0.000743494423791822,0.00594795539033457,0.00148698884758364,1345,1067,11,7.36868855683442,0,0.00743494423791822,1345,0,0,0,0
"2013-07-01","Tanzania",7,0,10,3,21,2,2,27,36,20,1,2,20,2,6,7,1,7,7,10,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0.00422450211225106,0,0.00603500301750151,0.00181050090525045,0.0126735063367532,0.0012070006035003,0.0012070006035003,0.0162945081472541,0.0217260108630054,0.012070006035003,0.000603500301750151,0.0012070006035003,0.012070006035003,0.0012070006035003,0.00362100181050091,0.00422450211225106,0.000603500301750151,0.00422450211225106,0.00422450211225106,0.00603500301750151,0,0,0,0,0,0.00181050090525045,0,0.000603500301750151,0,0,0,0,0,0,0,0.000603500301750151,0,17,31,3,0,31,27,2,1,3,8,3,0.0102595051297526,0.0187085093542547,0.00181050090525045,0,0.0187085093542547,0.0162945081472541,0.0012070006035003,0.000603500301750151,0.00181050090525045,0.00482800241400121,0.00181050090525045,1657,1359,17,5.73360404759558,0.0012070006035003,0.00301750150875075,1657,0,0,1,0
"2013-08-01","Tanzania",3,1,10,0,8,1,2,26,39,15,0,1,19,6,9,11,1,6,13,3,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,2,0.00176159718144451,0.000587199060481503,0.00587199060481503,0,0.00469759248385203,0.000587199060481503,0.00117439812096301,0.0152671755725191,0.0229007633587786,0.00880798590722255,0,0.000587199060481503,0.0111567821491486,0.00352319436288902,0.00528479154433353,0.00645918966529654,0.000587199060481503,0.00352319436288902,0.00763358778625954,0.00176159718144451,0,0,0,0,0.000587199060481503,0.000587199060481503,0,0.00117439812096301,0,0,0.000587199060481503,0,0,0,0,0.000587199060481503,0.00117439812096301,18,17,12,0,35,32,8,4,4,16,22,0.0105695830886671,0.00998238402818555,0.00704638872577804,0,0.0205519671168526,0.0187903699354081,0.00469759248385203,0.00234879624192601,0.00234879624192601,0.00939518496770405,0.0129183793305931,1703,1387,14,5.28074639979538,0.000587199060481503,0.00411039342337052,1703,1,0,1,0
