"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","correiodabeiraserra.com","canal.co.mz","mmo.co.mz","cartamz.com","clubofmozambique.com","portalmoznews.com","jornaldomingo.co.mz","tvm.co.mz"
"2012-11-01","Mozambique",4,1,4,0,11,1,1,23,12,2,1,6,11,0,13,8,0,1,5,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00418848167539267,0.00104712041884817,0.00418848167539267,0,0.0115183246073298,0.00104712041884817,0.00104712041884817,0.0240837696335079,0.012565445026178,0.00209424083769634,0.00104712041884817,0.00628272251308901,0.0115183246073298,0,0.0136125654450262,0.00837696335078534,0,0.00104712041884817,0.00523560209424084,0.00418848167539267,0,0,0,0,0.00104712041884817,0,0,0,0,0.00209424083769634,0,0,0,0,0,0,0,0,0,0,0,27,7,3,0,2,9,1,0,0,10,8,0.0282722513089005,0.00732984293193717,0.0031413612565445,0,0.00209424083769634,0.00942408376963351,0.00104712041884817,0,0,0.0104712041884817,0.00837696335078534,955,794,3,5.04150481893423,0,0.0031413612565445,955,1,0,1,0,0,0,1,0
"2012-12-01","Mozambique",0,0,17,1,18,0,0,17,7,12,0,2,2,2,15,4,0,1,5,5,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0214917825537295,0.00126422250316056,0.02275600505689,0,0,0.0214917825537295,0.00884955752212389,0.0151706700379267,0,0.00252844500632111,0.00252844500632111,0.00252844500632111,0.0189633375474083,0.00505689001264223,0,0.00126422250316056,0.00632111251580278,0.00632111251580278,0,0,0,0,0.00252844500632111,0,0.00126422250316056,0,0,0.00126422250316056,0,0,0,0,0,0,0,0,0,0.00126422250316056,0,4,9,1,0,8,10,0,0,2,10,8,0.00505689001264223,0.011378002528445,0.00126422250316056,0,0.0101137800252845,0.0126422250316056,0,0,0.00252844500632111,0.0126422250316056,0.0101137800252845,791,634,6,3.93488081360133,0,0.00632111251580278,791,1,0,1,0,0,0,1,0
"2013-01-01","Mozambique",2,0,10,0,2,1,0,80,4,6,0,2,5,5,16,1,0,1,6,5,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.00219298245614035,0,0.0109649122807018,0,0.00219298245614035,0.00109649122807018,0,0.087719298245614,0.0043859649122807,0.00657894736842105,0,0.00219298245614035,0.00548245614035088,0.00548245614035088,0.0175438596491228,0.00109649122807018,0,0.00109649122807018,0.00657894736842105,0.00548245614035088,0,0,0,0,0,0.00219298245614035,0,0,0,0.00219298245614035,0,0,0,0,0,0,0,0,0.00109649122807018,0,0,13,8,6,0,5,6,7,0,2,9,15,0.0142543859649123,0.0087719298245614,0.00657894736842105,0,0.00548245614035088,0.00657894736842105,0.00767543859649123,0,0.00219298245614035,0.00986842105263158,0.0164473684210526,912,701,2,4.0328450949872,0,0.00548245614035088,912,1,0,1,0,0,0,1,0
"2013-02-01","Mozambique",2,0,11,2,10,0,0,53,3,9,0,2,3,4,7,2,0,2,5,6,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.00267737617135207,0,0.0147255689424364,0.00267737617135207,0.0133868808567604,0,0,0.07095046854083,0.00401606425702811,0.0120481927710843,0,0.00267737617135207,0.00401606425702811,0.00535475234270415,0.00937081659973226,0.00267737617135207,0,0.00267737617135207,0.00669344042838019,0.00803212851405622,0,0.00133868808567604,0,0,0,0,0.00133868808567604,0.00133868808567604,0,0.00133868808567604,0,0,0,0.00133868808567604,0,0,0,0.00133868808567604,0,0,0,10,5,2,0,11,4,0,1,1,9,6,0.0133868808567604,0.00669344042838019,0.00267737617135207,0,0.0147255689424364,0.00535475234270415,0,0.00133868808567604,0.00133868808567604,0.0120481927710843,0.00803212851405622,747,581,2,4.28782874124793,0.00401606425702811,0.00401606425702811,747,1,0,1,0,0,0,1,0
"2013-03-01","Mozambique",2,1,32,5,5,1,1,27,15,5,0,2,9,1,8,3,1,4,2,6,0,0,0,0,0,1,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0.00206398348813209,0.00103199174406605,0.0330237358101135,0.00515995872033024,0.00515995872033024,0.00103199174406605,0.00103199174406605,0.0278637770897833,0.0154798761609907,0.00515995872033024,0,0.00206398348813209,0.00928792569659443,0.00103199174406605,0.00825593395252838,0.00309597523219814,0.00103199174406605,0.00412796697626419,0.00206398348813209,0.00619195046439629,0,0,0,0,0,0.00103199174406605,0,0.00206398348813209,0,0.0113519091847265,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,8,12,2,2,0,9,8,0.0123839009287926,0.00412796697626419,0,0,0.00825593395252838,0.0123839009287926,0.00206398348813209,0.00206398348813209,0,0.00928792569659443,0.00825593395252838,969,791,2,4.7825038666028,0.00309597523219814,0.0113519091847265,969,1,0,1,0,0,0,1,0
"2013-04-01","Mozambique",3,1,20,1,8,3,1,9,6,8,0,2,5,3,6,4,1,4,9,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.00357142857142857,0.00119047619047619,0.0238095238095238,0.00119047619047619,0.00952380952380952,0.00357142857142857,0.00119047619047619,0.0107142857142857,0.00714285714285714,0.00952380952380952,0,0.00238095238095238,0.00595238095238095,0.00357142857142857,0.00714285714285714,0.00476190476190476,0.00119047619047619,0.00476190476190476,0.0107142857142857,0.00952380952380952,0,0,0,0,0,0,0,0.00119047619047619,0,0.00119047619047619,0,0,0,0,0,0,0,0,0,0,0.00119047619047619,16,5,1,0,4,6,0,0,0,9,12,0.019047619047619,0.00595238095238095,0.00119047619047619,0,0.00476190476190476,0.00714285714285714,0,0,0,0.0107142857142857,0.0142857142857143,840,691,4,5.26261316523339,0,0.00357142857142857,840,1,0,1,0,0,0,1,0
"2013-05-01","Mozambique",6,1,18,4,13,1,1,9,7,7,0,0,8,1,27,6,1,2,5,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0.00732600732600733,0.00122100122100122,0.021978021978022,0.00488400488400488,0.0158730158730159,0.00122100122100122,0.00122100122100122,0.010989010989011,0.00854700854700855,0.00854700854700855,0,0,0.00976800976800977,0.00122100122100122,0.032967032967033,0.00732600732600733,0.00122100122100122,0.00244200244200244,0.00610500610500611,0.00366300366300366,0,0,0,0,0,0.00122100122100122,0,0,0,0.00244200244200244,0,0,0,0,0,0,0,0,0,0.00122100122100122,0.00122100122100122,10,4,1,0,6,6,0,0,3,4,8,0.0122100122100122,0.00488400488400488,0.00122100122100122,0,0.00732600732600733,0.00732600732600733,0,0,0.00366300366300366,0.00488400488400488,0.00976800976800977,819,663,5,4.85519421387335,0.00122100122100122,0.00488400488400488,819,1,0,1,0,0,0,1,0
"2013-06-01","Mozambique",2,1,17,4,14,1,0,9,10,5,0,1,6,1,31,4,0,4,14,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0.00219298245614035,0.00109649122807018,0.018640350877193,0.0043859649122807,0.0153508771929825,0.00109649122807018,0,0.00986842105263158,0.0109649122807018,0.00548245614035088,0,0.00109649122807018,0.00657894736842105,0.00109649122807018,0.0339912280701754,0.0043859649122807,0,0.0043859649122807,0.0153508771929825,0.00328947368421053,0,0,0,0,0,0.00109649122807018,0,0,0,0.00219298245614035,0,0,0,0,0,0,0,0.00109649122807018,0,0.00109649122807018,0,13,12,1,0,5,8,3,1,1,10,7,0.0142543859649123,0.0131578947368421,0.00109649122807018,0,0.00548245614035088,0.0087719298245614,0.00328947368421053,0.00109649122807018,0.00109649122807018,0.0109649122807018,0.00767543859649123,912,729,0,4.44136945353288,0.00219298245614035,0.00548245614035088,912,1,0,1,0,0,0,1,0
"2013-07-01","Mozambique",3,0,37,5,21,2,1,13,16,6,0,1,8,1,4,6,1,5,1,7,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0.003125,0,0.0385416666666667,0.00520833333333333,0.021875,0.00208333333333333,0.00104166666666667,0.0135416666666667,0.0166666666666667,0.00625,0,0.00104166666666667,0.00833333333333333,0.00104166666666667,0.00416666666666667,0.00625,0.00104166666666667,0.00520833333333333,0.00104166666666667,0.00729166666666667,0,0,0,0,0.00104166666666667,0,0,0,0,0.00208333333333333,0,0,0,0,0,0,0,0.00104166666666667,0,0,0,16,6,6,0,14,3,0,0,0,4,11,0.0166666666666667,0.00625,0.00625,0,0.0145833333333333,0.003125,0,0,0,0.00416666666666667,0.0114583333333333,960,771,3,5.27355641715807,0.00104166666666667,0.003125,960,1,0,1,0,0,0,1,0
"2013-08-01","Mozambique",3,0,36,1,13,0,0,32,10,10,0,3,4,2,7,2,0,2,8,8,0,0,0,0,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0.00302114803625378,0,0.0362537764350453,0.00100704934541793,0.013091641490433,0,0,0.0322255790533736,0.0100704934541793,0.0100704934541793,0,0.00302114803625378,0.0040281973816717,0.00201409869083585,0.00704934541792548,0.00201409869083585,0,0.00201409869083585,0.0080563947633434,0.0080563947633434,0,0,0,0,0,0,0.00100704934541793,0,0,0.00604229607250755,0,0,0,0.00201409869083585,0,0,0,0,0,0,0,20,10,0,0,6,11,0,2,2,17,12,0.0201409869083585,0.0100704934541793,0,0,0.00604229607250755,0.0110775427995972,0,0.00201409869083585,0.00201409869083585,0.0171198388721047,0.0120845921450151,993,776,7,4.3212598830722,0.0040281973816717,0.00503524672708963,993,1,0,1,0,0,0,1,0
