"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","moneaksekar.com","cambodiadaily.com"
"2012-01-01","Cambodia",3,0,2,2,6,2,3,18,23,2,0,0,9,4,12,0,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.00214438884917798,0,0.00142959256611866,0.00142959256611866,0.00428877769835597,0.00142959256611866,0.00214438884917798,0.0128663330950679,0.0164403145103645,0.00142959256611866,0,0,0.00643316654753395,0.00285918513223731,0.00857755539671194,0,0,0.000714796283059328,0.000714796283059328,0.00214438884917798,0,0,0,0,0,0,0,0.00142959256611866,0,0,0,0.000714796283059328,0,0,0,0,0,0,0,20,3,3,3,20,7,1,0,0,7,6,0.0142959256611866,0.00214438884917798,0.00214438884917798,0.00214438884917798,0.0142959256611866,0.0050035739814153,0.000714796283059328,0,0,0.0050035739814153,0.00428877769835597,1399,1253,1396,6.21810926791372,0,0.00214438884917798,1399,0,0
"2012-02-01","Cambodia",1,0,1,1,2,1,2,10,16,2,0,2,5,7,7,0,0,0,6,2,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0.000717875089734386,0,0.000717875089734386,0.000717875089734386,0.00143575017946877,0.000717875089734386,0.00143575017946877,0.00717875089734386,0.0114860014357502,0.00143575017946877,0,0.00143575017946877,0.00358937544867193,0.0050251256281407,0.0050251256281407,0,0,0,0.00430725053840632,0.00143575017946877,0,0.000717875089734386,0,0,0,0,0.000717875089734386,0.00143575017946877,0,0,0,0.000717875089734386,0,0,0,0,0,0,0,16,2,3,2,27,6,0,1,0,4,11,0.0114860014357502,0.00143575017946877,0.00215362526920316,0.00143575017946877,0.0193826274228284,0.00430725053840632,0,0.000717875089734386,0,0.00287150035893754,0.00789662598707825,1393,1267,1388,4.84560695344918,0.000717875089734386,0.00287150035893754,1393,0,0
"2012-03-01","Cambodia",6,1,11,1,8,0,1,18,13,1,0,5,7,3,7,4,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.00374298190892077,0.000623830318153462,0.00686213349968808,0.000623830318153462,0.0049906425452277,0,0.000623830318153462,0.0112289457267623,0.00810979413599501,0.000623830318153462,0,0.00311915159076731,0.00436681222707424,0.00187149095446039,0.00436681222707424,0.00249532127261385,0,0,0.00249532127261385,0.000623830318153462,0,0,0,0,0,0,0,0,0.000623830318153462,0,0,0.000623830318153462,0,0,0,0,0,0,0,17,6,8,3,31,5,0,1,0,10,19,0.0106051154086089,0.00374298190892077,0.0049906425452277,0.00187149095446039,0.0193387398627573,0.00311915159076731,0,0.000623830318153462,0,0.00623830318153462,0.0118527760449158,1603,1425,1601,4.74850765838477,0.000623830318153462,0.00249532127261385,1603,0,1
"2012-04-01","Cambodia",4,2,11,1,10,5,0,15,11,0,0,1,4,8,13,0,0,1,9,3,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0.00268096514745308,0.00134048257372654,0.00737265415549598,0.000670241286863271,0.00670241286863271,0.00335120643431635,0,0.0100536193029491,0.00737265415549598,0,0,0.000670241286863271,0.00268096514745308,0.00536193029490617,0.00871313672922252,0,0,0.000670241286863271,0.00603217158176944,0.00201072386058981,0,0,0,0,0.000670241286863271,0,0,0.000670241286863271,0,0,0,0.00134048257372654,0,0,0,0.000670241286863271,0.000670241286863271,0.000670241286863271,0,24,7,2,0,15,4,1,0,1,13,9,0.0160857908847185,0.0046916890080429,0.00134048257372654,0,0.0100536193029491,0.00268096514745308,0.000670241286863271,0,0.000670241286863271,0.00871313672922252,0.00603217158176944,1492,1321,1485,5.59775170315833,0.000670241286863271,0.00603217158176944,1492,0,1
"2012-05-01","Cambodia",6,2,9,1,9,0,0,21,20,1,1,0,7,4,8,3,1,1,4,8,0,1,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,1,0,0.0026857654431513,0.000895255147717099,0.00402864816472695,0.00044762757385855,0.00402864816472695,0,0,0.00940017905102954,0.00895255147717099,0.00044762757385855,0.00044762757385855,0,0.00313339301700985,0.0017905102954342,0.0035810205908684,0.00134288272157565,0.00044762757385855,0.00044762757385855,0.0017905102954342,0.0035810205908684,0,0.00044762757385855,0,0,0,0,0,0.0017905102954342,0,0,0,0.000895255147717099,0.00044762757385855,0,0,0,0,0.00044762757385855,0,25,6,2,0,22,4,0,2,0,15,20,0.0111906893464637,0.0026857654431513,0.000895255147717099,0,0.00984780662488809,0.0017905102954342,0,0.000895255147717099,0,0.00671441360787824,0.00895255147717099,2234,2040,2225,4.69339110960109,0,0.00402864816472695,2234,0,1
"2012-06-01","Cambodia",4,2,18,3,9,2,1,14,25,5,0,1,8,6,10,2,0,0,2,4,0,0,0,1,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0.00185873605947955,0.000929368029739777,0.00836431226765799,0.00139405204460967,0.004182156133829,0.000929368029739777,0.000464684014869888,0.00650557620817844,0.0116171003717472,0.00232342007434944,0,0.000464684014869888,0.00371747211895911,0.00278810408921933,0.00464684014869888,0.000929368029739777,0,0,0.000929368029739777,0.00185873605947955,0,0,0,0.000464684014869888,0,0,0,0.000929368029739777,0,0,0,0.00139405204460967,0.000464684014869888,0,0,0,0,0,0,26,3,0,0,17,3,0,0,0,9,13,0.0120817843866171,0.00139405204460967,0,0,0.0078996282527881,0.00139405204460967,0,0,0,0.004182156133829,0.00604089219330855,2152,1974,2145,4.58021482300362,0.000464684014869888,0.00325278810408922,2152,0,1
"2012-07-01","Cambodia",9,0,2,0,31,3,1,26,15,6,0,10,2,8,8,4,1,3,8,3,0,0,0,0,0,0,0,1,0,0,0,5,13,0,0,0,0,0,0,0.00433526011560694,0,0.000963391136801541,0,0.0149325626204239,0.00144508670520231,0.000481695568400771,0.01252408477842,0.00722543352601156,0.00289017341040462,0,0.00481695568400771,0.000963391136801541,0.00385356454720617,0.00385356454720617,0.00192678227360308,0.000481695568400771,0.00144508670520231,0.00385356454720617,0.00144508670520231,0,0,0,0,0,0,0,0.000481695568400771,0,0,0,0.00240847784200385,0.00626204238921002,0,0,0,0,0,0,15,5,1,1,23,4,0,2,0,5,7,0.00722543352601156,0.00240847784200385,0.000481695568400771,0.000481695568400771,0.0110789980732177,0.00192678227360308,0,0.000963391136801541,0,0.00240847784200385,0.00337186897880539,2076,1878,2057,5.59256218888651,0,0.00915221579961464,2076,0,1
"2012-08-01","Cambodia",5,1,5,1,9,1,1,22,21,1,0,2,10,7,6,2,0,0,7,5,0,0,0,0,0,0,0,1,0,1,0,5,0,1,0,0,0,0,0,0.00279642058165548,0.000559284116331096,0.00279642058165548,0.000559284116331096,0.00503355704697987,0.000559284116331096,0.000559284116331096,0.0123042505592841,0.011744966442953,0.000559284116331096,0,0.00111856823266219,0.00559284116331096,0.00391498881431767,0.00335570469798658,0.00111856823266219,0,0,0.00391498881431767,0.00279642058165548,0,0,0,0,0,0,0,0.000559284116331096,0,0.000559284116331096,0,0.00279642058165548,0,0.000559284116331096,0,0,0,0,0,20,2,1,2,27,5,0,3,0,14,14,0.0111856823266219,0.00111856823266219,0.000559284116331096,0.00111856823266219,0.0151006711409396,0.00279642058165548,0,0.00167785234899329,0,0.00782997762863535,0.00782997762863535,1788,1606,1780,5.38988130776376,0.000559284116331096,0.00447427293064877,1788,0,1
"2012-09-01","Cambodia",7,1,5,1,7,3,1,21,23,2,1,0,10,4,8,5,0,0,7,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.00408401400233372,0.00058343057176196,0.0029171528588098,0.00058343057176196,0.00408401400233372,0.00175029171528588,0.00058343057176196,0.0122520420070012,0.0134189031505251,0.00116686114352392,0.00058343057176196,0,0.0058343057176196,0.00233372228704784,0.00466744457409568,0.0029171528588098,0,0,0.00408401400233372,0.00175029171528588,0,0,0,0,0,0,0.00058343057176196,0.00058343057176196,0,0,0,0.00058343057176196,0,0,0,0,0,0,0,34,6,9,0,38,10,1,2,0,12,7,0.0198366394399067,0.00350058343057176,0.00525087514585764,0,0.0221703617269545,0.0058343057176196,0.00058343057176196,0.00116686114352392,0,0.00700116686114352,0.00408401400233372,1714,1506,1711,6.14507532625483,0.00058343057176196,0.00175029171528588,1714,0,1
"2012-10-01","Cambodia",5,3,11,2,4,3,0,18,18,1,0,0,1,6,7,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.00292226767971946,0.00175336060783168,0.00642898889538282,0.00116890707188778,0.00233781414377557,0.00175336060783168,0,0.0105201636469901,0.0105201636469901,0.000584453535943892,0,0,0.000584453535943892,0.00350672121566335,0.00409117475160725,0.00116890707188778,0,0,0.00350672121566335,0.00116890707188778,0,0,0,0,0,0,0,0,0,0,0,0.00116890707188778,0.00116890707188778,0,0,0,0,0,0,20,2,5,0,23,5,3,0,1,12,8,0.0116890707188778,0.00116890707188778,0.00292226767971946,0,0.0134424313267095,0.00292226767971946,0.00175336060783168,0,0.000584453535943892,0.00701344243132671,0.00467562828755114,1711,1550,1707,4.46780751516455,0.00175336060783168,0.00116890707188778,1711,0,1
