"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","onlinekhabar.com","english.onlinekhabar.com","en.setopati.com","thehimalayantimes.com","nepalitimes.com"
"2014-11-01","Nepal",1,1,3,6,46,1,0,11,9,12,1,8,7,8,14,3,1,2,2,5,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0.00144300144300144,0.00144300144300144,0.00432900432900433,0.00865800865800866,0.0663780663780664,0.00144300144300144,0,0.0158730158730159,0.012987012987013,0.0173160173160173,0.00144300144300144,0.0115440115440115,0.0101010101010101,0.0115440115440115,0.0202020202020202,0.00432900432900433,0.00144300144300144,0.00288600288600289,0.00288600288600289,0.00721500721500722,0.00144300144300144,0,0,0,0,0,0.00144300144300144,0,0,0,0.00144300144300144,0,0,0.00144300144300144,0,0,0.00288600288600289,0,0,0,0.00144300144300144,0,10,25,7,0,9,15,3,1,2,1,4,0.0144300144300144,0.0360750360750361,0.0101010101010101,0,0.012987012987013,0.0216450216450216,0.00432900432900433,0.00144300144300144,0.00288600288600289,0.00144300144300144,0.00577200577200577,693,489,686,8.15631491942293,0.00577200577200577,0.012987012987013,693,1,0,0,0,0
"2014-12-01","Nepal",6,1,8,3,27,0,0,4,13,17,0,0,12,7,22,2,0,2,11,5,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,1,0,0,0,1,1,0,0.00820793433652531,0.00136798905608755,0.0109439124487004,0.00410396716826265,0.0369357045143639,0,0,0.00547195622435021,0.0177838577291382,0.0232558139534884,0,0,0.0164158686730506,0.00957592339261286,0.0300957592339261,0.0027359781121751,0,0.0027359781121751,0.0150478796169631,0.00683994528043776,0,0,0,0,0,0,0,0.00410396716826265,0.0027359781121751,0,0.0027359781121751,0,0,0,0,0.00136798905608755,0,0,0,0.00136798905608755,0.00136798905608755,0,17,30,8,0,7,16,1,4,1,4,2,0.0232558139534884,0.0410396716826265,0.0109439124487004,0,0.00957592339261286,0.0218878248974008,0.00136798905608755,0.00547195622435021,0.00136798905608755,0.00547195622435021,0.0027359781121751,731,518,721,6.89218625481006,0.00683994528043776,0.012311901504788,731,1,0,0,1,0
"2015-01-01","Nepal",4,0,11,0,40,5,0,5,4,27,1,5,6,5,23,7,0,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00550964187327824,0,0.0151515151515152,0,0.0550964187327824,0.0068870523415978,0,0.0068870523415978,0.00550964187327824,0.0371900826446281,0.00137741046831956,0.0068870523415978,0.00826446280991736,0.0068870523415978,0.0316804407713499,0.00964187327823691,0,0.00826446280991736,0.00964187327823691,0.0110192837465565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137741046831956,0,11,25,7,0,2,16,2,1,1,0,3,0.0151515151515152,0.034435261707989,0.00964187327823691,0,0.00275482093663912,0.0220385674931129,0.00275482093663912,0.00137741046831956,0.00137741046831956,0,0.00413223140495868,726,505,725,9.05290108175988,0.00137741046831956,0.00275482093663912,726,1,0,0,0,0
"2015-02-01","Nepal",2,0,7,5,37,2,0,8,8,11,1,5,5,2,17,4,0,4,4,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0.00312989045383412,0,0.0109546165884194,0.00782472613458529,0.0579029733959311,0.00312989045383412,0,0.0125195618153365,0.0125195618153365,0.0172143974960876,0.00156494522691706,0.00782472613458529,0.00782472613458529,0.00312989045383412,0.02660406885759,0.00625978090766823,0,0.00625978090766823,0.00625978090766823,0.00312989045383412,0,0,0,0,0,0,0,0,0,0,0.00156494522691706,0.00312989045383412,0,0,0.00156494522691706,0,0,0,0,0,0,0,6,19,5,0,3,14,1,1,0,1,1,0.00938967136150235,0.0297339593114241,0.00782472613458529,0,0.00469483568075117,0.0219092331768388,0.00156494522691706,0.00156494522691706,0,0.00156494522691706,0.00156494522691706,639,472,635,7.60031367423986,0.00625978090766823,0.00782472613458529,639,1,0,0,1,0
"2015-03-01","Nepal",6,0,7,1,49,3,1,12,12,11,0,2,11,3,22,5,0,3,4,4,0,0,0,1,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00892857142857143,0,0.0104166666666667,0.00148809523809524,0.0729166666666667,0.00446428571428571,0.00148809523809524,0.0178571428571429,0.0178571428571429,0.0163690476190476,0,0.00297619047619048,0.0163690476190476,0.00446428571428571,0.0327380952380952,0.00744047619047619,0,0.00446428571428571,0.00595238095238095,0.00595238095238095,0,0,0,0.00148809523809524,0,0,0,0.00595238095238095,0.00297619047619048,0,0.00297619047619048,0,0,0,0,0,0,0,0,0,0,0,17,20,7,0,9,17,1,2,1,2,2,0.025297619047619,0.0297619047619048,0.0104166666666667,0,0.0133928571428571,0.025297619047619,0.00148809523809524,0.00297619047619048,0.00148809523809524,0.00297619047619048,0.00297619047619048,672,456,663,5.55787910669688,0.00148809523809524,0.0193452380952381,672,1,0,0,1,0
"2015-04-01","Nepal",1,0,10,4,27,1,0,545,8,14,4,4,8,16,21,3,0,1,16,8,1,0,0,0,0,0,1,2,3,0,4,0,0,1,0,0,0,0,0,0,1,0,0.000632911392405063,0,0.00632911392405063,0.00253164556962025,0.0170886075949367,0.000632911392405063,0,0.34493670886076,0.00506329113924051,0.00886075949367089,0.00253164556962025,0.00253164556962025,0.00506329113924051,0.010126582278481,0.0132911392405063,0.00189873417721519,0,0.000632911392405063,0.010126582278481,0.00506329113924051,0.000632911392405063,0,0,0,0,0,0.000632911392405063,0.00126582278481013,0.00189873417721519,0,0.00253164556962025,0,0,0.000632911392405063,0,0,0,0,0,0,0.000632911392405063,0,10,19,9,0,13,10,1,0,2,4,1,0.00632911392405063,0.0120253164556962,0.00569620253164557,0,0.00822784810126582,0.00632911392405063,0.000632911392405063,0,0.00126582278481013,0.00253164556962025,0.000632911392405063,1580,836,1567,7.55165855138417,0,0.00886075949367089,1580,1,0,0,1,0
"2015-05-01","Nepal",2,0,3,1,26,0,0,452,1,0,1,16,3,24,1,5,0,1,8,5,0,0,0,0,0,0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0.00145560407569141,0,0.00218340611353712,0.000727802037845706,0.0189228529839884,0,0,0.328966521106259,0.000727802037845706,0,0.000727802037845706,0.0116448326055313,0.00218340611353712,0.0174672489082969,0.000727802037845706,0.00363901018922853,0,0.000727802037845706,0.00582241630276565,0.00363901018922853,0,0,0,0,0,0,0.00145560407569141,0,0.00145560407569141,0,0.00145560407569141,0,0,0,0.000727802037845706,0,0,0,0,0,0.000727802037845706,0,6,16,1,0,3,8,1,3,1,5,5,0.00436681222707424,0.0116448326055313,0.000727802037845706,0,0.00218340611353712,0.00582241630276565,0.000727802037845706,0.00218340611353712,0.000727802037845706,0.00363901018922853,0.00363901018922853,1374,779,1366,8.51701835005203,0,0.00727802037845706,1374,1,0,0,1,0
"2015-06-01","Nepal",9,2,15,6,85,3,1,419,21,71,4,7,12,23,37,5,0,7,1,8,1,0,0,0,0,1,1,4,4,0,5,0,0,0,1,1,0,0,0,0,1,0,0.00383468257349808,0.000852151682999574,0.0063911376224968,0.00255645504899872,0.0362164465274819,0.00127822752449936,0.000426075841499787,0.178525777588411,0.00894759267149553,0.0302513847464849,0.00170430336599915,0.00298253089049851,0.00511291009799744,0.0097997443544951,0.0157648061354921,0.00213037920749893,0,0.00298253089049851,0.000426075841499787,0.0034086067319983,0.000426075841499787,0,0,0,0,0.000426075841499787,0.000426075841499787,0.00170430336599915,0.00170430336599915,0,0.00213037920749893,0,0,0,0.000426075841499787,0.000426075841499787,0,0,0,0,0.000426075841499787,0,102,70,11,0,17,49,1,7,5,32,27,0.0434597358329783,0.0298253089049851,0.00468683425649766,0,0.00724328930549638,0.0208777162334896,0.000426075841499787,0.00298253089049851,0.00213037920749893,0.0136344269279932,0.0115040477204942,2347,1313,2328,6.80672346216047,0.000852151682999574,0.014060502769493,2347,1,0,0,1,0
"2015-07-01","Nepal",21,1,26,7,90,8,0,330,11,199,7,8,19,29,80,10,2,16,9,24,0,0,0,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00726141078838174,0.000345781466113416,0.00899031811894882,0.00242047026279391,0.0311203319502075,0.00276625172890733,0,0.114107883817427,0.00380359612724758,0.0688105117565699,0.00242047026279391,0.00276625172890733,0.00656984785615491,0.0100276625172891,0.0276625172890733,0.00345781466113416,0.000691562932226833,0.00553250345781466,0.00311203319502075,0.00829875518672199,0,0,0,0,0,0.000345781466113416,0.00103734439834025,0,0.00103734439834025,0,0.000691562932226833,0,0,0,0,0,0,0,0,0,0,0,135,86,20,0,22,142,5,7,5,48,49,0.0466804979253112,0.0297372060857538,0.00691562932226833,0,0.00760719225449516,0.0491009681881051,0.00172890733056708,0.00242047026279391,0.00172890733056708,0.016597510373444,0.0169432918395574,2892,1514,2883,8.68269350135221,0.000345781466113416,0.00518672199170124,2892,1,0,0,1,0
"2015-08-01","Nepal",25,4,13,15,115,11,0,249,34,84,70,32,15,26,239,17,4,14,63,46,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,2,2,0,0.00879043600562588,0.00140646976090014,0.00457102672292546,0.00527426160337553,0.040436005625879,0.00386779184247539,0,0.0875527426160338,0.0119549929676512,0.029535864978903,0.0246132208157525,0.0112517580872011,0.00527426160337553,0.00914205344585091,0.0840365682137834,0.0059774964838256,0.00140646976090014,0.00492264416315049,0.0221518987341772,0.0161744022503516,0.000351617440225035,0,0,0,0,0,0,0.00070323488045007,0.00070323488045007,0,0,0,0,0,0.000351617440225035,0.000351617440225035,0.000351617440225035,0,0,0.00070323488045007,0.00070323488045007,0,113,92,25,0,23,75,5,7,9,42,53,0.039732770745429,0.0323488045007032,0.00879043600562588,0,0.00808720112517581,0.0263713080168776,0.00175808720112518,0.00246132208157525,0.00316455696202532,0.0147679324894515,0.0186357243319269,2844,1363,2832,11.7794670921754,0.00070323488045007,0.0059774964838256,2844,1,0,0,1,0
