"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","laprensa.hn","tiempo.hn"
"2012-11-01","Honduras",17,0,96,15,18,1,1,9,20,11,0,7,10,3,16,6,2,5,24,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.017364657814096,0,0.0980592441266599,0.0153217568947906,0.0183861082737487,0.00102145045965271,0.00102145045965271,0.00919305413687436,0.0204290091930541,0.0112359550561798,0,0.00715015321756895,0.0102145045965271,0.00306435137895812,0.0163432073544433,0.00612870275791624,0.00204290091930541,0.00510725229826353,0.024514811031665,0.00612870275791624,0,0,0,0,0,0,0,0,0,0,0,0,0.00102145045965271,21,12,8,0,14,8,1,2,4,20,1,0.0214504596527068,0.0122574055158325,0.00817160367722165,0,0.0143003064351379,0.00817160367722165,0.00102145045965271,0.00204290091930541,0.00408580183861083,0.0204290091930541,0.00102145045965271,979,635,2,6.06650125757802,0,0.00102145045965271,979,1,0
"2012-12-01","Honduras",14,0,12,6,13,1,0,16,28,18,0,2,12,0,16,24,0,1,27,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0.0149253731343284,0,0.0127931769722814,0.00639658848614072,0.0138592750533049,0.00106609808102345,0,0.0170575692963753,0.0298507462686567,0.0191897654584222,0,0.00213219616204691,0.0127931769722814,0,0.0170575692963753,0.0255863539445629,0,0.00106609808102345,0.0287846481876333,0.00639658848614072,0,0.00319829424307036,0,0,0,0,0,0,0,0,0,0.00106609808102345,0,12,10,0,0,3,11,2,1,2,25,8,0.0127931769722814,0.0106609808102345,0,0,0.00319829424307036,0.011727078891258,0.00213219616204691,0.00106609808102345,0.00213219616204691,0.0266524520255864,0.00852878464818763,938,676,7,5.9213403077429,0,0.00426439232409382,938,1,0
"2013-01-01","Honduras",16,1,18,0,14,2,1,13,22,26,1,2,11,0,24,18,1,5,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152963671128107,0.000956022944550669,0.017208413001912,0,0.0133843212237094,0.00191204588910134,0.000956022944550669,0.0124282982791587,0.0210325047801147,0.0248565965583174,0.000956022944550669,0.00191204588910134,0.0105162523900574,0,0.0229445506692161,0.017208413001912,0.000956022944550669,0.00478011472275335,0.0286806883365201,0.00478011472275335,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,3,0,14,14,0,3,3,25,3,0.0239005736137667,0.00764818355640535,0.00286806883365201,0,0.0133843212237094,0.0133843212237094,0,0.00286806883365201,0.00286806883365201,0.0239005736137667,0.00286806883365201,1046,748,2,6.43927494942595,0,0,1046,1,0
"2013-02-01","Honduras",9,0,13,1,10,0,0,8,24,14,0,2,13,7,9,8,1,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120967741935484,0,0.0174731182795699,0.00134408602150538,0.0134408602150538,0,0,0.010752688172043,0.032258064516129,0.0188172043010753,0,0.00268817204301075,0.0174731182795699,0.00940860215053763,0.0120967741935484,0.010752688172043,0.00134408602150538,0.00403225806451613,0.0188172043010753,0.00403225806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,2,0,11,10,1,1,1,19,3,0.0228494623655914,0.0147849462365591,0.00268817204301075,0,0.0147849462365591,0.0134408602150538,0.00134408602150538,0.00134408602150538,0.00134408602150538,0.0255376344086022,0.00403225806451613,744,541,1,6.06695659044394,0,0,744,1,0
"2013-03-01","Honduras",15,1,13,0,11,1,0,22,22,20,0,3,13,0,7,1,1,5,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210674157303371,0.00140449438202247,0.0182584269662921,0,0.0154494382022472,0.00140449438202247,0,0.0308988764044944,0.0308988764044944,0.0280898876404494,0,0.00421348314606742,0.0182584269662921,0,0.0098314606741573,0.00140449438202247,0.00140449438202247,0.00702247191011236,0.0337078651685393,0.00140449438202247,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,12,15,1,1,4,15,5,0.023876404494382,0.00842696629213483,0,0,0.0168539325842697,0.0210674157303371,0.00140449438202247,0.00140449438202247,0.00561797752808989,0.0210674157303371,0.00702247191011236,712,486,0,6.81010375922562,0,0,712,1,0
"2013-04-01","Honduras",13,0,21,2,19,2,0,17,32,24,3,8,12,1,10,5,4,5,24,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0143964562569214,0,0.0232558139534884,0.00221483942414175,0.0210409745293466,0.00221483942414175,0,0.0188261351052049,0.035437430786268,0.026578073089701,0.00332225913621262,0.008859357696567,0.0132890365448505,0.00110741971207087,0.0110741971207087,0.00553709856035437,0.0044296788482835,0.00553709856035437,0.026578073089701,0.00553709856035437,0,0,0,0,0,0,0.00110741971207087,0,0,0,0,0,0,20,5,3,0,12,17,2,0,0,15,6,0.0221483942414175,0.00553709856035437,0.00332225913621262,0,0.0132890365448505,0.0188261351052049,0.00221483942414175,0,0,0.0166112956810631,0.00664451827242525,903,628,1,7.43624177008079,0.00110741971207087,0,903,1,0
"2013-05-01","Honduras",12,1,26,5,28,1,0,28,28,11,0,3,19,2,10,14,0,1,22,4,0,3,0,0,1,0,3,0,0,0,0,1,0,0.0144578313253012,0.00120481927710843,0.0313253012048193,0.00602409638554217,0.0337349397590361,0.00120481927710843,0,0.0337349397590361,0.0337349397590361,0.0132530120481928,0,0.0036144578313253,0.0228915662650602,0.00240963855421687,0.0120481927710843,0.0168674698795181,0,0.00120481927710843,0.0265060240963855,0.00481927710843374,0,0.0036144578313253,0,0,0.00120481927710843,0,0.0036144578313253,0,0,0,0,0.00120481927710843,0,23,11,4,0,10,2,1,0,0,19,4,0.027710843373494,0.0132530120481928,0.00481927710843374,0,0.0120481927710843,0.00240963855421687,0.00120481927710843,0,0,0.0228915662650602,0.00481927710843374,830,558,4,6.15126151687424,0.00240963855421687,0.0072289156626506,830,1,0
"2013-06-01","Honduras",9,0,12,2,9,1,1,20,43,16,1,1,24,0,19,14,3,1,26,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0.012311901504788,0,0.0164158686730506,0.0027359781121751,0.012311901504788,0.00136798905608755,0.00136798905608755,0.027359781121751,0.0588235294117647,0.0218878248974008,0.00136798905608755,0.00136798905608755,0.0328317373461012,0,0.0259917920656635,0.0191518467852257,0.00410396716826265,0.00136798905608755,0.0355677154582763,0.00957592339261286,0,0,0,0,0,0,0.00136798905608755,0.00136798905608755,0,0,0,0,0,14,2,1,1,14,2,2,0,0,20,4,0.0191518467852257,0.0027359781121751,0.00136798905608755,0.00136798905608755,0.0191518467852257,0.0027359781121751,0.0027359781121751,0,0,0.027359781121751,0.00547195622435021,731,487,0,9.94990446536806,0.00136798905608755,0.00136798905608755,731,1,0
"2013-07-01","Honduras",9,1,27,4,9,1,0,21,29,19,0,0,6,2,15,3,4,2,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0106382978723404,0.00118203309692671,0.0319148936170213,0.00472813238770686,0.0106382978723404,0.00118203309692671,0,0.024822695035461,0.0342789598108747,0.0224586288416076,0,0,0.00709219858156028,0.00236406619385343,0.0177304964539007,0.00354609929078014,0.00472813238770686,0.00236406619385343,0.0236406619385343,0.00945626477541371,0,0.00118203309692671,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,5,11,1,1,2,32,8,0.0224586288416076,0.00354609929078014,0,0,0.00591016548463357,0.0130023640661939,0.00118203309692671,0.00118203309692671,0.00236406619385343,0.0378250591016548,0.00945626477541371,846,590,2,6.43675788345941,0.00236406619385343,0,846,1,0
"2013-08-01","Honduras",9,0,56,3,14,2,0,28,34,15,0,14,14,1,16,10,2,4,26,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00838769804287046,0,0.0521901211556384,0.00279589934762349,0.0130475302889096,0.00186393289841566,0,0.0260950605778192,0.0316868592730662,0.0139794967381174,0,0.0130475302889096,0.0130475302889096,0.000931966449207828,0.0149114631873253,0.00931966449207828,0.00186393289841566,0.00372786579683131,0.0242311276794035,0.00559179869524697,0,0.000931966449207828,0,0,0,0,0,0,0,0,0,0,0,18,7,5,0,12,16,3,0,1,41,6,0.0167753960857409,0.0065237651444548,0.00465983224603914,0,0.0111835973904939,0.0149114631873253,0.00279589934762349,0,0.000931966449207828,0.038210624417521,0.00559179869524697,1073,725,0,6.41371599157901,0.000931966449207828,0,1073,1,0
