"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","mb.com.ph","manilastandard.net","manilatimes.net"
"2012-01-01","Philippines",9,2,17,4,22,11,5,140,200,24,1,10,90,15,14,24,4,4,34,30,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.00290135396518375,0.000644745325596389,0.00548033526756931,0.00128949065119278,0.00709219858156028,0.00354609929078014,0.00161186331399097,0.0451321727917473,0.0644745325596389,0.00773694390715667,0.000322372662798195,0.00322372662798195,0.0290135396518375,0.00483558994197292,0.00451321727917473,0.00773694390715667,0.00128949065119278,0.00128949065119278,0.0109606705351386,0.00967117988394584,0,0,0,0,0,0,0,0.000322372662798195,0,0.000322372662798195,0,0,0,0,0,0,0,0,0,0.000322372662798195,0,56,28,40,3,103,32,5,3,1,69,36,0.0180528691166989,0.00902643455834945,0.0128949065119278,0.000967117988394584,0.0332043842682141,0.0103159252095422,0.00161186331399097,0.000967117988394584,0.000322372662798195,0.0222437137330754,0.011605415860735,3102,2201,3099,7.05228682461585,0,0.00419084461637653,3102,0,1,0
"2012-02-01","Philippines",9,2,15,3,15,5,5,145,239,20,2,14,102,13,13,27,0,5,49,27,0,0,0,0,0,1,0,2,0,3,0,0,0,0,2,0,0,0,0,1,0,0.00291734197730956,0.000648298217179903,0.00486223662884927,0.000972447325769854,0.00486223662884927,0.00162074554294976,0.00162074554294976,0.0470016207455429,0.0774716369529984,0.00648298217179903,0.000648298217179903,0.00453808752025932,0.033063209076175,0.00421393841166937,0.00421393841166937,0.00875202593192869,0,0.00162074554294976,0.0158833063209076,0.00875202593192869,0,0,0,0,0,0.000324149108589951,0,0.000648298217179903,0,0.000972447325769854,0,0,0,0,0.000648298217179903,0,0,0,0,0.000324149108589951,0,60,18,36,4,123,43,1,1,2,54,30,0.0194489465153971,0.00583468395461912,0.0116693679092382,0.00129659643435981,0.039870340356564,0.0139384116693679,0.000324149108589951,0.000324149108589951,0.000648298217179903,0.0175040518638574,0.00972447325769854,3085,2148,3076,7.60647712574089,0.00129659643435981,0.00486223662884927,3085,0,0,0
"2012-03-01","Philippines",16,0,31,2,27,10,3,115,170,27,1,15,76,21,19,16,1,12,35,26,1,0,0,0,0,4,2,0,0,4,1,0,0,0,2,0,0,0,0,2,0,0.00484261501210654,0,0.00938256658595642,0.000605326876513317,0.00817191283292978,0.00302663438256659,0.000907990314769976,0.0348062953995157,0.051452784503632,0.00817191283292978,0.000302663438256659,0.00453995157384988,0.0230024213075061,0.00635593220338983,0.00575060532687651,0.00484261501210654,0.000302663438256659,0.0036319612590799,0.0105932203389831,0.00786924939467312,0.000302663438256659,0,0,0,0,0.00121065375302663,0.000605326876513317,0,0,0.00121065375302663,0.000302663438256659,0,0,0,0.000605326876513317,0,0,0,0,0.000605326876513317,0,60,29,33,3,118,48,6,2,3,43,26,0.0181598062953995,0.0087772397094431,0.00998789346246973,0.000907990314769976,0.0357142857142857,0.0145278450363196,0.00181598062953995,0.000605326876513317,0.000907990314769976,0.0130145278450363,0.00786924939467312,3304,2421,3288,6.26526138947692,0.000907990314769976,0.00696125907990315,3304,0,1,1
"2012-04-01","Philippines",21,3,35,5,41,4,4,83,93,18,2,21,41,12,23,8,2,18,43,25,0,0,0,1,2,6,0,0,0,3,8,0,0,0,14,1,3,0,0,3,0,0.00688976377952756,0.000984251968503937,0.0114829396325459,0.00164041994750656,0.0134514435695538,0.00131233595800525,0.00131233595800525,0.0272309711286089,0.030511811023622,0.00590551181102362,0.000656167979002625,0.00688976377952756,0.0134514435695538,0.00393700787401575,0.00754593175853018,0.0026246719160105,0.000656167979002625,0.00590551181102362,0.0141076115485564,0.00820209973753281,0,0,0,0.000328083989501312,0.000656167979002625,0.00196850393700787,0,0,0,0.000984251968503937,0.0026246719160105,0,0,0,0.00459317585301837,0.000328083989501312,0.000984251968503937,0,0,0.000984251968503937,0,47,28,21,4,86,31,3,5,2,45,23,0.0154199475065617,0.00918635170603675,0.00688976377952756,0.00131233595800525,0.0282152230971129,0.0101706036745407,0.000984251968503937,0.00164041994750656,0.000656167979002625,0.0147637795275591,0.00754593175853018,3048,2320,3007,5.61471389933504,0.000656167979002625,0.0164041994750656,3048,0,0,1
"2012-05-01","Philippines",8,3,53,7,28,3,6,121,208,28,1,13,99,15,44,18,1,9,39,20,0,0,0,1,5,4,1,0,0,13,0,0,0,1,5,0,1,0,0,2,0,0.00226757369614512,0.000850340136054422,0.0150226757369615,0.00198412698412698,0.00793650793650794,0.000850340136054422,0.00170068027210884,0.034297052154195,0.0589569160997732,0.00793650793650794,0.000283446712018141,0.00368480725623583,0.0280612244897959,0.00425170068027211,0.0124716553287982,0.00510204081632653,0.000283446712018141,0.00255102040816327,0.0110544217687075,0.00566893424036281,0,0,0,0.000283446712018141,0.0014172335600907,0.00113378684807256,0.000283446712018141,0,0,0.00368480725623583,0,0,0,0.000283446712018141,0.0014172335600907,0,0.000283446712018141,0,0,0.000566893424036281,0,49,28,27,1,92,33,3,5,3,50,18,0.0138888888888889,0.00793650793650794,0.0076530612244898,0.000283446712018141,0.0260770975056689,0.00935374149659864,0.000850340136054422,0.0014172335600907,0.000850340136054422,0.014172335600907,0.00510204081632653,3528,2623,3495,6.49030813899562,0.0014172335600907,0.0107709750566893,3528,0,0,1
"2012-06-01","Philippines",7,3,34,4,32,3,1,147,77,53,3,17,47,11,18,18,3,6,36,24,0,1,0,0,0,2,3,0,0,8,0,0,0,2,3,0,0,0,0,0,1,0.00232018561484919,0.000994365263506795,0.0112694729864103,0.00132582035134239,0.0106065628107391,0.000994365263506795,0.000331455087835598,0.0487238979118329,0.0255220417633411,0.0175671196552867,0.000994365263506795,0.00563473649320517,0.0155783891282731,0.00364600596619158,0.00596619158104077,0.00596619158104077,0.000994365263506795,0.00198873052701359,0.0119323831620815,0.00795492210805436,0,0.000331455087835598,0,0,0,0.000662910175671197,0.000994365263506795,0,0,0.00265164070268479,0,0,0,0.000662910175671197,0.000994365263506795,0,0,0,0,0,0.000331455087835598,44,23,15,5,76,48,7,6,2,36,31,0.0145840238647663,0.00762346702021876,0.00497182631753397,0.00165727543917799,0.0251905866755055,0.0159098442161087,0.00232018561484919,0.00198873052701359,0.000662910175671197,0.0119323831620815,0.0102751077229035,3017,2247,2997,4.27847867434839,0.000331455087835598,0.0112694729864103,3017,0,0,1
"2012-07-01","Philippines",7,1,46,7,47,2,2,142,109,66,3,8,61,12,23,17,2,4,30,27,0,0,0,0,0,4,0,1,0,2,0,0,0,1,14,2,0,0,0,1,0,0.00209017617199164,0.000298596595998806,0.0137354434159451,0.00209017617199164,0.0140340400119439,0.000597193191997611,0.000597193191997611,0.0424007166318304,0.0325470289638698,0.0197073753359212,0.000895789787996417,0.00238877276799045,0.0182143923559271,0.00358315915198567,0.00686772170797253,0.0050761421319797,0.000597193191997611,0.00119438638399522,0.00895789787996417,0.00806210809196775,0,0,0,0,0,0.00119438638399522,0,0.000298596595998806,0,0.000597193191997611,0,0,0,0.000298596595998806,0.00418035234398328,0.000597193191997611,0,0,0,0.000298596595998806,0,42,26,21,4,64,69,7,4,4,42,27,0.0125410570319498,0.00776351149596895,0.00627052851597492,0.00119438638399522,0.0191101821439236,0.0206031651239176,0.00209017617199164,0.00119438638399522,0.00119438638399522,0.0125410570319498,0.00806210809196775,3349,2509,3324,4.00490159775622,0.000895789787996417,0.0104508808599582,3349,0,0,1
"2012-08-01","Philippines",11,2,28,3,25,8,2,320,75,53,10,12,40,20,20,12,1,3,45,30,0,0,0,1,1,3,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0.00306150848872808,0.00055663790704147,0.00779293069858057,0.000834956860562204,0.00695797383801837,0.00222655162816588,0.00055663790704147,0.0890620651266351,0.0208739215140551,0.0147509045365989,0.00278318953520735,0.00333982744224882,0.0111327581408294,0.0055663790704147,0.0055663790704147,0.00333982744224882,0.000278318953520735,0.000834956860562204,0.0125243529084331,0.00834956860562204,0,0,0,0.000278318953520735,0.000278318953520735,0.000834956860562204,0.000278318953520735,0,0,0.00055663790704147,0,0,0,0.000278318953520735,0.00055663790704147,0,0,0,0,0,0,41,19,12,6,67,54,9,2,5,56,24,0.0114110770943501,0.00528806011689396,0.00333982744224882,0.00166991372112441,0.0186473698858892,0.0150292234901197,0.00250487058168661,0.00055663790704147,0.00139159476760367,0.0155858613971611,0.00667965488449763,3593,2634,3582,3.45572650464523,0.00055663790704147,0.00333982744224882,3593,0,0,1
"2012-09-01","Philippines",11,11,63,4,32,9,4,169,103,46,12,19,61,11,8,27,1,14,32,27,0,1,0,0,0,2,6,0,0,3,0,0,0,0,6,0,0,1,0,1,0,0.00336700336700337,0.00336700336700337,0.0192837465564738,0.0012243648607285,0.00979491888582798,0.00275482093663912,0.0012243648607285,0.051729415365779,0.0315273951637588,0.0140801958983777,0.00367309458218549,0.00581573308846036,0.0186715641261096,0.00336700336700337,0.00244872972145699,0.00826446280991736,0.000306091215182124,0.00428527701254974,0.00979491888582798,0.00826446280991736,0,0.000306091215182124,0,0,0,0.000612182430364249,0.00183654729109275,0,0,0.000918273645546373,0,0,0,0,0.00183654729109275,0,0,0.000306091215182124,0,0.000306091215182124,0,63,32,16,3,85,66,9,1,2,41,16,0.0192837465564738,0.00979491888582798,0.00489745944291399,0.000918273645546373,0.0260177532904806,0.0202020202020202,0.00275482093663912,0.000306091215182124,0.000612182430364249,0.0125497398224671,0.00489745944291399,3267,2347,3247,4.90973895450722,0.00153045607591062,0.00948882767064585,3267,0,0,0
"2012-10-01","Philippines",18,1,102,5,85,4,5,122,103,88,5,12,54,22,22,20,2,8,38,15,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.00504060487258471,0.000280033604032484,0.0285634276113134,0.00140016802016242,0.0238028563427611,0.00112013441612994,0.00140016802016242,0.034164099691963,0.0288434612153458,0.0246429571548586,0.00140016802016242,0.00336040324838981,0.0151218146177541,0.00616073928871465,0.00616073928871465,0.00560067208064968,0.000560067208064968,0.00224026883225987,0.0106412769532344,0.00420050406048726,0,0,0,0.000280033604032484,0,0,0.000280033604032484,0.000280033604032484,0,0.000280033604032484,0.000280033604032484,0,0,0,0,0,0,0,0,0.000280033604032484,0,60,35,25,0,66,74,7,6,5,46,37,0.016802016241949,0.00980117614113694,0.0070008401008121,0,0.0184822178661439,0.0207224866984038,0.00196023522822739,0.0016802016241949,0.00140016802016242,0.0128815457854943,0.0103612433492019,3571,2562,3565,4.08827306799372,0.000280033604032484,0.00280033604032484,3571,0,1,1
