"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","tribuna.md","unimedia.info","voceabasarabiei.md","publika.md"
"2012-01-01","Moldova",3,1,48,7,30,0,0,20,22,19,0,5,15,2,64,11,0,5,11,12,0,0,2,2,2,8,11,1,2,1,7,0,1,3,6,3,6,0,2,0,2,0,0.00172612197928654,0.000575373993095512,0.0276179516685846,0.00402761795166858,0.0172612197928654,0,0,0.0115074798619102,0.0126582278481013,0.0109321058688147,0,0.00287686996547756,0.00863060989643268,0.00115074798619102,0.0368239355581128,0.00632911392405063,0,0.00287686996547756,0.00632911392405063,0.00690448791714614,0,0,0.00115074798619102,0.00115074798619102,0.00115074798619102,0.0046029919447641,0.00632911392405063,0.000575373993095512,0.00115074798619102,0.000575373993095512,0.00402761795166858,0,0.000575373993095512,0.00172612197928654,0.00345224395857307,0.00172612197928654,0.00345224395857307,0,0.00115074798619102,0,0.00115074798619102,0,11,14,7,0,22,11,2,2,1,13,13,0.00632911392405063,0.00805523590333717,0.00402761795166858,0,0.0126582278481013,0.00632911392405063,0.00115074798619102,0.00115074798619102,0.000575373993095512,0.00747986191024166,0.00747986191024166,1738,1381,1679,4.69768879974132,0.0385500575373993,0,1738,0,0,0,1
"2012-02-01","Moldova",13,2,68,5,29,0,0,42,24,28,1,1,29,3,36,8,2,1,1,5,0,0,2,0,2,3,4,0,1,0,3,0,3,2,3,0,5,0,0,0,1,1,0.00665983606557377,0.00102459016393443,0.0348360655737705,0.00256147540983607,0.0148565573770492,0,0,0.021516393442623,0.0122950819672131,0.014344262295082,0.000512295081967213,0.000512295081967213,0.0148565573770492,0.00153688524590164,0.0184426229508197,0.00409836065573771,0.00102459016393443,0.000512295081967213,0.000512295081967213,0.00256147540983607,0,0,0.00102459016393443,0,0.00102459016393443,0.00153688524590164,0.00204918032786885,0,0.000512295081967213,0,0.00153688524590164,0,0.00153688524590164,0.00102459016393443,0.00153688524590164,0,0.00256147540983607,0,0,0,0.000512295081967213,0.000512295081967213,21,13,5,0,27,13,1,2,1,8,12,0.0107581967213115,0.00665983606557377,0.00256147540983607,0,0.0138319672131148,0.00665983606557377,0.000512295081967213,0.00102459016393443,0.000512295081967213,0.00409836065573771,0.00614754098360656,1952,1573,1922,4.25950987318909,0.0199795081967213,0.00204918032786885,1952,0,0,0,1
"2012-03-01","Moldova",3,1,128,8,34,2,0,20,24,18,1,8,17,9,50,5,0,3,2,8,0,0,6,2,3,1,4,2,2,1,5,0,1,8,6,3,2,0,1,0,5,1,0.00148809523809524,0.000496031746031746,0.0634920634920635,0.00396825396825397,0.0168650793650794,0.000992063492063492,0,0.00992063492063492,0.0119047619047619,0.00892857142857143,0.000496031746031746,0.00396825396825397,0.00843253968253968,0.00446428571428571,0.0248015873015873,0.00248015873015873,0,0.00148809523809524,0.000992063492063492,0.00396825396825397,0,0,0.00297619047619048,0.000992063492063492,0.00148809523809524,0.000496031746031746,0.00198412698412698,0.000992063492063492,0.000992063492063492,0.000496031746031746,0.00248015873015873,0,0.000496031746031746,0.00396825396825397,0.00297619047619048,0.00148809523809524,0.000992063492063492,0,0.000496031746031746,0,0.00248015873015873,0.000496031746031746,21,15,12,0,24,26,2,0,1,10,4,0.0104166666666667,0.00744047619047619,0.00595238095238095,0,0.0119047619047619,0.0128968253968254,0.000992063492063492,0,0.000496031746031746,0.00496031746031746,0.00198412698412698,2016,1577,1963,3.35385955250196,0.0342261904761905,0.00248015873015873,2016,0,0,0,1
"2012-04-01","Moldova",14,3,14,1,21,0,0,20,26,22,0,8,12,9,21,13,0,4,3,7,2,2,0,1,5,5,5,6,1,0,4,1,1,2,9,7,2,2,1,0,0,0,0.0083283759666865,0.00178465199286139,0.0083283759666865,0.000594883997620464,0.0124925639500297,0,0,0.0118976799524093,0.0154669839381321,0.0130874479476502,0,0.00475907198096371,0.00713860797144557,0.00535395597858418,0.0124925639500297,0.00773349196906603,0,0.00237953599048186,0.00178465199286139,0.00416418798334325,0.00118976799524093,0.00118976799524093,0,0.000594883997620464,0.00297441998810232,0.00297441998810232,0.00297441998810232,0.00356930398572278,0.000594883997620464,0,0.00237953599048186,0.000594883997620464,0.000594883997620464,0.00118976799524093,0.00535395597858418,0.00416418798334325,0.00118976799524093,0.00118976799524093,0.000594883997620464,0,0,0,16,4,8,1,18,11,2,0,1,9,15,0.00951814396192742,0.00237953599048186,0.00475907198096371,0.000594883997620464,0.0107079119571684,0.0065437239738251,0.00118976799524093,0,0.000594883997620464,0.00535395597858418,0.00892325996430696,1681,1412,1625,4.65164544995998,0.0362879238548483,0.00356930398572278,1681,0,0,0,1
"2012-05-01","Moldova",11,1,28,1,24,0,0,21,21,48,0,6,31,3,29,5,0,1,4,3,0,1,3,0,14,4,11,1,1,1,0,0,2,0,7,2,3,0,0,2,0,1,0.00552486187845304,0.000502260170768458,0.0140632847815168,0.000502260170768458,0.012054244098443,0,0,0.0105474635861376,0.0105474635861376,0.024108488196886,0,0.00301356102461075,0.0155700652938222,0.00150678051230537,0.0145655449522853,0.00251130085384229,0,0.000502260170768458,0.00200904068307383,0.00150678051230537,0,0.000502260170768458,0.00150678051230537,0,0.00703164239075841,0.00200904068307383,0.00552486187845304,0.000502260170768458,0.000502260170768458,0.000502260170768458,0,0,0.00100452034153692,0,0.00351582119537921,0.00100452034153692,0.00150678051230537,0,0,0.00100452034153692,0,0.000502260170768458,30,9,15,1,36,36,0,0,0,7,11,0.0150678051230537,0.00452034153691612,0.00753390256152687,0.000502260170768458,0.0180813661476645,0.0180813661476645,0,0,0,0.00351582119537921,0.00552486187845304,1991,1633,1938,3.73858668053603,0.0321446509291813,0.00100452034153692,1991,0,0,0,1
"2012-06-01","Moldova",4,1,42,2,18,1,0,21,23,22,1,4,28,2,16,11,0,1,4,3,0,0,1,1,5,2,3,4,0,1,4,3,1,1,8,3,0,0,0,0,0,0,0.00199302441454908,0.00049825610363727,0.0209267563527653,0.000996512207274539,0.00896860986547085,0.00049825610363727,0,0.0104633781763827,0.0114598903836572,0.0109616342800199,0.00049825610363727,0.00199302441454908,0.0139511709018435,0.000996512207274539,0.00797209765819631,0.00548081714000997,0,0.00049825610363727,0.00199302441454908,0.00149476831091181,0,0,0.00049825610363727,0.00049825610363727,0.00249128051818635,0.000996512207274539,0.00149476831091181,0.00199302441454908,0,0.00049825610363727,0.00199302441454908,0.00149476831091181,0.00049825610363727,0.00049825610363727,0.00398604882909816,0.00149476831091181,0,0,0,0,0,0,12,5,15,0,28,26,0,1,1,11,8,0.00597907324364723,0.00249128051818635,0.00747384155455904,0,0.0139511709018435,0.012954658694569,0,0.00049825610363727,0.00049825610363727,0.00548081714000997,0.00398604882909816,2007,1711,1970,3.29759222403894,0.0219232685600399,0.000996512207274539,2007,0,0,0,1
"2012-07-01","Moldova",12,1,49,6,14,1,0,37,32,20,0,3,39,1,29,17,0,3,0,5,0,0,1,0,4,0,5,0,0,0,1,0,1,1,8,2,3,0,0,2,3,0,0.00597014925373134,0.000497512437810945,0.0243781094527363,0.00298507462686567,0.00696517412935323,0.000497512437810945,0,0.018407960199005,0.0159203980099502,0.00995024875621891,0,0.00149253731343284,0.0194029850746269,0.000497512437810945,0.0144278606965174,0.00845771144278607,0,0.00149253731343284,0,0.00248756218905473,0,0,0.000497512437810945,0,0.00199004975124378,0,0.00248756218905473,0,0,0,0.000497512437810945,0,0.000497512437810945,0.000497512437810945,0.00398009950248756,0.00099502487562189,0.00149253731343284,0,0,0.00099502487562189,0.00149253731343284,0,17,10,14,0,25,22,2,0,4,10,9,0.00845771144278607,0.00497512437810945,0.00696517412935323,0,0.0124378109452736,0.0109452736318408,0.00099502487562189,0,0.00199004975124378,0.00497512437810945,0.00447761194029851,2010,1665,1979,4.72944340761974,0.0189054726368159,0.00149253731343284,2010,0,0,0,1
"2012-08-01","Moldova",17,1,13,2,12,0,0,18,26,14,1,7,24,1,39,9,1,2,2,16,0,0,2,1,1,2,4,1,0,0,5,0,0,0,3,0,1,0,1,0,0,1,0.0091644204851752,0.000539083557951483,0.00700808625336927,0.00107816711590297,0.00646900269541779,0,0,0.00970350404312668,0.0140161725067385,0.00754716981132075,0.000539083557951483,0.00377358490566038,0.0129380053908356,0.000539083557951483,0.0210242587601078,0.00485175202156334,0.000539083557951483,0.00107816711590297,0.00107816711590297,0.00862533692722372,0,0,0.00107816711590297,0.000539083557951483,0.000539083557951483,0.00107816711590297,0.00215633423180593,0.000539083557951483,0,0,0.00269541778975741,0,0,0,0.00161725067385445,0,0.000539083557951483,0,0.000539083557951483,0,0,0.000539083557951483,28,5,11,0,17,18,4,1,2,5,7,0.0150943396226415,0.00269541778975741,0.00592991913746631,0,0.0091644204851752,0.00970350404312668,0.00215633423180593,0.000539083557951483,0.00107816711590297,0.00269541778975741,0.00377358490566038,1855,1577,1833,5.22344737121737,0.0172506738544474,0,1855,0,0,0,1
"2012-09-01","Moldova",10,0,31,7,22,4,0,3,19,24,0,7,22,3,63,6,1,2,0,5,1,1,4,0,9,1,8,1,0,2,7,1,0,0,15,7,3,0,0,1,7,0,0.00501504513540622,0,0.0155466399197593,0.00351053159478435,0.0110330992978937,0.00200601805416249,0,0.00150451354062187,0.00952858575727182,0.0120361083249749,0,0.00351053159478435,0.0110330992978937,0.00150451354062187,0.0315947843530592,0.00300902708124373,0.000501504513540622,0.00100300902708124,0,0.00250752256770311,0.000501504513540622,0.000501504513540622,0.00200601805416249,0,0.0045135406218656,0.000501504513540622,0.00401203610832497,0.000501504513540622,0,0.00100300902708124,0.00351053159478435,0.000501504513540622,0,0,0.00752256770310933,0.00351053159478435,0.00150451354062187,0,0,0.000501504513540622,0.00351053159478435,0,27,11,7,0,22,28,1,1,1,14,11,0.0135406218655968,0.00551654964894684,0.00351053159478435,0,0.0110330992978937,0.0140421263791374,0.000501504513540622,0.000501504513540622,0.000501504513540622,0.00702106318956871,0.00551654964894684,1994,1659,1926,4.0781040909756,0.0486459378134403,0.00200601805416249,1994,0,0,0,1
"2012-10-01","Moldova",4,2,41,0,16,0,0,13,17,28,0,5,26,3,17,7,0,1,0,2,0,0,1,0,2,2,7,0,1,2,3,1,0,1,6,7,5,0,0,2,3,1,0.00211976682564918,0.00105988341282459,0.0217276099629041,0,0.00847906730259671,0,0,0.00688924218335983,0.00900900900900901,0.0148383677795443,0,0.00264970853206147,0.0137784843667197,0.00158982511923688,0.00900900900900901,0.00370959194488606,0,0.000529941706412295,0,0.00105988341282459,0,0,0.000529941706412295,0,0.00105988341282459,0.00105988341282459,0.00370959194488606,0,0.000529941706412295,0.00105988341282459,0.00158982511923688,0.000529941706412295,0,0.000529941706412295,0.00317965023847377,0.00370959194488606,0.00264970853206147,0,0,0.00105988341282459,0.00158982511923688,0.000529941706412295,24,9,7,0,18,22,1,0,2,9,9,0.0127186009538951,0.00476947535771065,0.00370959194488606,0,0.0095389507154213,0.0116587175410705,0.000529941706412295,0,0.00105988341282459,0.00476947535771065,0.00476947535771065,1887,1618,1843,2.83483886790095,0.03232644409115,0.00158982511923688,1887,0,0,0,1
