"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","timeslive.co.za","dailysun.co.za","son.co.za"
"2012-01-01","South Africa",8,4,10,1,4,4,3,46,31,9,0,2,23,5,20,15,0,4,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00494132180358246,0.00247066090179123,0.00617665225447807,0.000617665225447807,0.00247066090179123,0.00247066090179123,0.00185299567634342,0.0284126003705991,0.019147621988882,0.00555898702903027,0,0.00123533045089561,0.0142063001852996,0.00308832612723904,0.0123533045089561,0.00926497838171711,0,0.00247066090179123,0.000617665225447807,0.00247066090179123,0,0,0,0,0,0,0.000617665225447807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,18,3,82,10,10,4,2,17,24,0.0284126003705991,0.00308832612723904,0.0111179740580605,0.00185299567634342,0.0506485484867202,0.00617665225447807,0.00617665225447807,0.00247066090179123,0.00123533045089561,0.0105003088326127,0.0148239654107474,1619,1248,4,3.06681613145542,0,0.000617665225447807,1619,1,0,0
"2012-02-01","South Africa",10,2,10,5,7,4,1,29,37,11,0,2,28,1,43,21,1,7,6,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00609756097560976,0.00121951219512195,0.00609756097560976,0.00304878048780488,0.00426829268292683,0.0024390243902439,0.000609756097560976,0.0176829268292683,0.0225609756097561,0.00670731707317073,0,0.00121951219512195,0.0170731707317073,0.000609756097560976,0.026219512195122,0.0128048780487805,0.000609756097560976,0.00426829268292683,0.00365853658536585,0.00670731707317073,0,0,0,0,0,0,0,0,0,0.00121951219512195,0,0,0,0,0,0,0,0,0,0,0,57,7,35,6,110,29,9,3,3,22,20,0.0347560975609756,0.00426829268292683,0.0213414634146341,0.00365853658536585,0.0670731707317073,0.0176829268292683,0.00548780487804878,0.00182926829268293,0.00182926829268293,0.0134146341463415,0.0121951219512195,1640,1173,19,3.99502747838254,0.000609756097560976,0.000609756097560976,1640,1,0,0
"2012-03-01","South Africa",4,1,10,0,17,9,2,31,59,12,0,4,44,3,51,16,2,10,13,11,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,2,0,0.0022002200220022,0.00055005500550055,0.0055005500550055,0,0.00935093509350935,0.00495049504950495,0.0011001100110011,0.0170517051705171,0.0324532453245325,0.0066006600660066,0,0.0022002200220022,0.0242024202420242,0.00165016501650165,0.0280528052805281,0.0088008800880088,0.0011001100110011,0.0055005500550055,0.00715071507150715,0.00605060506050605,0,0,0,0,0,0,0.0011001100110011,0,0,0.00055005500550055,0,0.00055005500550055,0,0,0.00055005500550055,0,0,0,0.00055005500550055,0.0011001100110011,0,58,6,46,1,109,30,12,1,4,17,24,0.0319031903190319,0.0033003300330033,0.0253025302530253,0.00055005500550055,0.05995599559956,0.0165016501650165,0.0066006600660066,0.00055005500550055,0.0022002200220022,0.00935093509350935,0.0132013201320132,1818,1302,33,4.92760742711048,0.00165016501650165,0.0033003300330033,1818,1,0,0
"2012-04-01","South Africa",8,0,8,3,7,3,6,14,39,15,1,1,26,4,14,18,0,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0060377358490566,0,0.0060377358490566,0.00226415094339623,0.00528301886792453,0.00226415094339623,0.00452830188679245,0.0105660377358491,0.0294339622641509,0.0113207547169811,0.000754716981132075,0.000754716981132075,0.019622641509434,0.0030188679245283,0.0105660377358491,0.0135849056603774,0,0.00452830188679245,0.00226415094339623,0.0030188679245283,0,0,0,0,0,0,0,0,0,0,0,0,0.000754716981132075,0,0.000754716981132075,0,0,0.000754716981132075,0,0.000754716981132075,0,32,12,16,1,87,13,4,1,3,16,19,0.0241509433962264,0.00905660377358491,0.0120754716981132,0.000754716981132075,0.0656603773584906,0.00981132075471698,0.0030188679245283,0.000754716981132075,0.00226415094339623,0.0120754716981132,0.0143396226415094,1325,989,16,5.51178819001201,0.000754716981132075,0.00226415094339623,1325,1,0,0
"2012-05-01","South Africa",4,3,14,1,7,0,2,15,37,8,0,4,19,4,40,13,0,6,2,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0033195020746888,0.0024896265560166,0.0116182572614108,0.000829875518672199,0.00580912863070539,0,0.0016597510373444,0.012448132780083,0.0307053941908714,0.00663900414937759,0,0.0033195020746888,0.0157676348547718,0.0033195020746888,0.033195020746888,0.0107883817427386,0,0.00497925311203319,0.0016597510373444,0.00663900414937759,0,0,0,0,0,0,0,0,0,0.0016597510373444,0,0,0,0,0,0,0,0,0,0,0,34,6,17,2,66,12,5,1,3,13,21,0.0282157676348548,0.00497925311203319,0.0141078838174274,0.0016597510373444,0.0547717842323651,0.00995850622406639,0.004149377593361,0.000829875518672199,0.0024896265560166,0.0107883817427386,0.0174273858921162,1205,877,8,3.89470881179469,0,0.0016597510373444,1205,1,0,0
"2012-06-01","South Africa",4,0,6,1,11,0,1,20,36,5,1,0,26,1,19,12,1,3,1,7,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.00351802990325418,0,0.00527704485488127,0.000879507475813544,0.00967458223394899,0,0.000879507475813544,0.0175901495162709,0.0316622691292876,0.00439753737906772,0.000879507475813544,0,0.0228671943711522,0.000879507475813544,0.0167106420404573,0.0105540897097625,0.000879507475813544,0.00263852242744063,0.000879507475813544,0.00615655233069481,0,0.00175901495162709,0,0,0,0,0,0,0,0.000879507475813544,0,0,0,0.000879507475813544,0,0,0,0.000879507475813544,0,0,0,25,8,16,4,53,10,8,2,1,11,18,0.0219876868953386,0.00703605980650836,0.0140721196130167,0.00351802990325418,0.0466138962181179,0.00879507475813544,0.00703605980650836,0.00175901495162709,0.000879507475813544,0.00967458223394899,0.0158311345646438,1137,872,23,3.71961327833068,0.000879507475813544,0.00351802990325418,1137,1,0,0
"2012-07-01","South Africa",6,2,7,0,10,2,1,39,25,4,2,2,8,7,23,8,1,4,6,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0043956043956044,0.00146520146520147,0.00512820512820513,0,0.00732600732600733,0.00146520146520147,0.000732600732600733,0.0285714285714286,0.0183150183150183,0.00293040293040293,0.00146520146520147,0.00146520146520147,0.00586080586080586,0.00512820512820513,0.0168498168498168,0.00586080586080586,0.000732600732600733,0.00293040293040293,0.0043956043956044,0.0021978021978022,0.000732600732600733,0,0,0,0,0,0,0,0,0.0021978021978022,0,0,0,0,0,0,0,0,0,0,0,34,8,21,0,69,17,3,4,5,17,22,0.0249084249084249,0.00586080586080586,0.0153846153846154,0,0.0505494505494506,0.0124542124542125,0.0021978021978022,0.00293040293040293,0.00366300366300366,0.0124542124542125,0.0161172161172161,1365,1034,44,2.76285178039967,0.000732600732600733,0.0021978021978022,1365,0,0,0
"2012-08-01","South Africa",8,1,10,0,32,3,3,32,58,7,1,7,35,10,77,23,1,10,49,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.00329760923330585,0.000412201154163232,0.00412201154163232,0,0.0131904369332234,0.00123660346248969,0.00123660346248969,0.0131904369332234,0.0239076669414674,0.00288540807914262,0.000412201154163232,0.00288540807914262,0.0144270403957131,0.00412201154163232,0.0317394888705688,0.00948062654575433,0.000412201154163232,0.00412201154163232,0.0201978565539984,0.0115416323165705,0,0,0,0,0,0,0,0,0.000412201154163232,0,0,0,0,0,0,0,0,0,0,0.000412201154163232,0,48,21,20,3,128,25,11,1,4,35,41,0.0197856553998351,0.00865622423742786,0.00824402308326463,0.00123660346248969,0.0527617477328937,0.0103050288540808,0.00453421269579555,0.000412201154163232,0.00164880461665293,0.0144270403957131,0.0169002473206925,2426,1753,61,4.55515773436994,0,0.000824402308326463,2426,1,1,0
"2012-09-01","South Africa",17,2,10,1,27,5,7,26,81,4,4,10,51,4,164,13,4,13,10,24,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0.00785219399538106,0.00092378752886836,0.0046189376443418,0.00046189376443418,0.0124711316397229,0.0023094688221709,0.00323325635103926,0.0120092378752887,0.0374133949191686,0.00184757505773672,0.00184757505773672,0.0046189376443418,0.0235565819861432,0.00184757505773672,0.0757505773672055,0.00600461893764434,0.00184757505773672,0.00600461893764434,0.0046189376443418,0.0110854503464203,0,0,0,0,0,0,0.00046189376443418,0,0,0.00138568129330254,0,0,0,0.00046189376443418,0,0,0,0,0,0,0,38,23,11,2,86,12,5,7,5,24,30,0.0175519630484988,0.0106235565819861,0.00508083140877598,0.00092378752886836,0.0397228637413395,0.00554272517321016,0.0023094688221709,0.00323325635103926,0.0023094688221709,0.0110854503464203,0.0138568129330254,2165,1514,26,6.08246502191892,0.00092378752886836,0.00138568129330254,2165,1,0,0
"2012-10-01","South Africa",12,1,16,0,26,3,5,36,72,11,0,3,30,6,177,27,4,7,22,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,1,0.00505902192242833,0.000421585160202361,0.00674536256323777,0,0.0109612141652614,0.00126475548060708,0.0021079258010118,0.015177065767285,0.03035413153457,0.00463743676222597,0,0.00126475548060708,0.0126475548060708,0.00252951096121417,0.0746205733558179,0.0113827993254637,0.00168634064080944,0.00295109612141653,0.00927487352445194,0.00843170320404722,0,0,0,0,0,0,0,0,0,0.00168634064080944,0,0,0,0,0,0,0.000421585160202361,0,0,0.000421585160202361,0.000421585160202361,71,41,43,5,137,10,15,1,4,45,41,0.0299325463743676,0.0172849915682968,0.0181281618887015,0.0021079258010118,0.0577571669477234,0.00421585160202361,0.00632377740303541,0.000421585160202361,0.00168634064080944,0.0189713322091062,0.0172849915682968,2372,1562,16,4.66016810871779,0.000843170320404722,0.0021079258010118,2372,1,0,0
