"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","investment","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles"
"2012-01-01","Morocco",10,1,19,1,15,0,0,6,20,10,1,2,24,1,34,5,0,3,2,4,0,0,1,0,0,0,0,0,0,0,0,0.00527983104540655,0.000527983104540655,0.0100316789862724,0.000527983104540655,0.00791974656810982,0,0,0.00316789862724393,0.0105596620908131,0.00527983104540655,0.000527983104540655,0.00105596620908131,0.0126715945089757,0.000527983104540655,0.0179514255543823,0.00263991552270327,0,0.00158394931362196,0.00105596620908131,0.00211193241816262,0,0,0.000527983104540655,0,0,0,0,0,0,0,0,34,17,7,1,28,14,0,0,1,1,11,0.0179514255543823,0.00897571277719113,0.00369588173178458,0.000527983104540655,0.0147835269271383,0.00739176346356917,0,0,0.000527983104540655,0.000527983104540655,0.0058078141499472,1894,1647,1893,5.22016640667831,0.000527983104540655,0,1894
"2012-02-01","Morocco",10,0,22,1,10,1,0,6,28,17,0,1,25,3,22,5,1,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0.005720823798627,0,0.0125858123569794,0.0005720823798627,0.005720823798627,0.0005720823798627,0,0.0034324942791762,0.0160183066361556,0.0097254004576659,0,0.0005720823798627,0.0143020594965675,0.0017162471395881,0.0125858123569794,0.0028604118993135,0.0005720823798627,0.0005720823798627,0,0.0045766590389016,0,0,0,0,0.0005720823798627,0,0,0,0,0,0,39,3,19,0,31,16,1,1,0,7,10,0.0223112128146453,0.0017162471395881,0.0108695652173913,0,0.0177345537757437,0.0091533180778032,0.0005720823798627,0.0005720823798627,0,0.0040045766590389,0.005720823798627,1748,1495,1747,6.00690977523896,0,0.0005720823798627,1748
"2012-03-01","Morocco",10,0,15,2,7,1,0,8,25,19,0,3,20,4,40,6,0,2,2,8,0,0,0,0,1,1,0,0,0,0,0,0.00544365813826892,0,0.00816548720740337,0.00108873162765378,0.00381056069678824,0.000544365813826892,0,0.00435492651061513,0.0136091453456723,0.0103429504627109,0,0.00163309744148067,0.0108873162765378,0.00217746325530757,0.0217746325530757,0.00326619488296135,0,0.00108873162765378,0.00108873162765378,0.00435492651061513,0,0,0,0,0.000544365813826892,0.000544365813826892,0,0,0,0,0,35,16,4,2,24,41,2,1,2,6,11,0.0190528034839412,0.00870985302123027,0.00217746325530757,0.00108873162765378,0.0130647795318454,0.0223189983669026,0.00108873162765378,0.000544365813826892,0.00108873162765378,0.00326619488296135,0.00598802395209581,1837,1543,1835,6.7886964809756,0,0.00108873162765378,1837
"2012-04-01","Morocco",6,0,18,1,9,3,0,8,16,20,0,1,11,3,18,2,1,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0.00330578512396694,0,0.00991735537190083,0.000550964187327824,0.00495867768595041,0.00165289256198347,0,0.00440771349862259,0.00881542699724518,0.0110192837465565,0,0.000550964187327824,0.00606060606060606,0.00165289256198347,0.00991735537190083,0.00110192837465565,0.000550964187327824,0.000550964187327824,0.00330578512396694,0.00385674931129477,0,0,0,0,0,0,0,0,0,0,0,43,7,16,2,32,21,5,2,4,4,10,0.0236914600550964,0.00385674931129477,0.00881542699724518,0.00110192837465565,0.0176308539944904,0.0115702479338843,0.00275482093663912,0.00110192837465565,0.00220385674931129,0.00220385674931129,0.00550964187327824,1815,1560,1815,5.03822147054603,0,0,1815
"2012-05-01","Morocco",4,0,28,1,12,0,0,7,14,19,0,5,11,2,39,2,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0.00218459858001092,0,0.0152921900600765,0.000546149645002731,0.00655379574003277,0,0,0.00382304751501912,0.00764609503003823,0.0103768432550519,0,0.00273074822501365,0.00600764609503004,0.00109229929000546,0.0212998361551065,0.00109229929000546,0,0.00109229929000546,0.00218459858001092,0.00436919716002185,0,0,0,0,0,0,0,0,0,0,0,24,19,11,1,44,19,1,1,3,6,8,0.0131075914800655,0.0103768432550519,0.00600764609503004,0.000546149645002731,0.0240305843801202,0.0103768432550519,0.000546149645002731,0.000546149645002731,0.00163844893500819,0.00327689787001638,0.00436919716002185,1831,1556,1831,5.55854283837122,0,0,1831
"2012-06-01","Morocco",8,1,27,1,13,1,0,7,27,4,1,0,24,1,14,2,0,2,2,9,0,0,1,0,1,0,0,0,0,0,0,0.00484261501210654,0.000605326876513317,0.0163438256658596,0.000605326876513317,0.00786924939467312,0.000605326876513317,0,0.00423728813559322,0.0163438256658596,0.00242130750605327,0.000605326876513317,0,0.0145278450363196,0.000605326876513317,0.00847457627118644,0.00121065375302663,0,0.00121065375302663,0.00121065375302663,0.00544794188861985,0,0,0.000605326876513317,0,0.000605326876513317,0,0,0,0,0,0,32,9,12,0,28,15,1,3,3,3,6,0.0193704600484262,0.00544794188861985,0.00726392251815981,0,0.0169491525423729,0.00907990314769976,0.000605326876513317,0.00181598062953995,0.00181598062953995,0.00181598062953995,0.0036319612590799,1652,1423,1650,4.80777547300404,0.000605326876513317,0.000605326876513317,1652
"2012-07-01","Morocco",7,1,8,0,14,1,0,6,17,11,0,3,28,2,13,8,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0.0043343653250774,0.000619195046439629,0.00495356037151703,0,0.0086687306501548,0.000619195046439629,0,0.00371517027863777,0.0105263157894737,0.00681114551083591,0,0.00185758513931889,0.0173374613003096,0.00123839009287926,0.00804953560371517,0.00495356037151703,0,0.000619195046439629,0.00185758513931889,0.00185758513931889,0,0,0.000619195046439629,0,0,0,0,0,0,0,0,25,8,10,0,28,13,0,0,1,8,10,0.0154798761609907,0.00495356037151703,0.00619195046439629,0,0.0173374613003096,0.00804953560371517,0,0,0.000619195046439629,0.00495356037151703,0.00619195046439629,1615,1407,1614,5.37465840583583,0.000619195046439629,0.00123839009287926,1615
"2012-08-01","Morocco",3,0,11,0,5,2,0,15,14,9,0,1,14,3,17,5,1,2,4,3,0,0,0,0,0,0,0,0,0,0,3,0.00193798449612403,0,0.00710594315245478,0,0.00322997416020672,0.00129198966408269,0,0.00968992248062015,0.00904392764857881,0.00581395348837209,0,0.000645994832041344,0.00904392764857881,0.00193798449612403,0.0109819121447028,0.00322997416020672,0.000645994832041344,0.00129198966408269,0.00258397932816537,0.00193798449612403,0,0,0,0,0,0,0,0,0,0,0.00193798449612403,28,3,12,1,42,18,5,2,2,3,10,0.0180878552971576,0.00193798449612403,0.00775193798449612,0.000645994832041344,0.0271317829457364,0.0116279069767442,0.00322997416020672,0.00129198966408269,0.00129198966408269,0.00193798449612403,0.00645994832041344,1548,1333,1545,4.66085055337064,0.00193798449612403,0.00193798449612403,1548
"2012-09-01","Morocco",3,0,27,0,9,1,0,14,10,14,1,7,5,1,24,2,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0.00194300518134715,0,0.0174870466321244,0,0.00582901554404145,0.000647668393782383,0,0.00906735751295337,0.00647668393782383,0.00906735751295337,0.000647668393782383,0.00453367875647668,0.00323834196891192,0.000647668393782383,0.0155440414507772,0.00129533678756477,0,0.000647668393782383,0.000647668393782383,0.00129533678756477,0,0,0,0,0,0,0.000647668393782383,0,0,0,0,31,13,13,0,47,16,2,0,3,5,13,0.0200777202072539,0.00841968911917098,0.00841968911917098,0,0.030440414507772,0.0103626943005181,0.00129533678756477,0,0.00194300518134715,0.00323834196891192,0.00841968911917098,1544,1295,1543,3.90040887925888,0.00259067357512953,0.000647668393782383,1544
"2012-10-01","Morocco",7,2,25,1,10,2,0,5,17,8,1,1,12,2,21,3,0,3,1,8,0,0,0,0,0,1,0,0,0,0,0,0.00433705080545229,0.00123915737298637,0.0154894671623296,0.000619578686493185,0.00619578686493185,0.00123915737298637,0,0.00309789343246592,0.0105328376703841,0.00495662949194548,0.000619578686493185,0.000619578686493185,0.00743494423791822,0.00123915737298637,0.0130111524163569,0.00185873605947955,0,0.00185873605947955,0.000619578686493185,0.00495662949194548,0,0,0,0,0,0.000619578686493185,0,0,0,0,0,20,13,13,0,24,42,1,1,8,8,11,0.0123915737298637,0.0080545229244114,0.0080545229244114,0,0.0148698884758364,0.0260223048327138,0.000619578686493185,0.000619578686493185,0.00495662949194548,0.00495662949194548,0.00681536555142503,1614,1365,1613,5.06739965984319,0,0.000619578686493185,1614
