"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","gestion.pe","larepublica.pe","ojo.publico.com"
"2013-05-01","Peru",5,3,26,1,25,2,1,37,103,37,2,7,64,2,28,35,1,3,18,29,0,0,0,0,0,0,3,2,0,0,3,0,0,0,2,1,0,0,0,1,5,0,0.00162232316677482,0.000973393900064893,0.00843608046722907,0.000324464633354964,0.00811161583387411,0.000648929266709929,0.000324464633354964,0.0120051914341337,0.0334198572355613,0.0120051914341337,0.000648929266709929,0.00227125243348475,0.0207657365347177,0.000648929266709929,0.009085009733939,0.0113562621674238,0.000324464633354964,0.000973393900064893,0.00584036340038936,0.00940947436729397,0,0,0,0,0,0,0.000973393900064893,0.000648929266709929,0,0,0.000973393900064893,0,0,0,0.000648929266709929,0.000324464633354964,0,0,0,0.000324464633354964,0.00162232316677482,0,16,18,8,0,33,69,3,0,2,22,11,0.00519143413367943,0.00584036340038936,0.00259571706683971,0,0.0107073329007138,0.0223880597014925,0.000973393900064893,0,0.000648929266709929,0.00713822193380921,0.00356911096690461,3082,2528,2,6.48626949015799,0.00129785853341986,0.00421804023361454,3082,1,0,0
"2013-06-01","Peru",7,4,36,4,25,1,1,60,66,45,4,3,33,5,41,7,4,6,12,14,0,0,0,0,2,3,1,0,0,1,14,0,0,0,2,2,0,0,1,1,13,0,0.00249021700462469,0.00142298114549982,0.0128068303094984,0.00142298114549982,0.00889363215937389,0.000355745286374956,0.000355745286374956,0.0213447171824973,0.0234791889007471,0.016008537886873,0.00142298114549982,0.00106723585912487,0.0117395944503735,0.00177872643187478,0.0145855567413732,0.00249021700462469,0.00142298114549982,0.00213447171824973,0.00426894343649947,0.00498043400924938,0,0,0,0,0.000711490572749911,0.00106723585912487,0.000355745286374956,0,0,0.000355745286374956,0.00498043400924938,0,0,0,0.000711490572749911,0.000711490572749911,0,0,0.000355745286374956,0.000355745286374956,0.00462468872287442,0,16,20,6,0,35,33,1,2,0,8,8,0.00569192458199929,0.00711490572749911,0.00213447171824973,0,0.0124510850231234,0.0117395944503735,0.000355745286374956,0.000711490572749911,0,0.00284596229099964,0.00284596229099964,2811,2336,6,5.85129508182891,0.00177872643187478,0.0124510850231234,2811,1,0,0
"2013-07-01","Peru",14,1,88,1,15,9,0,95,68,47,1,4,26,2,97,22,4,5,6,14,0,0,0,0,0,8,2,3,1,4,5,0,0,0,2,7,0,1,0,0,12,0,0.00444444444444444,0.000317460317460317,0.0279365079365079,0.000317460317460317,0.00476190476190476,0.00285714285714286,0,0.0301587301587302,0.0215873015873016,0.0149206349206349,0.000317460317460317,0.00126984126984127,0.00825396825396825,0.000634920634920635,0.0307936507936508,0.00698412698412698,0.00126984126984127,0.00158730158730159,0.0019047619047619,0.00444444444444444,0,0,0,0,0,0.00253968253968254,0.000634920634920635,0.000952380952380952,0.000317460317460317,0.00126984126984127,0.00158730158730159,0,0,0,0.000634920634920635,0.00222222222222222,0,0.000317460317460317,0,0,0.00380952380952381,0,10,12,3,0,24,31,2,3,2,8,20,0.00317460317460317,0.00380952380952381,0.000952380952380952,0,0.00761904761904762,0.00984126984126984,0.000634920634920635,0.000952380952380952,0.000634920634920635,0.00253968253968254,0.00634920634920635,3150,2535,8,5.74715347269854,0.00603174603174603,0.00825396825396825,3150,1,0,0
"2013-08-01","Peru",12,2,18,1,43,1,0,76,83,19,4,8,32,0,97,15,2,2,24,13,0,0,1,0,1,2,11,1,0,2,11,0,1,0,1,1,0,0,0,1,5,2,0.0039126181936746,0.0006521030322791,0.0058689272905119,0.00032605151613955,0.0140202151940007,0.00032605151613955,0,0.0247799152266058,0.0270622758395827,0.00619497880665145,0.0013042060645582,0.0026084121291164,0.0104336485164656,0,0.0316269970655364,0.00489077274209325,0.0006521030322791,0.0006521030322791,0.0078252363873492,0.00423866970981415,0,0,0.00032605151613955,0,0.00032605151613955,0.0006521030322791,0.00358656667753505,0.00032605151613955,0,0.0006521030322791,0.00358656667753505,0,0.00032605151613955,0,0.00032605151613955,0.00032605151613955,0,0,0,0.00032605151613955,0.00163025758069775,0.0006521030322791,31,23,6,0,46,30,1,3,3,16,18,0.0101075970003261,0.00749918487120965,0.0019563090968373,0,0.0149983697424193,0.0097815454841865,0.00032605151613955,0.00097815454841865,0.00097815454841865,0.0052168242582328,0.0058689272905119,3067,2465,7,5.00272723993109,0.0032605151613955,0.0097815454841865,3067,1,0,0
"2013-09-01","Peru",6,2,19,1,33,1,1,92,72,16,5,2,39,2,42,11,8,6,19,12,1,1,0,2,0,0,6,2,0,1,7,0,0,0,1,3,1,1,0,0,13,0,0.00206825232678387,0.000689417442261289,0.00654946570148225,0.000344708721130645,0.0113753877973113,0.000344708721130645,0.000344708721130645,0.0317132023440193,0.0248190279214064,0.00551533953809031,0.00172354360565322,0.000689417442261289,0.0134436401240951,0.000689417442261289,0.0144777662874871,0.00379179593243709,0.00275766976904516,0.00206825232678387,0.00654946570148225,0.00413650465356774,0.000344708721130645,0.000344708721130645,0,0.000689417442261289,0,0,0.00206825232678387,0.000689417442261289,0,0.000344708721130645,0.00241296104791451,0,0,0,0.000344708721130645,0.00103412616339193,0.000344708721130645,0.000344708721130645,0,0,0.00448121337469838,0,15,18,4,0,34,23,4,2,2,16,19,0.00517063081695967,0.0062047569803516,0.00137883488452258,0,0.0117200965184419,0.00792830058600483,0.00137883488452258,0.000689417442261289,0.000689417442261289,0.00551533953809031,0.00654946570148225,2901,2412,13,5.96624684282999,0.00517063081695967,0.00827300930713547,2901,1,0,0
"2013-10-01","Peru",8,4,21,2,27,1,2,65,85,29,4,2,34,2,36,20,5,8,15,13,2,0,0,0,0,0,4,2,2,1,11,0,0,0,1,6,0,0,4,3,10,2,0.00271831464492015,0.00135915732246007,0.00713557594291539,0.000679578661230037,0.00917431192660551,0.000339789330615019,0.000679578661230037,0.0220863064899762,0.0288820931022766,0.00985389058783554,0.00135915732246007,0.000679578661230037,0.0115528372409106,0.000679578661230037,0.0122324159021407,0.00679578661230037,0.00169894665307509,0.00271831464492015,0.00509683995922528,0.00441726129799524,0.000679578661230037,0,0,0,0,0,0.00135915732246007,0.000679578661230037,0.000679578661230037,0.000339789330615019,0.00373768263676521,0,0,0,0.000339789330615019,0.00203873598369011,0,0,0.00135915732246007,0.00101936799184506,0.00339789330615019,0.000679578661230037,15,22,9,0,38,34,2,1,0,10,8,0.00509683995922528,0.00747536527353041,0.00305810397553517,0,0.0129119945633707,0.0115528372409106,0.000679578661230037,0.000339789330615019,0,0.00339789330615019,0.00271831464492015,2943,2455,5,6.65605811170344,0.00475705062861026,0.0115528372409106,2943,1,0,0
"2013-11-01","Peru",5,1,92,7,20,4,1,53,58,29,1,8,34,4,23,22,1,4,7,19,0,2,0,0,0,2,2,1,0,1,19,0,0,0,2,4,0,0,2,0,4,2,0.00171585449553878,0.000343170899107756,0.0315717227179135,0.00240219629375429,0.00686341798215511,0.00137268359643102,0.000343170899107756,0.018188057652711,0.0199039121482498,0.00995195607412491,0.000343170899107756,0.00274536719286205,0.0116678105696637,0.00137268359643102,0.00789293067947838,0.00754975978037062,0.000343170899107756,0.00137268359643102,0.00240219629375429,0.00652024708304736,0,0.000686341798215511,0,0,0,0.000686341798215511,0.000686341798215511,0.000343170899107756,0,0.000343170899107756,0.00652024708304736,0,0,0,0.000686341798215511,0.00137268359643102,0,0,0.000686341798215511,0,0.00137268359643102,0.000686341798215511,25,18,7,0,28,28,3,2,1,23,18,0.00857927247769389,0.0061770761839396,0.00240219629375429,0,0.00960878517501716,0.00960878517501716,0.00102951269732327,0.000686341798215511,0.000343170899107756,0.00789293067947838,0.0061770761839396,2914,2397,5,5.25887871171278,0.00205902539464653,0.0120109814687714,2914,1,0,0
"2013-12-01","Peru",4,0,32,1,20,0,0,85,64,28,0,5,33,1,19,17,0,2,15,15,5,0,0,0,0,2,3,1,1,0,10,1,0,1,1,3,2,0,2,1,9,2,0.00131578947368421,0,0.0105263157894737,0.000328947368421053,0.00657894736842105,0,0,0.0279605263157895,0.0210526315789474,0.00921052631578947,0,0.00164473684210526,0.0108552631578947,0.000328947368421053,0.00625,0.00559210526315789,0,0.000657894736842105,0.00493421052631579,0.00493421052631579,0.00164473684210526,0,0,0,0,0.000657894736842105,0.000986842105263158,0.000328947368421053,0.000328947368421053,0,0.00328947368421053,0.000328947368421053,0,0.000328947368421053,0.000328947368421053,0.000986842105263158,0.000657894736842105,0,0.000657894736842105,0.000328947368421053,0.00296052631578947,0.000657894736842105,15,6,0,0,20,51,2,0,1,17,23,0.00493421052631579,0.00197368421052632,0,0,0.00657894736842105,0.0167763157894737,0.000657894736842105,0,0.000328947368421053,0.00559210526315789,0.00756578947368421,3040,2590,2,4.5667505538739,0.00526315789473684,0.00921052631578947,3040,1,0,0
"2014-01-01","Peru",8,2,33,3,31,0,1,72,77,43,1,11,34,5,31,9,1,5,24,16,0,2,0,0,0,0,2,1,1,0,8,0,0,0,2,1,0,0,0,1,10,0,0.00206878717351952,0.000517196793379881,0.00853374709076804,0.000775795190069822,0.00801655029738816,0,0.000258598396689941,0.0186190845616757,0.0199120765451254,0.0111197310576674,0.000258598396689941,0.00284458236358935,0.00879234548745798,0.0012929919834497,0.00801655029738816,0.00232738557020946,0.000258598396689941,0.0012929919834497,0.00620636152055857,0.00413757434703905,0,0.000517196793379881,0,0,0,0,0.000517196793379881,0.000258598396689941,0.000258598396689941,0,0.00206878717351952,0,0,0,0.000517196793379881,0.000258598396689941,0,0,0,0.000258598396689941,0.00258598396689941,0,18,17,7,1,35,37,1,0,2,34,23,0.00465477114041893,0.00439617274372899,0.00181018877682958,0.000258598396689941,0.00905094388414792,0.0095681406775278,0.000258598396689941,0,0.000517196793379881,0.00879234548745798,0.00594776312386863,3867,3325,0,4.646144505456,0.000775795190069822,0.00646495991724851,3867,1,0,0
"2014-02-01","Peru",7,2,53,1,29,1,1,79,61,15,6,4,29,3,54,24,6,8,23,18,1,0,0,0,0,0,1,1,0,1,10,1,0,1,2,0,1,1,2,1,10,1,0.00199203187250996,0.000569151963574274,0.0150825270347183,0.000284575981787137,0.00825270347182698,0.000284575981787137,0.000284575981787137,0.0224815025611838,0.0173591348890154,0.00426863972680706,0.00170745589072282,0.00113830392714855,0.00825270347182698,0.000853727945361412,0.0153671030165054,0.00682982356289129,0.00170745589072282,0.0022766078542971,0.00654524758110415,0.00512236767216847,0.000284575981787137,0,0,0,0,0,0.000284575981787137,0.000284575981787137,0,0.000284575981787137,0.00284575981787137,0.000284575981787137,0,0.000284575981787137,0.000569151963574274,0,0.000284575981787137,0.000284575981787137,0.000569151963574274,0.000284575981787137,0.00284575981787137,0.000284575981787137,27,29,13,0,35,28,4,4,2,24,22,0.0076835515082527,0.00825270347182698,0.00369948776323278,0,0.0099601593625498,0.00796812749003984,0.00113830392714855,0.00113830392714855,0.000569151963574274,0.00682982356289129,0.00626067159931702,3514,2935,2,5.14050732033425,0.00142287990893569,0.00825270347182698,3514,1,0,0
