"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","confidencial.com.ni","nuevaya.com.ni","articulo66.com","laverdadnica.com","ondalocalni.com","canal2tv.com","lajornadanet.com"
"2012-11-01","Nicaragua",3,0,40,5,14,0,0,18,11,12,0,5,4,2,16,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00367197062423501,0,0.0489596083231334,0.00611995104039168,0.0171358629130967,0,0,0.02203182374541,0.0134638922888617,0.01468788249694,0,0.00611995104039168,0.00489596083231334,0.00244798041615667,0.0195838433292534,0.00367197062423501,0,0.00122399020807834,0.00122399020807834,0.00244798041615667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122399020807834,3,5,5,0,9,11,1,0,0,3,2,0.00367197062423501,0.00611995104039168,0.00611995104039168,0,0.011015911872705,0.0134638922888617,0.00122399020807834,0,0,0.00367197062423501,0.00244798041615667,817,644,4,5.38488287757555,0.00122399020807834,0,817,0,1,0,1,0,0,0
"2012-12-01","Nicaragua",2,0,9,3,12,0,0,20,7,5,0,1,6,0,6,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.00263852242744063,0,0.0118733509234828,0.00395778364116095,0.0158311345646438,0,0,0.0263852242744063,0.00923482849604222,0.00659630606860158,0,0.00131926121372032,0.0079155672823219,0,0.0079155672823219,0,0,0.00395778364116095,0.00659630606860158,0.00263852242744063,0,0,0,0,0,0,0,0,0,0,0,0,0.00131926121372032,0,0,0,0,0,0,0.00131926121372032,5,4,2,0,19,7,0,2,0,1,3,0.00659630606860158,0.00527704485488127,0.00263852242744063,0,0.025065963060686,0.00923482849604222,0,0.00263852242744063,0,0.00131926121372032,0.00395778364116095,758,641,1,4.49033909724161,0,0.00263852242744063,758,0,1,0,1,0,0,0
"2013-01-01","Nicaragua",3,1,15,2,5,1,0,11,12,8,0,4,4,0,22,4,0,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369913686806412,0.00123304562268804,0.0184956843403206,0.00246609124537608,0.0061652281134402,0.00123304562268804,0,0.0135635018495684,0.0147965474722565,0.00986436498150432,0,0.00493218249075216,0.00493218249075216,0,0.0271270036991369,0.00493218249075216,0,0.00246609124537608,0.00739827373612824,0.0061652281134402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,15,17,3,1,0,2,6,0.0061652281134402,0.00493218249075216,0.00369913686806412,0,0.0184956843403206,0.0209617755856967,0.00369913686806412,0.00123304562268804,0,0.00246609124537608,0.00739827373612824,811,654,4,5.67294448074673,0,0,811,0,1,0,1,0,0,0
"2013-02-01","Nicaragua",2,2,14,0,6,1,0,12,17,5,3,5,3,0,9,7,0,2,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,0.0175,0,0.0075,0.00125,0,0.015,0.02125,0.00625,0.00375,0.00625,0.00375,0,0.01125,0.00875,0,0.0025,0.0075,0.005,0,0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,15,11,1,0,0,4,4,0.01,0.00875,0.00125,0,0.01875,0.01375,0.00125,0,0,0.005,0.005,800,655,6,6.12929131833554,0.00125,0,800,0,0,0,1,0,0,0
"2013-03-01","Nicaragua",4,1,10,0,16,0,0,16,8,13,0,6,3,5,16,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00470035252643948,0.00117508813160987,0.0117508813160987,0,0.0188014101057579,0,0,0.0188014101057579,0.00940070505287897,0.0152761457109283,0,0.00705052878965922,0.00352526439482961,0.00587544065804935,0.0188014101057579,0.00235017626321974,0,0,0.00235017626321974,0.00470035252643948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117508813160987,9,3,2,0,10,7,0,0,0,1,2,0.0105757931844888,0.00352526439482961,0.00235017626321974,0,0.0117508813160987,0.0082256169212691,0,0,0,0.00117508813160987,0.00235017626321974,851,714,6,5.91389645649873,0.00117508813160987,0,851,0,0,0,1,0,0,0
"2013-04-01","Nicaragua",9,3,19,4,10,0,0,17,28,22,0,5,10,4,23,8,0,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.00882352941176471,0.00294117647058824,0.0186274509803922,0.00392156862745098,0.00980392156862745,0,0,0.0166666666666667,0.0274509803921569,0.0215686274509804,0,0.00490196078431373,0.00980392156862745,0.00392156862745098,0.0225490196078431,0.00784313725490196,0,0.00196078431372549,0.00392156862745098,0.00490196078431373,0.000980392156862745,0,0,0,0,0,0,0,0,0,0,0,0.000980392156862745,0.000980392156862745,0,0,0,0,0,0,14,6,0,0,17,19,1,0,0,4,3,0.0137254901960784,0.00588235294117647,0,0,0.0166666666666667,0.0186274509803922,0.000980392156862745,0,0,0.00392156862745098,0.00294117647058824,1020,792,9,6.71420468519013,0.000980392156862745,0.00196078431372549,1020,0,1,0,1,0,0,0
"2013-05-01","Nicaragua",7,1,9,3,11,0,0,29,30,12,0,1,10,2,20,11,0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00782997762863535,0.00111856823266219,0.0100671140939597,0.00335570469798658,0.0123042505592841,0,0,0.0324384787472036,0.0335570469798658,0.0134228187919463,0,0.00111856823266219,0.0111856823266219,0.00223713646532438,0.0223713646532438,0.0123042505592841,0,0.00223713646532438,0.00559284116331096,0.00671140939597315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,1,0,16,25,1,0,0,6,3,0.0111856823266219,0.00782997762863535,0.00111856823266219,0,0.0178970917225951,0.0279642058165548,0.00111856823266219,0,0,0.00671140939597315,0.00335570469798658,894,673,8,6.28868627380008,0,0,894,0,1,0,1,0,0,0
"2013-06-01","Nicaragua",2,0,10,1,13,0,1,30,17,11,2,0,6,2,33,7,0,2,3,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0.00226244343891403,0,0.0113122171945701,0.00113122171945701,0.0147058823529412,0,0.00113122171945701,0.0339366515837104,0.0192307692307692,0.0124434389140271,0.00226244343891403,0,0.00678733031674208,0.00226244343891403,0.0373303167420814,0.00791855203619909,0,0.00226244343891403,0.00339366515837104,0.00452488687782805,0,0,0,0,0,0,0,0,0.0214932126696833,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,13,17,3,1,1,7,5,0.00678733031674208,0.00904977375565611,0,0,0.0147058823529412,0.0192307692307692,0.00339366515837104,0.00113122171945701,0.00113122171945701,0.00791855203619909,0.00565610859728507,884,685,24,5.66105275002949,0,0.0214932126696833,884,0,1,0,1,0,0,0
"2013-07-01","Nicaragua",7,1,6,1,16,1,0,37,25,14,0,5,11,5,6,4,7,1,5,2,0,2,0,8,1,0,0,3,3,0,0,0,1,1,0,0,0,0,1,0,0.00764192139737991,0.00109170305676856,0.00655021834061135,0.00109170305676856,0.0174672489082969,0.00109170305676856,0,0.0403930131004367,0.027292576419214,0.0152838427947598,0,0.00545851528384279,0.0120087336244541,0.00545851528384279,0.00655021834061135,0.00436681222707424,0.00764192139737991,0.00109170305676856,0.00545851528384279,0.00218340611353712,0,0.00218340611353712,0,0.00873362445414847,0.00109170305676856,0,0,0.00327510917030568,0.00327510917030568,0,0,0,0.00109170305676856,0.00109170305676856,0,0,0,0,0.00109170305676856,0,5,12,1,0,7,14,3,0,0,3,0,0.00545851528384279,0.0131004366812227,0.00109170305676856,0,0.00764192139737991,0.0152838427947598,0.00327510917030568,0,0,0.00327510917030568,0,916,729,78,7.12983166344296,0.0152838427947598,0.00655021834061135,916,0,0,0,1,0,0,0
"2013-08-01","Nicaragua",4,1,5,0,8,0,0,18,16,14,0,5,4,1,14,3,0,4,4,8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.00428265524625268,0.00107066381156317,0.00535331905781585,0,0.00856531049250535,0,0,0.019271948608137,0.0171306209850107,0.0149892933618844,0,0.00535331905781585,0.00428265524625268,0.00107066381156317,0.0149892933618844,0.00321199143468951,0,0.00428265524625268,0.00428265524625268,0.00856531049250535,0.00107066381156317,0,0,0,0,0,0,0,0.00107066381156317,0,0,0,0,0.00107066381156317,0,0,0,0,0,0,4,12,1,0,12,24,2,0,0,7,3,0.00428265524625268,0.012847965738758,0.00107066381156317,0,0.012847965738758,0.0256959314775161,0.00214132762312634,0,0,0.00749464668094218,0.00321199143468951,934,763,12,5.77431318400152,0.00321199143468951,0,934,0,0,0,1,0,0,0
