"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","opais.co.ao","jornalf8.net","angola24horas.com","portaldeangola.com","angola.online.net","vozdeangola.com","jornaldeangola.ao"
"2012-11-01","Angola",1,0,24,0,12,1,0,29,19,12,0,10,7,4,9,5,0,2,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0.00107296137339056,0,0.0257510729613734,0,0.0128755364806867,0.00107296137339056,0,0.0311158798283262,0.0203862660944206,0.0128755364806867,0,0.0107296137339056,0.00751072961373391,0.00429184549356223,0.00965665236051502,0.00536480686695279,0,0.00214592274678112,0.00107296137339056,0.00321888412017167,0,0,0,0,0,0,0,0,0.00214592274678112,0,0,0,0,0,0,0.00214592274678112,0,0,1,13,1,2,9,9,1,0,1,2,4,0.00107296137339056,0.0139484978540773,0.00107296137339056,0.00214592274678112,0.00965665236051502,0.00965665236051502,0.00107296137339056,0,0.00107296137339056,0.00214592274678112,0.00429184549356223,932,759,928,4.10179044302631,0.00107296137339056,0.00321888412017167,932,0,0,0,1,0,0,0
"2012-12-01","Angola",1,2,11,0,12,4,0,8,6,8,0,2,5,1,2,4,0,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00199600798403194,0.00399201596806387,0.0219560878243513,0,0.0239520958083832,0.00798403193612774,0,0.0159680638722555,0.0119760479041916,0.0159680638722555,0,0.00399201596806387,0.00998003992015968,0.00199600798403194,0.00399201596806387,0.00798403193612774,0,0.00598802395209581,0.00798403193612774,0.00199600798403194,0,0,0,0,0,0,0,0,0.00199600798403194,0,0,0,0,0,0,0,0,0,1,11,1,0,6,5,0,0,0,0,3,0.00199600798403194,0.0219560878243513,0.00199600798403194,0,0.0119760479041916,0.00998003992015968,0,0,0,0,0.00598802395209581,501,404,500,5.87354732105385,0.00199600798403194,0.00199600798403194,501,0,0,0,1,0,0,0
"2013-01-01","Angola",3,0,9,1,21,0,0,26,13,11,1,13,6,7,6,5,0,3,8,10,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0027002700270027,0,0.0081008100810081,0.0009000900090009,0.0189018901890189,0,0,0.0234023402340234,0.0117011701170117,0.0099009900990099,0.0009000900090009,0.0117011701170117,0.0054005400540054,0.0063006300630063,0.0054005400540054,0.0045004500450045,0,0.0027002700270027,0.0072007200720072,0.009000900090009,0,0,0.0009000900090009,0,0,0,0,0,0.0018001800180018,0,0,0,0,0,0,0,0,0,6,12,0,0,6,14,1,1,1,4,4,0.0054005400540054,0.0108010801080108,0,0,0.0054005400540054,0.0126012601260126,0.0009000900090009,0.0009000900090009,0.0009000900090009,0.0036003600360036,0.0036003600360036,1111,922,1108,4.15292223058409,0.0009000900090009,0.0027002700270027,1111,0,0,0,1,0,0,0
"2013-02-01","Angola",0,0,16,2,31,1,0,13,25,16,0,3,12,9,7,6,1,1,6,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0145586897179254,0.00181983621474067,0.0282074613284804,0.000909918107370337,0,0.0118289353958144,0.0227479526842584,0.0145586897179254,0,0.00272975432211101,0.010919017288444,0.00818926296633303,0.00636942675159236,0.00545950864422202,0.000909918107370337,0.000909918107370337,0.00545950864422202,0.010919017288444,0,0,0,0,0,0,0,0,0.000909918107370337,0,0,0,0,0,0,0,0,0,6,23,2,0,7,15,0,1,2,3,6,0.00545950864422202,0.0209281164695177,0.00181983621474067,0,0.00636942675159236,0.013648771610555,0,0.000909918107370337,0.00181983621474067,0.00272975432211101,0.00545950864422202,1099,885,1098,5.46996583724587,0,0.000909918107370337,1099,0,0,0,1,0,0,0
"2013-03-01","Angola",5,0,19,4,29,5,1,22,18,12,0,3,5,5,5,6,0,2,5,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.00439753737906772,0,0.0167106420404573,0.00351802990325418,0.0255057167985928,0.00439753737906772,0.000879507475813544,0.019349164467898,0.0158311345646438,0.0105540897097625,0,0.00263852242744063,0.00439753737906772,0.00439753737906772,0.00439753737906772,0.00527704485488127,0,0.00175901495162709,0.00439753737906772,0.00703605980650836,0,0,0,0,0,0,0,0.000879507475813544,0,0,0.000879507475813544,0,0,0,0,0.000879507475813544,0,0,8,25,3,1,9,11,1,1,1,1,1,0.00703605980650836,0.0219876868953386,0.00263852242744063,0.000879507475813544,0.0079155672823219,0.00967458223394899,0.000879507475813544,0.000879507475813544,0.000879507475813544,0.000879507475813544,0.000879507475813544,1137,928,1134,5.05111996780196,0.00175901495162709,0.00263852242744063,1137,0,0,0,1,0,0,0
"2013-04-01","Angola",11,3,14,0,31,1,0,35,19,14,0,5,11,5,8,6,0,3,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00913621262458472,0.00249169435215947,0.0116279069767442,0,0.0257475083056478,0.000830564784053156,0,0.0290697674418605,0.01578073089701,0.0116279069767442,0,0.00415282392026578,0.00913621262458472,0.00415282392026578,0.00664451827242525,0.00498338870431894,0,0.00249169435215947,0.00166112956810631,0.00249169435215947,0,0.000830564784053156,0,0,0,0,0,0,0,0,0,0.000830564784053156,0,0,0,0,0,0,4,30,0,1,9,8,3,1,1,2,4,0.00332225913621262,0.0249169435215947,0,0.000830564784053156,0.00747508305647841,0.00664451827242525,0.00249169435215947,0.000830564784053156,0.000830564784053156,0.00166112956810631,0.00332225913621262,1204,979,1202,5.60735964297236,0.00166112956810631,0.00166112956810631,1204,0,0,0,1,0,0,0
"2013-05-01","Angola",1,2,19,1,27,2,0,22,13,17,0,5,5,2,11,4,1,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000827129859387924,0.00165425971877585,0.0157154673283706,0.000827129859387924,0.0223325062034739,0.00165425971877585,0,0.0181968569065343,0.010752688172043,0.0140612076095947,0,0.00413564929693962,0.00413564929693962,0.00165425971877585,0.00909842845326716,0.0033085194375517,0.000827129859387924,0.00496277915632754,0.00496277915632754,0.00661703887510339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,2,0,14,17,0,0,0,1,5,0.00827129859387924,0.0173697270471464,0.00165425971877585,0,0.0115798180314309,0.0140612076095947,0,0,0,0.000827129859387924,0.00413564929693962,1209,990,1209,4.42406319775409,0,0,1209,0,0,0,1,0,0,0
"2013-06-01","Angola",6,1,11,0,32,1,0,16,25,14,0,2,14,4,25,1,0,3,5,3,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0.00481154771451484,0.000801924619085806,0.00882117080994387,0,0.0256615878107458,0.000801924619085806,0,0.0128307939053729,0.0200481154771451,0.0112269446672013,0,0.00160384923817161,0.0112269446672013,0.00320769847634322,0.0200481154771451,0.000801924619085806,0,0.00240577385725742,0.00400962309542903,0.00240577385725742,0,0,0,0,0,0.000801924619085806,0,0,0.00400962309542903,0,0,0,0,0,0,0,0,0,7,19,4,0,8,19,1,1,1,1,13,0.00561347233360064,0.0152365677626303,0.00320769847634322,0,0.00641539695268645,0.0152365677626303,0.000801924619085806,0.000801924619085806,0.000801924619085806,0.000801924619085806,0.0104250200481155,1247,1026,1241,5.50507172423982,0.00320769847634322,0.00481154771451484,1247,0,0,0,1,0,0,0
"2013-07-01","Angola",2,1,23,1,31,2,0,17,16,18,1,5,7,1,10,5,0,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00155159038013964,0.000775795190069822,0.0178432893716059,0.000775795190069822,0.0240496508921645,0.00155159038013964,0,0.013188518231187,0.0124127230411171,0.0139643134212568,0.000775795190069822,0.00387897595034911,0.00543056633048875,0.000775795190069822,0.00775795190069822,0.00387897595034911,0,0.000775795190069822,0.00232738557020946,0.00155159038013964,0,0,0,0,0,0.000775795190069822,0,0,0,0,0,0,0,0,0,0,0,0,3,28,2,0,9,15,1,2,0,2,7,0.00232738557020946,0.021722265321955,0.00155159038013964,0,0.00698215671062839,0.0116369278510473,0.000775795190069822,0.00155159038013964,0,0.00155159038013964,0.00543056633048875,1289,1082,1288,3.83690385888099,0,0.000775795190069822,1289,0,0,0,1,0,0,0
"2013-08-01","Angola",4,4,12,1,22,1,2,12,22,12,0,8,8,4,9,1,1,1,2,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.003003003003003,0.003003003003003,0.00900900900900901,0.000750750750750751,0.0165165165165165,0.000750750750750751,0.0015015015015015,0.00900900900900901,0.0165165165165165,0.00900900900900901,0,0.00600600600600601,0.00600600600600601,0.003003003003003,0.00675675675675676,0.000750750750750751,0.000750750750750751,0.000750750750750751,0.0015015015015015,0.00375375375375375,0,0,0,0,0,0,0,0,0.00225225225225225,0,0,0,0,0,0,0,0,0,7,21,1,0,4,10,0,2,1,0,3,0.00525525525525526,0.0157657657657658,0.000750750750750751,0,0.003003003003003,0.00750750750750751,0,0.0015015015015015,0.000750750750750751,0,0.00225225225225225,1332,1159,1329,4.2251582586813,0.00225225225225225,0,1332,0,0,0,1,0,0,0
