"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","georgiatoday.ge"
"2013-07-01","Georgia",7,1,21,3,3,0,0,13,16,5,0,1,8,1,6,6,1,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00718685831622177,0.00102669404517454,0.0215605749486653,0.00308008213552361,0.00308008213552361,0,0,0.013347022587269,0.0164271047227926,0.00513347022587269,0,0.00102669404517454,0.0082135523613963,0.00102669404517454,0.00616016427104723,0.00616016427104723,0.00102669404517454,0.00308008213552361,0,0.00410677618069815,0,0.00102669404517454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,0,26,7,0,0,0,7,9,0.00924024640657084,0.00308008213552361,0.00718685831622177,0,0.026694045174538,0.00718685831622177,0,0,0,0.00718685831622177,0.00924024640657084,974,811,973,11.4881417633703,0.00205338809034908,0,974,0
"2013-08-01","Georgia",7,2,3,2,6,1,0,11,18,1,0,2,3,1,6,9,0,2,3,8,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0.00747863247863248,0.00213675213675214,0.00320512820512821,0.00213675213675214,0.00641025641025641,0.00106837606837607,0,0.0117521367521368,0.0192307692307692,0.00106837606837607,0,0.00213675213675214,0.00320512820512821,0.00106837606837607,0.00641025641025641,0.00961538461538462,0,0.00213675213675214,0.00320512820512821,0.00854700854700855,0,0,0,0.00213675213675214,0,0.00106837606837607,0,0,0,0,0,0.00106837606837607,0,0.00213675213675214,0,0,0,0,0,9,1,1,1,14,3,1,1,2,5,9,0.00961538461538462,0.00106837606837607,0.00106837606837607,0.00106837606837607,0.014957264957265,0.00320512820512821,0.00106837606837607,0.00106837606837607,0.00213675213675214,0.00534188034188034,0.00961538461538462,936,801,906,11.9221317431963,0.00747863247863248,0.00213675213675214,936,0
"2013-09-01","Georgia",2,0,3,0,7,0,0,11,5,3,0,3,0,1,4,6,0,2,7,4,0,0,0,0,4,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0.00259403372243839,0,0.00389105058365759,0,0.00907911802853437,0,0,0.0142671854734112,0.00648508430609598,0.00389105058365759,0,0.00389105058365759,0,0.0012970168612192,0.00518806744487678,0.00778210116731518,0,0.00259403372243839,0.00907911802853437,0.00518806744487678,0,0,0,0,0.00518806744487678,0.00389105058365759,0,0,0,0.0012970168612192,0,0.0012970168612192,0,0,0,0,0,0,0.0012970168612192,4,1,1,0,5,5,1,0,2,5,9,0.00518806744487678,0.0012970168612192,0.0012970168612192,0,0.00648508430609598,0.00648508430609598,0.0012970168612192,0,0.00259403372243839,0.00648508430609598,0.0116731517509728,771,678,761,11.4528444455838,0.0207522697795071,0,771,0
"2013-10-01","Georgia",4,0,74,5,0,0,0,11,10,6,0,1,4,1,14,10,1,0,2,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0.00431034482758621,0,0.0797413793103448,0.00538793103448276,0,0,0,0.0118534482758621,0.0107758620689655,0.00646551724137931,0,0.00107758620689655,0.00431034482758621,0.00107758620689655,0.0150862068965517,0.0107758620689655,0.00107758620689655,0,0.0021551724137931,0.00538793103448276,0,0,0,0,0.00107758620689655,0.0021551724137931,0,0,0,0,0,0,0,0,0,0.00107758620689655,0,0,0.0021551724137931,3,1,3,1,6,8,0,1,1,2,2,0.00323275862068966,0.00107758620689655,0.00323275862068966,0.00107758620689655,0.00646551724137931,0.00862068965517241,0,0.00107758620689655,0.00107758620689655,0.0021551724137931,0.0021551724137931,928,741,921,11.1853234787365,0.00862068965517241,0,928,0
"2013-11-01","Georgia",2,0,9,0,12,1,0,12,6,2,1,2,3,0,7,5,0,5,1,8,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00248138957816377,0,0.011166253101737,0,0.0148883374689826,0.00124069478908189,0,0.0148883374689826,0.00744416873449132,0.00248138957816377,0.00124069478908189,0.00248138957816377,0.00372208436724566,0,0.0086848635235732,0.00620347394540943,0,0.00620347394540943,0.00124069478908189,0.00992555831265509,0,0,0,0.00124069478908189,0,0.00372208436724566,0,0,0,0,0,0,0,0.00124069478908189,0,0,0,0,0,3,3,1,0,11,4,0,0,0,2,8,0.00372208436724566,0.00372208436724566,0.00124069478908189,0,0.0136476426799007,0.00496277915632754,0,0,0,0.00248138957816377,0.00992555831265509,806,689,789,12.2045454179053,0.011166253101737,0,806,0
"2013-12-01","Georgia",2,0,1,0,1,0,0,9,11,1,2,0,3,1,10,8,1,1,1,1,0,0,0,2,1,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0.00246913580246914,0,0.00123456790123457,0,0.00123456790123457,0,0,0.0111111111111111,0.0135802469135802,0.00123456790123457,0.00246913580246914,0,0.0037037037037037,0.00123456790123457,0.0123456790123457,0.00987654320987654,0.00123456790123457,0.00123456790123457,0.00123456790123457,0.00123456790123457,0,0,0,0.00246913580246914,0.00123456790123457,0.00123456790123457,0,0.00123456790123457,0,0.00123456790123457,0,0,0,0.00246913580246914,0,0,0,0,0,0,1,2,0,8,4,3,0,1,5,4,0,0.00123456790123457,0.00246913580246914,0,0.00987654320987654,0.00493827160493827,0.0037037037037037,0,0.00123456790123457,0.00617283950617284,0.00493827160493827,810,726,788,10.5981113638193,0.00987654320987654,0.00246913580246914,810,0
"2014-01-01","Georgia",2,1,2,0,3,0,0,21,8,2,1,3,4,1,13,8,0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0.00249376558603491,0.00124688279301746,0.00249376558603491,0,0.00374064837905237,0,0,0.0261845386533666,0.00997506234413965,0.00249376558603491,0.00124688279301746,0.00374064837905237,0.00498753117206983,0.00124688279301746,0.0162094763092269,0.00997506234413965,0,0.00124688279301746,0.00124688279301746,0.00748129675810474,0,0,0,0,0,0,0,0,0,0.00124688279301746,0.00124688279301746,0,0,0.00249376558603491,0,0,0,0,0,6,1,3,0,9,5,0,0,4,15,9,0.00748129675810474,0.00124688279301746,0.00374064837905237,0,0.0112219451371571,0.00623441396508728,0,0,0.00498753117206983,0.0187032418952618,0.0112219451371571,802,671,707,11.7417053129257,0.00498753117206983,0.00124688279301746,802,0
"2014-02-01","Georgia",3,1,6,1,9,0,0,28,9,2,1,2,7,2,4,7,0,3,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0.0033003300330033,0.0011001100110011,0.0066006600660066,0.0011001100110011,0.0099009900990099,0,0,0.0308030803080308,0.0099009900990099,0.0022002200220022,0.0011001100110011,0.0022002200220022,0.0077007700770077,0.0022002200220022,0.0044004400440044,0.0077007700770077,0,0.0033003300330033,0.0022002200220022,0,0,0,0,0,0.0011001100110011,0.0044004400440044,0,0,0,0,0,0,0,0.0022002200220022,0.0011001100110011,0,0,0,0,9,2,4,0,8,6,2,0,0,9,7,0.0099009900990099,0.0022002200220022,0.0044004400440044,0,0.0088008800880088,0.0066006600660066,0.0022002200220022,0,0,0.0099009900990099,0.0077007700770077,909,758,877,11.0226173437221,0.0099009900990099,0.0011001100110011,909,0
"2014-03-01","Georgia",1,1,5,0,2,0,0,11,15,2,1,3,3,1,8,2,1,3,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,2,0,0,0.00147492625368732,0.00147492625368732,0.00737463126843658,0,0.00294985250737463,0,0,0.0162241887905605,0.0221238938053097,0.00294985250737463,0.00147492625368732,0.00442477876106195,0.00442477876106195,0.00147492625368732,0.0117994100294985,0.00294985250737463,0.00147492625368732,0.00442477876106195,0,0.00442477876106195,0,0,0,0,0,0.00442477876106195,0,0,0,0,0.00147492625368732,0,0,0,0.00294985250737463,0,0.00294985250737463,0,0,8,1,2,0,14,5,0,0,1,10,12,0.0117994100294985,0.00147492625368732,0.00294985250737463,0,0.0206489675516224,0.00737463126843658,0,0,0.00147492625368732,0.0147492625368732,0.0176991150442478,678,554,669,12.2317317690333,0.0176991150442478,0,678,0
"2014-04-01","Georgia",10,0,9,1,4,0,0,3,7,9,1,5,1,2,5,2,0,9,1,4,1,0,0,0,0,3,0,0,0,1,0,0,0,1,1,3,0,0,0,0.0133155792276964,0,0.0119840213049268,0.00133155792276964,0.00532623169107856,0,0,0.00399467376830892,0.00932090545938748,0.0119840213049268,0.00133155792276964,0.0066577896138482,0.00133155792276964,0.00266311584553928,0.0066577896138482,0.00266311584553928,0,0.0119840213049268,0.00133155792276964,0.00532623169107856,0.00133155792276964,0,0,0,0,0.00399467376830892,0,0,0,0.00133155792276964,0,0,0,0.00133155792276964,0.00133155792276964,0.00399467376830892,0,0,0,5,2,2,0,9,6,2,0,4,11,15,0.0066577896138482,0.00266311584553928,0.00266311584553928,0,0.0119840213049268,0.00798934753661784,0.00266311584553928,0,0.00532623169107856,0.014647137150466,0.0199733688415446,751,595,741,14.4373909016609,0.0173102529960053,0,751,0
