"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","nv.online.info","belgazeta.by","zviazda.by"
"2012-01-01","Belarus",7.88049029622063,6.88049029622063,30.0817160367722,2.44024514811032,17.2012257405516,0,0,49.7231869254341,24.3018386108274,12.8804902962206,1.22012257405516,2.22012257405516,11.1006128702758,11.9811031664964,9.54085801838611,8.88049029622063,0,2.44024514811032,4.88049029622063,3.66036772216547,0,0,0,0,1,0,0,1,0,0,2.22012257405516,0,1,0,11.8804902962206,1,1.22012257405516,0,0,1.22012257405516,3.66036772216547,0,0.00162786413885987,0.00142129524813481,0.00621394671282219,0.00050407873334235,0.00355323812033703,0,0,0.0102712635665016,0.00502000384441797,0.00266070859248515,0.000252039366671175,0.000458608257396232,0.00229304128698116,0.00247492319076563,0.00197084445742328,0.00183443302958493,0,0.00050407873334235,0.0010081574666847,0.000756118100013525,0,0,0,0,0.000206568890725057,0,0,0.000206568890725057,0,0,0.000458608257396232,0,0.000206568890725057,0,0.0024541397017601,0.000206568890725057,0.000252039366671175,0,0,0.000252039366671175,0.000756118100013525,0,14.9811031664964,9.22012257405516,7.88049029622063,0,39.0628192032686,41.7609805924413,1,3.44024514811032,0,12.5408580183861,9.32073544433095,0.0030946298629408,0.00190459049247163,0.00162786413885987,0,0.00806916323141265,0.00862651943657122,0.000206568890725057,0.000710647624067407,0,0.00259055112959845,0.00192537398147716,4841,4505.79928498468,4816.79877425945,5.41165911372403,0.00596190734615101,0.00153692318696763,4841,1,1,0
"2012-02-01","Belarus",4.79195289499509,6.97988223748773,30.9396467124632,2.39597644749755,16.9798822374877,0,0,56.5235525024534,28.5436702649657,14.5839057899902,1,2.39597644749755,16.3959764474975,2.79195289499509,7.97988223748773,15.1879293424926,1.39597644749755,10.3758586849853,7.18792934249264,7.39597644749755,1,0,0,0,0,1,2,0,0,0,9.18792934249264,0,1.39597644749755,0,9.79195289499509,1,1.39597644749755,0,0,1.39597644749755,1,0,0.00083527155220413,0.00121664323470241,0.00539300099572306,0.000417635776102065,0.00295971452631824,0,0,0.00985245816671664,0.004975365219621,0.00254207875021617,0.000174307129161583,0.000417635776102065,0.00285793558436422,0.000486657293880965,0.00139095036386399,0.00264736436159886,0.000243328646940482,0.00180858613996606,0.00125290732830619,0.00128917142190998,0.000174307129161583,0,0,0,0,0.000174307129161583,0.000348614258323165,0,0,0,0.00160152158662936,0,0.000243328646940482,0,0.00170680719801204,0.000174307129161583,0.000243328646940482,0,0,0.000243328646940482,0.000174307129161583,0,17.9798822374877,22.5839057899902,4.39597644749755,0,31.9195289499509,53.7517173699706,2.79195289499509,1.39597644749755,1,11.9798822374877,5.79195289499509,0.00313402165547982,0.00393653578350883,0.00076625003442523,0,0.00556380145545598,0.00936930754226435,0.000486657293880965,0.000243328646940482,0.000174307129161583,0.00208817888051032,0.00100957868136571,5737,5362.35525024534,5707.83218842002,5.34439639368108,0.0077315218620312,0.00135819293968888,5737,1,1,0
"2012-03-01","Belarus",5.50308641975309,5.50308641975309,35.0205761316872,1,30.511316872428,0,0,37.511316872428,20.0102880658436,19.5092592592593,0,3,6,9.00617283950617,14.5051440329218,4.00205761316872,2,32.0164609053498,5.50102880658436,6.00205761316872,0,0,1,0,0,0,3.00205761316872,0,0,0,5,0,0,1,9.00205761316872,4.50102880658436,0,0,0,0,11.0041152263374,0,0.000927069814648431,0.000927069814648431,0.00589969274455648,0.000168463611859838,0.00514004664292924,0,0,0.00631929192594811,0.00337100540192783,0.00328660027952481,0,0.000505390835579515,0.00101078167115903,0.00151721240557719,0.00244358895433319,0.000674201080385567,0.000336927223719677,0.00539360864308453,0.000926723181702217,0.00101112830410524,0,0,0.000168463611859838,0,0,0,0.000505737468525729,0,0,0,0.000842318059299191,0,0,0.000168463611859838,0.00151651913968476,0.000758259569842379,0,0,0,0,0.00185379299635065,0,18.0082304526749,33.5051440329218,8.50102880658436,0,23.0102880658436,37.5051440329218,1.50102880658436,3,0,17.0061728395062,8.50308641975309,0.00303373154526194,0.00564439757967012,0.00143211401728173,0,0.00387639623750735,0.00631825202710947,0.000252868734262864,0.000505390835579515,0,0.00286492130045589,0.00143246065022795,5936,5555.35905349794,5901.49074074074,5.44347389325936,0.00909911483810855,0.000926723181702217,5936,1,1,1
"2012-04-01","Belarus",3.53719856336583,1,14.4325295023089,0,24.7906618778861,0,0,32.1487942534633,24.6859928168291,14.2534633145203,1,3.53719856336583,8.53719856336583,12.2534633145203,4.35813237557722,1.17906618778861,0,8.89533093894305,4.17906618778861,6.17906618778861,0,0,0,0,1.17906618778861,1.17906618778861,0,0,0,0,6.89533093894305,0,0,0,11.7162647511544,2.17906618778861,0,0,2,1.17906618778861,5.89533093894305,0,0.000759055485700822,0.000214592274678112,0.00309710933525942,0,0.00531988452315152,0,0,0.0068988828870093,0.00529742335125089,0.00305868311470392,0.000214592274678112,0.000759055485700822,0.00183201685909138,0.0026294985653477,0.000935221539823437,0.000253018495233607,0,0.00190886930020237,0.000896795319267942,0.00132597986862417,0,0,0,0,0.000253018495233607,0.000253018495233607,0,0,0,0,0.00147968475084615,0,0,0,0.00251421990368121,0.000467610769911719,0,0,0.000429184549356223,0.000253018495233607,0.00126509247616804,0,13.4325295023089,22.0743971267317,1,0,19.1487942534633,24.895330938943,1,0,0,7.89533093894305,19.6115956900975,0.0028825170605813,0.00473699509157332,0.000214592274678112,0,0.00410918331619384,0.00534234569505216,0.000214592274678112,0,0,0.00169427702552426,0.00420849692920547,4660,4394.33299127758,4627.7768086198,4.92295299620529,0.00794938308849922,0.00298183067359293,4660,1,1,1
"2012-05-01","Belarus",10.2731006160164,1.3788501026694,23.6827515400411,2.3788501026694,33.1673511293635,1.3788501026694,0,23.0308008213552,21.5462012320329,11.5154004106776,1,7.51540041067762,10.894250513347,4.13655030800821,15.788501026694,1,0,7.13655030800821,8.13655030800821,6.51540041067762,1.3788501026694,0,0,0,0,0,0,4.3788501026694,1.3788501026694,0,5.13655030800821,0,0,0,19.6519507186858,0,0,0,0,1,1.3788501026694,0,0.0018922638821176,0.000253978652177087,0.00436226773623891,0.000438174636704624,0.00610929289544363,0.000253978652177087,0,0.00424218103174714,0.00396872374876273,0.00212109051587357,0.000184195984527537,0.00138430657776342,0.00200667719899558,0.00076193595653126,0.00290817849082594,0.000184195984527537,0,0.00131452391011387,0.00149871989464141,0.00120011059323588,0.000253978652177087,0,0,0,0,0,0,0.000806566605759699,0.000253978652177087,0,0.000946131941058798,0,0,0,0.00361981041051498,0,0,0,0,0.000184195984527537,0.000253978652177087,0,25.5462012320329,26.7577002053388,3.75770020533881,0,28.9250513347023,38.3039014373717,2.75770020533881,1.3788501026694,1,6.75770020533881,19.6519507186858,0.00470550768687288,0.00492866093301507,0.000692153288881711,0,0.00532787830810504,0.00705542483650242,0.000507957304354174,0.000253978652177087,0.000184195984527537,0.00124474124246432,0.00361981041051498,5429,5087.44558521561,5394.69609856263,4.73131648043629,0.00929092866925398,0.000876349273409248,5429,1,1,1
"2012-06-01","Belarus",14.3097155126141,3.2313472893183,47.2351046698873,1.61567364465915,27.3097155126141,2.61567364465915,0,41.003757380569,32.003757380569,20.3097155126141,4.2313472893183,6.2313472893183,9.84702093397746,6.46269457863661,13.4626945786366,3.61567364465915,0,8.46269457863661,5.84702093397746,3.2313472893183,0,0,1.61567364465915,0,3,0,1,6.2313472893183,0,0,21.6940418679549,1,0,0,19.4626945786366,3,0,0,0,4.2313472893183,14.6940418679549,0,0.00235861472105061,0.000532610398766821,0.00778557848522948,0.000266305199383411,0.00450135413097314,0.00043113130783899,0,0.00675848976109593,0.00527505478499571,0.00334757137178409,0.000697436507222401,0.00102708872413356,0.00162304614042813,0.00106522079753364,0.0022190035567227,0.000595957416294569,0,0.0013948730144448,0.000963741706605811,0.000532610398766821,0,0,0.000266305199383411,0,0.000494478325366738,0,0.000164826108455579,0.00102708872413356,0,0,0.00357574449776742,0.000164826108455579,0,0,0.00320796020745617,0.000494478325366738,0,0,0,0.000697436507222401,0.00242196173857836,0,16.0783682232958,29.2313472893183,11.6940418679549,0,30.2351046698873,41.6940418679549,0,2,1.61567364465915,22.5410628019324,13.2313472893183,0.00265013486456169,0.00481808921861188,0.00192748341321162,0,0.00498353464148463,0.006872266666879,0,0.000329652216911159,0.000266305199383411,0.00371535566209533,0.00218087148332261,6067,5661.34675254965,5991.07085346216,5.17069030002064,0.0141381518826141,0.00277682889961718,6067,1,1,0
"2012-07-01","Belarus",21.2523659305994,6.56309148264984,80.546792849632,1.52103049421661,21.6051524710831,2.52103049421661,0,67.8154574132492,26.773396424816,23.6472134595163,4.52103049421661,2,13.0841219768665,7.08412197686646,22.7313354363828,4.52103049421661,2,4.04206098843323,3.52103049421661,7.08412197686646,0,0,2.52103049421661,0,2,3.04206098843323,1.52103049421661,1,0,1.52103049421661,12.0420609884332,2,0,1.52103049421661,15.6051524710831,3,0,0,0,0,2.52103049421661,0,0.00360882423681429,0.00111446620523855,0.0136774992103298,0.000258283323860862,0.00366873025489609,0.000428091440688846,0,0.0115156151151722,0.00454634002798709,0.00401548878578983,0.000767707674344815,0.000339616233655969,0.00222179011323934,0.00120294141227143,0.00385996526343738,0.000767707674344815,0.000339616233655969,0.000686374764549708,0.00059789955751683,0.00120294141227143,0,0,0.000428091440688846,0,0.000339616233655969,0.000516566647721723,0.000258283323860862,0.000169808116827984,0,0.000258283323860862,0.00204483969917358,0.000339616233655969,0,0.000258283323860862,0.00264988155392818,0.000509424350483953,0,0,0,0,0.000428091440688846,0,22.6892744479495,28.1261829652997,13.6051524710831,0,41.8995793901157,38.1682439537329,2.52103049421661,4.04206098843323,2.52103049421661,13.1261829652997,18.6472134595163,0.00385282296619961,0.00477605416289687,0.00231026532027221,0,0.00711488867212017,0.00648127762841449,0.000428091440688846,0.000686374764549708,0.000428091440688846,0.00222893241047711,0.00316644820164991,5889,5399.94584647739,5840.70557308097,5.64677292805228,0.00811945277861253,0.00221464781600157,5889,1,1,1
"2012-08-01","Belarus",24.0393374741201,2.73084886128364,146.004140786749,9.92339544513458,24.1159420289855,1,0,79.7701863354037,39.4244306418219,14.3850931677019,1,7,13.1925465838509,12.3850931677019,13.3850931677019,30.1159420289855,4.46169772256729,5.19254658385093,12.6542443064182,13.3850931677019,1,0,0,0,1.73084886128364,1.73084886128364,5.46169772256729,1.73084886128364,0,0,10.4616977225673,0,0,2.73084886128364,11.1925465838509,5.73084886128364,0,0,0,1.73084886128364,1,0,0.00344304461101691,0.000391127021094764,0.0209115068442781,0.00142128264754147,0.00345401633185126,0.000143225436837582,0,0.0114251197845035,0.00564658130074791,0.00206031125289342,0.000143225436837582,0.00100257805786308,0.0018895082474722,0.00177386037921826,0.00191708581605584,0.00431336895287676,0.000639028605351946,0.000743704752771546,0.00181240966863624,0.00191708581605584,0.000143225436837582,0,0,0,0.000247901584257182,0.000247901584257182,0.000782254042189528,0.000247901584257182,0,0,0.00149838122637744,0,0,0.000391127021094764,0.00160305737379704,0.000820803331607511,0,0,0,0.000247901584257182,0.000143225436837582,0,26.5776397515528,26.4616977225673,9.46169772256729,0,42.0393374741201,53.3084886128364,1,2,1.73084886128364,24.5776397515528,19.3850931677019,0.00380659406352804,0.00378998821577876,0.00135515578953986,0,0.00602110247409339,0.00763513156872478,0.000143225436837582,0.000286450873675165,0.000247901584257182,0.00352014318985288,0.00277643843708133,6982,6331.02277432712,6937.49896480331,6.52757574495532,0.00676480722686494,0.0029582131633369,6982,1,1,1
"2012-09-01","Belarus",18.8682666666667,9.6512,263.159466666667,50.5194666666667,19.8256,0,0,44.0853333333333,27.9109333333333,11.2170666666667,1.60853333333333,4.60853333333333,8.8256,8.43413333333333,15.6512,1,0,9.04266666666667,4.60853333333333,9.8256,1.60853333333333,0,0,0,8,0,0,2.60853333333333,0,0,10.2170666666667,2,0,5.21706666666667,17.4341333333333,1.60853333333333,0,0,4.21706666666667,1.60853333333333,5.21706666666667,0,0.00307000759301443,0.00157032216075496,0.0428180062913548,0.00821989369779802,0.00322577286039701,0,0,0.00717301225729472,0.00454131684564486,0.00182510033626207,0.000261720360125827,0.000749842716129732,0.00143599088838269,0.00137229634450591,0.00254656687276277,0.000162707452001302,0,0.00147130925263044,0.000749842716129732,0.00159869834038399,0.000261720360125827,0,0,0,0.00130165961601041,0,0,0.000424427812127129,0,0,0.00166239288426077,0.000325414904002603,0,0.000848855624254257,0.00283666341251763,0.000261720360125827,0,0,0.000686148172252956,0.000261720360125827,0.000848855624254257,0,43.1706666666667,30.2170666666667,9.8256,0,40.9536,30.8256,1,1,3.21706666666667,21.6938666666667,29.6938666666667,0.00702418917453086,0.0049165419242868,0.00159869834038399,0,0.00666345590628051,0.00501555483241132,0.000162707452001302,0.000162707452001302,0.000523440720251654,0.0035297537693893,0.00483141338539972,6146,5432.7776,6086.26346666667,5.18318021705089,0.0118700943703222,0.00234854105651372,6146,1,1,0
"2012-10-01","Belarus",9.9954233409611,3.19816933638444,77.3734553775744,1,31.5945080091533,5.19816933638444,0,44.9908466819222,41.1844393592677,26.9908466819222,4.19816933638444,5.59908466819222,14.5945080091533,6.79725400457666,8.39633867276888,8.19816933638444,1,6.79725400457666,3,12.3963386727689,0,0,0,0,2.59908466819222,1,2.59908466819222,0,0,0,12.5945080091533,0,1.59908466819222,2.59908466819222,24.1935926773455,3.59908466819222,1,0,1,0,6.79725400457666,0,0.00141598290706348,0.00045306266275456,0.0109609654876858,0.000141663125088539,0.00447577674021155,0.000736388912931639,0,0.00637354394134044,0.00583431638465331,0.00382360768974673,0.0005947257878431,0.000793183831731438,0.00206750361370638,0.000962920244308919,0.0011894515756862,0.00116137828819726,0.000141663125088539,0.000962920244308919,0.000424989375265618,0.00175610407604036,0,0,0,0,0.000368194456465819,0.000141663125088539,0.000368194456465819,0,0,0,0.0017841773635293,0,0.00022653133137728,0.000368194456465819,0.00342733994579197,0.000509857581554359,0.000141663125088539,0,0.000141663125088539,0,0.000962920244308919,0,31.39176201373,51.5899313501144,10.3963386727689,0,33.1890160183066,66.9862700228833,3,0,6.79725400457666,18.5945080091533,32.7881006864989,0.00444705510890069,0.00730839089816042,0.00147277782586328,0,0.00470165972776691,0.0094894843494664,0.000424989375265618,0,0.000962920244308919,0.00263415611406054,0.00464486480896711,7059,6506.16018306636,6999.41922196796,5.44207926096413,0.0098570304621103,0.00226596165759472,7059,1,1,1
