"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","confidentenamibia.com","thevillager.com.na","observer24.com.na","informante.web.na"
"2017-11-01","Namibia",0,0,7,1,1,0,0,3,6,3,0,0,7,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0126353790613718,0.00180505415162455,0.00180505415162455,0,0,0.00541516245487365,0.0108303249097473,0.00541516245487365,0,0,0.0126353790613718,0.00541516245487365,0.00541516245487365,0.00541516245487365,0,0,0,0.0036101083032491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00180505415162455,0,4,6,3,2,17,6,0,0,0,1,3,0.0072202166064982,0.0108303249097473,0.00541516245487365,0.0036101083032491,0.0306859205776173,0.0108303249097473,0,0,0,0.00180505415162455,0.00541516245487365,554,485,1,3.57145911543861,0,0.00180505415162455,554,0,0,0,0
"2017-12-01","Namibia",0,0,4,0,1,0,0,7,1,1,0,2,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,3,0,0,0,0.00985221674876847,0,0.00246305418719212,0,0,0.0172413793103448,0.00246305418719212,0.00246305418719212,0,0.00492610837438424,0.00738916256157635,0,0.00492610837438424,0.0123152709359606,0,0,0,0,0,0,0,0,0,0,0,0,0.00246305418719212,0.00246305418719212,0,0,0.00492610837438424,0,0,0,0,0,0.00738916256157635,0,2,1,2,0,9,2,2,1,0,0,0,0.00492610837438424,0.00246305418719212,0.00492610837438424,0,0.0221674876847291,0.00492610837438424,0.00492610837438424,0.00246305418719212,0,0,0,406,365,1,2.16791971521525,0.00492610837438424,0.0123152709359606,406,0,0,0,0
"2018-01-01","Namibia",1,0,2,0,0,0,0,17,7,2,0,1,6,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.00198412698412698,0,0.00396825396825397,0,0,0,0,0.0337301587301587,0.0138888888888889,0.00396825396825397,0,0.00198412698412698,0.0119047619047619,0.00198412698412698,0.00198412698412698,0,0,0.00198412698412698,0.00198412698412698,0,0,0,0,0,0,0,0.00198412698412698,0,0,0.00198412698412698,0.00198412698412698,0,0,0,0,0,0,0,0,0,5,3,7,0,22,2,1,0,0,4,4,0.00992063492063492,0.00595238095238095,0.0138888888888889,0,0.0436507936507936,0.00396825396825397,0.00198412698412698,0,0,0.00793650793650794,0.00793650793650794,504,429,1,3.15770033245738,0.00198412698412698,0.00396825396825397,504,0,0,0,0
"2018-02-01","Namibia",1,0,2,1,0,0,0,9,3,5,0,0,3,1,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.00198412698412698,0,0.00396825396825397,0.00198412698412698,0,0,0,0.0178571428571429,0.00595238095238095,0.00992063492063492,0,0,0.00595238095238095,0.00198412698412698,0.00198412698412698,0.00595238095238095,0,0.00595238095238095,0,0,0,0,0,0,0.00198412698412698,0,0,0,0,0,0,0,0.00198412698412698,0,0,0,0,0,0,0.00198412698412698,5,4,6,1,23,4,2,0,1,4,4,0.00992063492063492,0.00793650793650794,0.0119047619047619,0.00198412698412698,0.0456349206349206,0.00793650793650794,0.00396825396825397,0,0.00198412698412698,0.00793650793650794,0.00793650793650794,504,428,0,2.88670162227363,0.00198412698412698,0.00396825396825397,504,0,0,0,0
"2018-03-01","Namibia",0,0,1,1,2,0,2,16,10,1,0,0,4,0,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.00186219739292365,0.00186219739292365,0.0037243947858473,0,0.0037243947858473,0.0297951582867784,0.0186219739292365,0.00186219739292365,0,0,0.0074487895716946,0,0.0037243947858473,0.0037243947858473,0,0.00186219739292365,0,0.00186219739292365,0,0,0,0,0,0,0.00186219739292365,0.00186219739292365,0,0,0,0,0.00186219739292365,0,0,0,0,0.00186219739292365,0,0,5,4,5,0,19,1,2,1,1,5,4,0.00931098696461825,0.0074487895716946,0.00931098696461825,0,0.0353817504655493,0.00186219739292365,0.0037243947858473,0.00186219739292365,0.00186219739292365,0.00931098696461825,0.0074487895716946,537,458,1,4.31572432371493,0.00186219739292365,0.0074487895716946,537,0,0,0,0
"2018-04-01","Namibia",1,0,2,0,3,0,1,11,12,3,0,0,7,1,3,1,1,2,0,2,2,1,0,0,0,2,2,1,0,1,0,0,2,1,0,0,0,0,0,0,0.0019047619047619,0,0.00380952380952381,0,0.00571428571428571,0,0.0019047619047619,0.020952380952381,0.0228571428571429,0.00571428571428571,0,0,0.0133333333333333,0.0019047619047619,0.00571428571428571,0.0019047619047619,0.0019047619047619,0.00380952380952381,0,0.00380952380952381,0.00380952380952381,0.0019047619047619,0,0,0,0.00380952380952381,0.00380952380952381,0.0019047619047619,0,0.0019047619047619,0,0,0.00380952380952381,0.0019047619047619,0,0,0,0,0,0,5,1,6,0,17,4,3,1,1,2,4,0.00952380952380952,0.0019047619047619,0.0114285714285714,0,0.0323809523809524,0.00761904761904762,0.00571428571428571,0.0019047619047619,0.0019047619047619,0.00380952380952381,0.00761904761904762,525,445,9,5.02618041342266,0,0.0247619047619048,525,0,0,0,0
"2018-05-01","Namibia",0,0,1,0,3,0,0,6,12,2,0,1,8,4,2,1,0,1,0,1,0,0,0,1,0,2,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.00201612903225806,0,0.00604838709677419,0,0,0.0120967741935484,0.0241935483870968,0.00403225806451613,0,0.00201612903225806,0.0161290322580645,0.00806451612903226,0.00403225806451613,0.00201612903225806,0,0.00201612903225806,0,0.00201612903225806,0,0,0,0.00201612903225806,0,0.00403225806451613,0.00201612903225806,0.00403225806451613,0,0,0.00201612903225806,0,0,0,0,0,0.00201612903225806,0,0.00201612903225806,0,1,7,9,0,25,2,1,0,1,1,1,0.00201612903225806,0.0141129032258065,0.0181451612903226,0,0.0504032258064516,0.00403225806451613,0.00201612903225806,0,0.00201612903225806,0.00201612903225806,0.00201612903225806,496,422,1,4.89459359880917,0.00201612903225806,0.0181451612903226,496,0,0,0,0
"2018-06-01","Namibia",0,1,2,0,3,1,1,5,8,1,0,0,7,1,3,2,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0.00194931773879142,0.00389863547758285,0,0.00584795321637427,0.00194931773879142,0.00194931773879142,0.00974658869395711,0.0155945419103314,0.00194931773879142,0,0,0.01364522417154,0.00194931773879142,0.00584795321637427,0.00389863547758285,0,0,0,0,0,0,0,0,0,0.00194931773879142,0.00779727095516569,0,0,0.00194931773879142,0,0,0,0,0,0,0.00584795321637427,0,0,0,8,5,8,1,20,4,2,0,0,0,1,0.0155945419103314,0.00974658869395711,0.0155945419103314,0.00194931773879142,0.0389863547758285,0.00779727095516569,0.00389863547758285,0,0,0,0.00194931773879142,513,445,0,5.10448647199273,0,0.0194931773879142,513,0,0,0,0
"2018-07-01","Namibia",1,1,1,0,2,0,0,3,15,3,0,0,13,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00172413793103448,0.00172413793103448,0.00172413793103448,0,0.00344827586206897,0,0,0.00517241379310345,0.0258620689655172,0.00517241379310345,0,0,0.0224137931034483,0.00344827586206897,0,0.00172413793103448,0,0.00172413793103448,0,0.00172413793103448,0,0,0,0,0,0.00172413793103448,0,0.00172413793103448,0,0,0,0,0,0,0,0,0,0,0.00172413793103448,0.00172413793103448,4,5,7,1,28,8,0,0,2,1,1,0.00689655172413793,0.00862068965517241,0.0120689655172414,0.00172413793103448,0.0482758620689655,0.0137931034482759,0,0,0.00344827586206897,0.00172413793103448,0.00172413793103448,580,499,0,5.64267341050165,0,0.00689655172413793,580,0,0,0,0
"2018-08-01","Namibia",0,0,2,2,2,3,0,7,10,1,0,2,9,1,4,3,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036697247706422,0.0036697247706422,0.0036697247706422,0.0055045871559633,0,0.0128440366972477,0.018348623853211,0.0018348623853211,0,0.0036697247706422,0.0165137614678899,0.0018348623853211,0.0073394495412844,0.0055045871559633,0.0018348623853211,0,0,0.0055045871559633,0,0,0,0,0,0.0018348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,1,20,3,6,1,0,4,1,0.0073394495412844,0.0073394495412844,0.0165137614678899,0.0018348623853211,0.036697247706422,0.0055045871559633,0.0110091743119266,0.0018348623853211,0,0.0073394495412844,0.0018348623853211,545,461,1,5.01982461857517,0,0.0018348623853211,545,0,0,0,0
