"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles"
"2012-12-01","Mali",13,0,6,0,31,10,0,4,17,2,3,28,2,1,8,31,0,6,2,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141766630316249,0,0.00654307524536532,0,0.0338058887677208,0.0109051254089422,0,0.00436205016357688,0.0185387131952017,0.00218102508178844,0.00327153762268266,0.0305343511450382,0.00218102508178844,0.00109051254089422,0.00872410032715376,0.0338058887677208,0,0.00654307524536532,0.00218102508178844,0.0359869138495093,0.00218102508178844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,3,1,0,1,0,7,0.00218102508178844,0.00872410032715376,0,0,0.00218102508178844,0.00327153762268266,0.00109051254089422,0,0.00109051254089422,0,0.00763358778625954,917,696,4,6.74997094757504,0.00218102508178844,0,917
"2013-01-01","Mali",17,1,20,2,118,4,0,14,21,4,27,432,14,8,46,5,13,17,96,341,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0040621266427718,0.0002389486260454,0.004778972520908,0.0004778972520908,0.0281959378733572,0.000955794504181601,0,0.0033452807646356,0.00501792114695341,0.000955794504181601,0.00645161290322581,0.103225806451613,0.0033452807646356,0.0019115890083632,0.0109916367980884,0.001194743130227,0.0031063321385902,0.0040621266427718,0.0229390681003584,0.0814814814814815,0.0004778972520908,0,0,0,0,0,0.000955794504181601,0.0002389486260454,0,0,0,0,0,0,0,0,0.000716845878136201,0,0,0,0,0,4,12,1,0,3,2,0,1,1,6,16,0.000955794504181601,0.0028673835125448,0.0002389486260454,0,0.000716845878136201,0.0004778972520908,0,0.0002389486260454,0.0002389486260454,0.0014336917562724,0.0038231780167264,4185,2944,12,0,0.0019115890083632,0.0004778972520908,4185
"2013-02-01","Mali",43,2,28,0,34,2,0,23,15,3,0,128,3,6,1,1,5,5,135,209,3,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0190181335692172,0.000884564352056612,0.0123839009287926,0,0.0150375939849624,0.000884564352056612,0,0.010172490048651,0.00663423264042459,0.00132684652808492,0,0.0566121185316232,0.00132684652808492,0.00265369305616984,0.000442282176028306,0.000442282176028306,0.00221141088014153,0.00221141088014153,0.0597080937638213,0.092436974789916,0.00132684652808492,0,0,0,0,0,0.00132684652808492,0,0.000442282176028306,0,0,0,0,0,0.000442282176028306,0.000442282176028306,0,0,0.000442282176028306,0,0,0,12,4,0,0,6,5,1,1,1,7,10,0.00530738611233967,0.00176912870411322,0,0,0.00265369305616984,0.00221141088014153,0.000442282176028306,0.000442282176028306,0.000442282176028306,0.00309597523219814,0.00442282176028306,2261,1574,6,1.63000355013509,0.00353825740822645,0.000884564352056612,2261
"2013-03-01","Mali",46,4,60,3,29,3,0,10,25,3,1,56,2,2,9,8,0,4,207,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251366120218579,0.00218579234972678,0.0327868852459016,0.00163934426229508,0.0158469945355191,0.00163934426229508,0,0.00546448087431694,0.0136612021857923,0.00163934426229508,0.000546448087431694,0.0306010928961749,0.00109289617486339,0.00109289617486339,0.00491803278688525,0.00437158469945355,0,0.00218579234972678,0.113114754098361,0.0360655737704918,0.000546448087431694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,3,2,2,0,2,14,8,0.00327868852459016,0.00163934426229508,0.00163934426229508,0,0.00163934426229508,0.00109289617486339,0.00109289617486339,0,0.00109289617486339,0.00765027322404372,0.00437158469945355,1830,1252,4,5.06395239659661,0.000546448087431694,0,1830
"2013-04-01","Mali",29,0,166,10,36,2,0,15,29,6,11,117,6,7,10,11,1,7,57,57,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126859142607174,0,0.0726159230096238,0.00437445319335083,0.015748031496063,0.000874890638670166,0,0.00656167979002625,0.0126859142607174,0.0026246719160105,0.00481189851268591,0.0511811023622047,0.0026246719160105,0.00306211723534558,0.00437445319335083,0.00481189851268591,0.000437445319335083,0.00306211723534558,0.0249343832020997,0.0249343832020997,0.00174978127734033,0,0,0,0,0,0.000437445319335083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,2,0,14,1,1,0,3,1,4,0.00393700787401575,0.00218722659667542,0.000874890638670166,0,0.00612423447069116,0.000437445319335083,0.000437445319335083,0,0.00131233595800525,0.000437445319335083,0.00174978127734033,2286,1671,2,5.45486676810353,0.00174978127734033,0.000437445319335083,2286
"2013-05-01","Mali",13,0,115,3,53,0,0,10,20,9,2,37,7,5,4,1,0,4,34,41,0,0,1,0,0,0,1,1,3,0,1,0,0,0,2,0,8,0,0,0,0,0,0.00919377652050919,0,0.0813295615275813,0.00212164073550212,0.0374823196605375,0,0,0.00707213578500707,0.0141442715700141,0.00636492220650637,0.00141442715700141,0.0261669024045262,0.00495049504950495,0.00353606789250354,0.00282885431400283,0.000707213578500707,0,0.00282885431400283,0.024045261669024,0.028995756718529,0,0,0.000707213578500707,0,0,0,0.000707213578500707,0.000707213578500707,0.00212164073550212,0,0.000707213578500707,0,0,0,0.00141442715700141,0,0.00565770862800566,0,0,0,0,0,5,8,1,0,3,5,1,1,0,1,2,0.00353606789250354,0.00565770862800566,0.000707213578500707,0,0.00212164073550212,0.00353606789250354,0.000707213578500707,0.000707213578500707,0,0.000707213578500707,0.00141442715700141,1414,1035,5,7.11352309261699,0.00141442715700141,0.0106082036775106,1414
"2013-06-01","Mali",10,1,95,10,122,0,0,1,5,8,5,37,5,4,6,7,1,7,21,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00819672131147541,0.000819672131147541,0.0778688524590164,0.00819672131147541,0.1,0,0,0.000819672131147541,0.00409836065573771,0.00655737704918033,0.00409836065573771,0.030327868852459,0.00409836065573771,0.00327868852459016,0.00491803278688525,0.00573770491803279,0.000819672131147541,0.00573770491803279,0.0172131147540984,0.0295081967213115,0,0,0,0,0,0,0,0.000819672131147541,0,0,0,0,0,0,0,0,0.000819672131147541,0,0,0,0,0,2,21,0,0,2,2,0,2,0,1,2,0.00163934426229508,0.0172131147540984,0,0,0.00163934426229508,0.00163934426229508,0,0.00163934426229508,0,0.000819672131147541,0.00163934426229508,1220,809,1,6.0056456051919,0,0.00163934426229508,1220
"2013-07-01","Mali",5,0,491,41,29,6,0,4,10,6,12,54,9,7,19,7,0,4,29,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.00241312741312741,0,0.236969111969112,0.0197876447876448,0.013996138996139,0.0028957528957529,0,0.00193050193050193,0.00482625482625483,0.0028957528957529,0.00579150579150579,0.0260617760617761,0.00434362934362934,0.00337837837837838,0.00916988416988417,0.00337837837837838,0,0.00193050193050193,0.013996138996139,0.0188223938223938,0,0,0,0,0,0,0.000482625482625483,0,0,0,0,0,0,0,0,0,0.000482625482625483,0,0,0,0.000482625482625483,0,3,4,2,1,3,2,1,0,1,12,3,0.00144787644787645,0.00193050193050193,0.000965250965250965,0.000482625482625483,0.00144787644787645,0.000965250965250965,0.000482625482625483,0,0.000482625482625483,0.00579150579150579,0.00144787644787645,2072,1271,2,6.87396616315483,0.000482625482625483,0.000965250965250965,2072
"2013-08-01","Mali",14,0,405,28,18,2,0,33,6,6,0,22,9,4,9,8,0,6,9,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00785634118967452,0,0.227272727272727,0.015712682379349,0.0101010101010101,0.00112233445566779,0,0.0185185185185185,0.00336700336700337,0.00336700336700337,0,0.0123456790123457,0.00505050505050505,0.00224466891133558,0.00505050505050505,0.00448933782267116,0,0.00336700336700337,0.00505050505050505,0.00561167227833894,0,0,0,0,0,0,0.00112233445566779,0,0,0,0,0,0,0,0.000561167227833895,0,0,0,0,0,0,0,6,5,2,0,2,4,1,0,4,2,1,0.00336700336700337,0.00280583613916947,0.00112233445566779,0,0.00112233445566779,0.00224466891133558,0.000561167227833895,0,0.00224466891133558,0.00112233445566779,0.000561167227833895,1782,1171,1,8.21092563293388,0,0.00168350168350168,1782
"2013-09-01","Mali",7,0,32,1,36,3,0,29,12,1,0,16,11,3,8,9,0,4,28,53,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.00472653612424038,0,0.0216070222822417,0.000675219446320054,0.0243079000675219,0.00202565833896016,0,0.0195813639432816,0.00810263335584065,0.000675219446320054,0,0.0108035111411209,0.00742741390952059,0.00202565833896016,0.00540175557056043,0.00607697501688049,0,0.00270087778528022,0.0189061444969615,0.0357866306549629,0,0,0.000675219446320054,0,0.000675219446320054,0.000675219446320054,0.000675219446320054,0,0,0,0.000675219446320054,0,0,0,0.000675219446320054,0,0,0,0.000675219446320054,0,0,0,3,6,1,0,7,4,2,1,1,0,8,0.00202565833896016,0.00405131667792032,0.000675219446320054,0,0.00472653612424038,0.00270087778528022,0.00135043889264011,0.000675219446320054,0.000675219446320054,0,0.00540175557056043,1481,1198,1,7.45354429070417,0.000675219446320054,0.00405131667792032,1481
