"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles"
"2012-01-01","Colombia",17,2,44,3,34,0,4,61,180,18,5,12,49,3,7,14,1,5,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00451407328730749,0.000531067445565587,0.0116834838024429,0.00079660116834838,0.00902814657461498,0,0.00106213489113117,0.0161975570897504,0.0477960701009028,0.00477960701009028,0.00132766861391397,0.00318640467339352,0.0130111524163569,0.00079660116834838,0.00185873605947955,0.00371747211895911,0.000265533722782793,0.00132766861391397,0.0106213489113117,0.0103558151885289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265533722782793,0,55,11,16,0,67,40,5,4,3,43,49,0.0146043547530536,0.00292087095061073,0.00424853956452469,0,0.0177907594264472,0.0106213489113117,0.00132766861391397,0.00106213489113117,0.00079660116834838,0.0114179500796601,0.0130111524163569,3766,2994,6,8.52938796163054,0,0.000265533722782793,3766
"2012-02-01","Colombia",70,5,96,11,65,5,5,95,304,51,4,27,85,16,63,33,2,6,64,84,0,0,0,0,0,2,0,1,4,0,0,4,0,0,0,1,0,1,0,0.00700420252151291,0.000500300180108065,0.00960576345807485,0.00110066039623774,0.00650390234140484,0.000500300180108065,0.000500300180108065,0.00950570342205323,0.0304182509505703,0.00510306183710226,0.000400240144086452,0.00270162097258355,0.0085051030618371,0.00160096057634581,0.00630378226936162,0.00330198118871323,0.000200120072043226,0.000600360216129678,0.00640384230538323,0.00840504302581549,0,0,0,0,0,0.000200120072043226,0,0.000100060036021613,0.000400240144086452,0,0,0.000400240144086452,0,0,0,0.000100060036021613,0,0.000100060036021613,0,108,54,64,0,141,60,13,4,4,52,73,0.0108064838903342,0.0054032419451671,0.00640384230538323,0,0.0141084650790474,0.00600360216129678,0.00130078046828097,0.000400240144086452,0.000400240144086452,0.00520312187312387,0.00730438262957775,9994,8457,32,7.35230964323253,0.000500300180108065,0.000800480288172904,9994
"2012-03-01","Colombia",60,2,93,4,57,0,9,120,256,65,6,36,86,13,92,52,4,24,98,91,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0.00576645843344546,0.000192215281114849,0.00893801057184046,0.000384430562229697,0.00547813551177319,0,0.000864968765016819,0.0115329168668909,0.0246035559827006,0.00624699663623258,0.000576645843344546,0.00345987506006728,0.00826525708793849,0.00124939932724652,0.00884190293128304,0.00499759730898606,0.000384430562229697,0.00230658337337818,0.00941854877462758,0.00874579529072561,0,0,0,0,0,0,0,0,9.61076405574243e-05,0,0.000192215281114849,0,0,0,0,9.61076405574243e-05,0,0,0,113,41,27,1,116,70,20,2,5,45,64,0.0108601633829889,0.0039404132628544,0.00259490629505046,9.61076405574243e-05,0.0111484863046612,0.0067275348390197,0.00192215281114849,0.000192215281114849,0.000480538202787122,0.00432484382508409,0.00615088899567516,10405,8839,35,8.19162938399581,0.000288322921672273,9.61076405574243e-05,10405
"2012-04-01","Colombia",39,0,66,3,60,5,2,209,293,59,4,19,99,12,64,76,4,9,77,71,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,2,3,0,0,0.00376775190802821,0,0.00637619553666312,0.000289827069848324,0.00579654139696648,0.000483045116413873,0.000193218046565549,0.0201912858660999,0.028306443821853,0.0056999323736837,0.000386436093131098,0.00183557144237272,0.00956429330499469,0.0011593082793933,0.00618297749009758,0.00734228576949087,0.000386436093131098,0.000869481209544972,0.00743889479277365,0.006859240653077,0,0,0,0,0,9.66090232827746e-05,0,0,0.000193218046565549,0,0,0.000483045116413873,0,0,0,0.000193218046565549,0.000289827069848324,0,0,68,34,58,0,120,79,31,5,6,66,58,0.00656941358322867,0.00328470679161434,0.00560332335040093,0,0.011593082793933,0.00763211283933919,0.00299487972176601,0.000483045116413873,0.000579654139696648,0.00637619553666312,0.00560332335040093,10351,8779,41,7.25315724632937,0.000386436093131098,0.000869481209544972,10351
"2012-05-01","Colombia",74,0,102,10,42,7,8,116,396,73,3,23,102,7,60,46,1,11,87,121,0,0,0,0,0,3,0,0,15,0,0,2,2,0,0,0,4,1,0,0.00672849609019822,0,0.00927441352973268,0.000909256228405165,0.00381887615930169,0.000636479359883615,0.000727404982724132,0.0105473722494999,0.0360065466448445,0.0066375704673577,0.000272776868521549,0.00209128932533188,0.00927441352973268,0.000636479359883615,0.00545553737043099,0.00418257865066376,9.09256228405165e-05,0.00100018185124568,0.00791052918712493,0.0110020003637025,0,0,0,0,0,0.000272776868521549,0,0,0.00136388434260775,0,0,0.000181851245681033,0.000181851245681033,0,0,0,0.000363702491362066,9.09256228405165e-05,0,89,36,37,1,129,101,11,5,9,59,76,0.00809238043280596,0.00327332242225859,0.00336424804509911,9.09256228405165e-05,0.0117294053464266,0.00918348790689216,0.00100018185124568,0.000454628114202582,0.000818330605564648,0.00536461174759047,0.00691034733587925,10998,9280,38,7.71928862258397,9.09256228405165e-05,0.00236406619385343,10998
"2012-06-01","Colombia",65,1,86,16,47,5,1,120,260,153,3,24,60,11,38,65,2,15,47,72,0,0,0,1,0,0,0,1,1,0,0,3,0,0,1,1,0,1,0,0.00792682926829268,0.000121951219512195,0.0104878048780488,0.00195121951219512,0.00573170731707317,0.000609756097560976,0.000121951219512195,0.0146341463414634,0.0317073170731707,0.0186585365853659,0.000365853658536585,0.00292682926829268,0.00731707317073171,0.00134146341463415,0.00463414634146341,0.00792682926829268,0.00024390243902439,0.00182926829268293,0.00573170731707317,0.00878048780487805,0,0,0,0.000121951219512195,0,0,0,0.000121951219512195,0.000121951219512195,0,0,0.000365853658536585,0,0,0.000121951219512195,0.000121951219512195,0,0.000121951219512195,0,69,34,30,1,106,75,6,3,5,71,54,0.00841463414634146,0.00414634146341463,0.00365853658536585,0.000121951219512195,0.0129268292682927,0.00914634146341463,0.000731707317073171,0.000365853658536585,0.000609756097560976,0.00865853658536585,0.00658536585365854,8200,6723,32,8.77658278420628,0.00024390243902439,0.000853658536585366,8200
"2012-07-01","Colombia",48,1,106,29,56,8,8,124,317,70,4,28,93,10,52,51,5,17,62,113,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0.00542802216442384,0.000113083795092163,0.0119868822797693,0.00327943005767274,0.00633269252516114,0.000904670360737306,0.000904670360737306,0.0140223905914282,0.0358475630442158,0.00791586565645143,0.000452335180368653,0.00316634626258057,0.0105167929435712,0.00113083795092163,0.00588035734479249,0.00576727354970033,0.000565418975460816,0.00192242451656678,0.00701119529571412,0.0127784688454145,0,0,0.000113083795092163,0,0.000113083795092163,0,0,0,0.000226167590184327,0,0.000113083795092163,0,0,0,0,0.000113083795092163,0,0.000113083795092163,0,107,29,27,2,125,54,11,7,5,75,70,0.0120999660748615,0.00327943005767274,0.00305326246748841,0.000226167590184327,0.0141354743865204,0.00610652493497682,0.0012439217460138,0.000791586565645143,0.000565418975460816,0.00848128463191225,0.00791586565645143,8843,7231,42,9.07062751926769,0.00033925138527649,0.000452335180368653,8843
"2012-08-01","Colombia",57,5,69,4,138,5,14,103,297,43,3,24,66,7,89,69,4,7,77,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.00647138964577657,0.000567665758401453,0.00783378746594005,0.000454132606721163,0.0156675749318801,0.000567665758401453,0.00158946412352407,0.0116939146230699,0.0337193460490463,0.0048819255222525,0.000340599455040872,0.00272479564032698,0.00749318801089918,0.000794732061762035,0.0101044504995459,0.00783378746594005,0.000454132606721163,0.000794732061762035,0.00874205267938238,0.00874205267938238,0,0,0,0,0,0,0,0,0,0,0,0.000113533151680291,0,0,0,0.000113533151680291,0,0,0,83,33,18,1,110,70,8,10,5,73,82,0.00942325158946412,0.00374659400544959,0.00204359673024523,0.000113533151680291,0.012488646684832,0.00794732061762034,0.000908265213442325,0.00113533151680291,0.000567665758401453,0.00828792007266122,0.00930971843778383,8808,7243,31,8.61499160019224,0.000227066303360581,0,8808
"2012-09-01","Colombia",77,2,91,8,160,4,1,120,274,49,6,12,78,9,64,32,2,11,73,58,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0.00802334062727936,0.000208398457851412,0.00948212983223924,0.000833593831405648,0.016671876628113,0.000416796915702824,0.000104199228925706,0.0125039074710847,0.0285505887256434,0.00510576221735959,0.000625195373554236,0.00125039074710847,0.00812753985620506,0.000937793060331354,0.00666875065124518,0.00333437532562259,0.000208398457851412,0.00114619151818277,0.00760654371157653,0.00604355527769094,0,0,0,0,0,0,0,0,0.000104199228925706,0,0,0.000208398457851412,0,0,0.000104199228925706,0,0,0.000104199228925706,0,93,55,27,1,131,75,6,7,1,79,75,0.00969052829009065,0.00573095759091383,0.00281337918099406,0.000104199228925706,0.0136500989892675,0.00781494216942795,0.000625195373554236,0.000729394602479942,0.000104199228925706,0.00823173908513077,0.00781494216942795,9597,8011,21,6.90680556017642,0.000104199228925706,0.000416796915702824,9597
"2012-10-01","Colombia",76,2,116,4,133,7,4,144,280,93,7,23,88,16,85,54,2,7,73,67,0,0,0,0,0,1,0,0,3,0,0,4,1,0,0,0,1,2,0,0.0080653719622201,0.000212246630584739,0.0123103045739149,0.000424493261169479,0.0141144009338852,0.000742863207046588,0.000424493261169479,0.0152817574021012,0.0297145282818635,0.00986946832219038,0.000742863207046588,0.0024408362517245,0.00933885174572854,0.00169797304467792,0.00902048179985143,0.00573065902578797,0.000212246630584739,0.000742863207046588,0.00774700201634299,0.00711026212458877,0,0,0,0,0,0.00010612331529237,0,0,0.000318369945877109,0,0,0.000424493261169479,0.00010612331529237,0,0,0,0.00010612331529237,0.000212246630584739,0,85,43,35,3,130,104,6,8,8,38,52,0.00902048179985143,0.0045633025575719,0.00371431603523294,0.000318369945877109,0.0137960309880081,0.0110368247904065,0.000636739891754218,0.000848986522338958,0.000848986522338958,0.00403268598111005,0.00551841239520323,9423,7749,34,8.0239684640307,0.000636739891754218,0.000636739891754218,9423
