"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","guardian.ng","thenewsnigeria.com.ng","vanguardngr.com","thenationonlineng.net"
"2013-01-01","Nigeria",22,3,21,5,27,0,1,58,84,15,0,22,43,12,13,14,3,12,60,36,1,1,0,0,0,1,4,0,1,0,2,0,0,0,1,2,0,0,0,0,1,1,0.00947051226861817,0.0012914334911752,0.00904003443822643,0.00215238915195867,0.0116229014205768,0,0.000430477830391735,0.0249677141627206,0.0361601377529057,0.00645716745587602,0,0.00947051226861817,0.0185105467068446,0.00516573396470082,0.00559621179509255,0.00602668962548429,0.0012914334911752,0.00516573396470082,0.0258286698235041,0.0154972018941025,0.000430477830391735,0.000430477830391735,0,0,0,0.000430477830391735,0.00172191132156694,0,0.000430477830391735,0,0.00086095566078347,0,0,0,0.000430477830391735,0.00086095566078347,0,0,0,0,0.000430477830391735,0.000430477830391735,53,25,33,1,56,18,5,6,5,26,31,0.0228153250107619,0.0107619457597934,0.0142057684029272,0.000430477830391735,0.0241067585019372,0.00774860094705123,0.00215238915195867,0.00258286698235041,0.00215238915195867,0.0111924235901851,0.0133448127421438,2323,1687,8,3.84744307329669,0.00430477830391735,0.00215238915195867,2323,0,0,1,1
"2013-02-01","Nigeria",15,0,23,6,31,1,3,26,97,17,1,10,62,7,30,42,5,21,66,76,2,0,0,0,0,1,6,0,1,1,8,0,1,0,2,1,0,0,1,0,2,1,0.00619834710743802,0,0.00950413223140496,0.00247933884297521,0.0128099173553719,0.000413223140495868,0.0012396694214876,0.0107438016528926,0.0400826446280992,0.00702479338842975,0.000413223140495868,0.00413223140495868,0.0256198347107438,0.00289256198347107,0.012396694214876,0.0173553719008264,0.00206611570247934,0.00867768595041322,0.0272727272727273,0.031404958677686,0.000826446280991736,0,0,0,0,0.000413223140495868,0.00247933884297521,0,0.000413223140495868,0.000413223140495868,0.00330578512396694,0,0.000413223140495868,0,0.000826446280991736,0.000413223140495868,0,0,0.000413223140495868,0,0.000826446280991736,0.000413223140495868,50,20,25,1,66,23,5,6,7,24,37,0.0206611570247934,0.00826446280991736,0.0103305785123967,0.000413223140495868,0.0272727272727273,0.00950413223140496,0.00206611570247934,0.00247933884297521,0.00289256198347107,0.00991735537190083,0.0152892561983471,2420,1703,17,5.05867730263832,0.00619834710743802,0.00495867768595041,2420,0,0,1,1
"2013-03-01","Nigeria",11,0,36,6,33,3,0,51,75,16,0,13,46,6,23,24,2,8,115,47,2,1,0,0,0,1,0,0,0,0,7,1,0,0,1,0,0,0,1,0,0,0,0.00417774401823016,0,0.0136726167869351,0.00227876946448918,0.0125332320546905,0.00113938473224459,0,0.019369540448158,0.0284846183061147,0.00607671857197114,0,0.00493733383972655,0.017470565894417,0.00227876946448918,0.00873528294720851,0.0091150778579567,0.000759589821496392,0.00303835928598557,0.0436764147360425,0.0178503608051652,0.000759589821496392,0.000379794910748196,0,0,0,0.000379794910748196,0,0,0,0,0.00265856437523737,0.000379794910748196,0,0,0.000379794910748196,0,0,0,0.000379794910748196,0,0,0,50,23,33,0,76,23,4,3,7,28,28,0.0189897455374098,0.00873528294720851,0.0125332320546905,0,0.0288644132168629,0.00873528294720851,0.00151917964299278,0.00113938473224459,0.00265856437523737,0.0106342575009495,0.0106342575009495,2633,1916,4,1.99500687140402,0.00151917964299278,0.00417774401823016,2633,0,0,1,1
"2013-04-01","Nigeria",14,3,20,6,31,2,0,43,68,11,2,4,41,14,27,27,4,10,76,35,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0.00567490879610863,0.00121605188488042,0.00810701256586948,0.00243210376976084,0.0125658694770977,0.000810701256586948,0,0.0174300770166194,0.0275638427239562,0.00445885691122821,0.000810701256586948,0.0016214025131739,0.0166193757600324,0.00567490879610863,0.0109444669639238,0.0109444669639238,0.0016214025131739,0.00405350628293474,0.030806647750304,0.0141872719902716,0,0,0,0,0,0,0.000810701256586948,0,0,0,0.000405350628293474,0,0,0,0.00121605188488042,0,0,0,0.000405350628293474,0,0.000405350628293474,0,56,24,20,1,69,12,3,8,6,17,30,0.0226996351844345,0.00972841507904337,0.00810701256586948,0.000405350628293474,0.0279691933522497,0.00486420753952169,0.00121605188488042,0.00324280502634779,0.00243210376976084,0.00689096068098906,0.0121605188488042,2467,1836,4,3.30391046096778,0.00202675314146737,0.00121605188488042,2467,0,0,1,1
"2013-05-01","Nigeria",31,1,58,14,30,6,2,52,95,29,40,17,49,14,37,24,9,16,88,62,0,0,1,0,1,0,3,1,0,0,1,1,0,0,3,0,1,0,3,0,1,1,0.0109039746746395,0.000351741118536757,0.0204009848751319,0.0049243756595146,0.0105522335561027,0.00211044671122054,0.000703482237073514,0.0182905381639114,0.0334154062609919,0.010200492437566,0.0140696447414703,0.00597959901512487,0.0172353148083011,0.0049243756595146,0.01301442138586,0.00844178684488217,0.00316567006683081,0.00562785789658811,0.0309532184312346,0.0218079493492789,0,0,0.000351741118536757,0,0.000351741118536757,0,0.00105522335561027,0.000351741118536757,0,0,0.000351741118536757,0.000351741118536757,0,0,0.00105522335561027,0,0.000351741118536757,0,0.00105522335561027,0,0.000351741118536757,0.000351741118536757,61,31,35,1,64,27,5,6,8,21,23,0.0214562082307422,0.0109039746746395,0.0123109391487865,0.000351741118536757,0.0225114315863524,0.00949701020049244,0.00175870559268378,0.00211044671122054,0.00281392894829406,0.0073865634892719,0.00809004572634541,2843,1969,5,3.57276539152585,0.00175870559268378,0.00422089342244108,2843,0,0,1,1
"2013-06-01","Nigeria",20,2,41,4,30,0,1,52,65,18,5,8,31,9,32,27,1,16,50,36,2,0,1,0,0,1,4,2,1,0,3,1,0,0,8,1,0,0,0,1,0,1,0.00751314800901578,0.000751314800901578,0.0154019534184823,0.00150262960180316,0.0112697220135237,0,0.000375657400450789,0.019534184823441,0.0244177310293013,0.0067618332081142,0.00187828700225394,0.00300525920360631,0.0116453794139745,0.0033809166040571,0.0120210368144252,0.0101427498121713,0.000375657400450789,0.00601051840721262,0.0187828700225394,0.0135236664162284,0.000751314800901578,0,0.000375657400450789,0,0,0.000375657400450789,0.00150262960180316,0.000751314800901578,0.000375657400450789,0,0.00112697220135237,0.000375657400450789,0,0,0.00300525920360631,0.000375657400450789,0,0,0,0.000375657400450789,0,0.000375657400450789,58,22,34,2,80,25,8,5,6,15,15,0.0217881292261458,0.00826446280991736,0.0127723516153268,0.000751314800901578,0.0300525920360631,0.00939143501126972,0.00300525920360631,0.00187828700225394,0.00225394440270473,0.00563486100676183,0.00563486100676183,2662,2008,6,3.11220999486634,0.00638617580766341,0.0033809166040571,2662,0,0,1,1
"2013-07-01","Nigeria",21,1,48,14,40,6,1,39,108,22,4,12,51,4,46,28,2,18,65,50,0,0,1,1,2,1,4,3,0,0,5,0,0,1,4,2,0,1,0,1,2,3,0.0073196235622168,0.000348553502962705,0.0167305681422098,0.00487974904147787,0.0139421401185082,0.00209132101777623,0.000348553502962705,0.0135935866155455,0.0376437783199721,0.00766817706517951,0.00139421401185082,0.00418264203555246,0.0177762286510979,0.00139421401185082,0.0160334611362844,0.00975949808295573,0.00069710700592541,0.00627396305332869,0.0226559776925758,0.0174276751481352,0,0,0.000348553502962705,0.000348553502962705,0.00069710700592541,0.000348553502962705,0.00139421401185082,0.00104566050888811,0,0,0.00174276751481352,0,0,0.000348553502962705,0.00139421401185082,0.00069710700592541,0,0.000348553502962705,0,0.000348553502962705,0.00069710700592541,0.00104566050888811,82,25,35,1,88,23,8,6,12,24,21,0.0285813872429418,0.00871383757406762,0.0121993726036947,0.000348553502962705,0.030672708260718,0.00801673056814221,0.00278842802370164,0.00209132101777623,0.00418264203555246,0.00836528407110491,0.0073196235622168,2869,2048,8,3.8387518490727,0.00383408853258975,0.0069710700592541,2869,0,0,1,1
"2013-08-01","Nigeria",20,2,60,11,41,3,0,37,57,15,1,9,35,14,39,21,3,17,90,28,0,1,0,1,0,0,8,3,3,0,3,2,0,0,10,2,0,0,1,1,1,1,0.00751597143930853,0.000751597143930853,0.0225479143179256,0.00413378429161969,0.0154077414505825,0.00112739571589628,0,0.0139045471627208,0.0214205186020293,0.0056369785794814,0.000375798571965427,0.00338218714768884,0.0131529500187899,0.00526118000751597,0.0146561443066516,0.00789177001127396,0.00112739571589628,0.00638857572341225,0.0338218714768884,0.0105223600150319,0,0.000375798571965427,0,0.000375798571965427,0,0,0.00300638857572341,0.00112739571589628,0.00112739571589628,0,0.00112739571589628,0.000751597143930853,0,0,0.00375798571965427,0.000751597143930853,0,0,0.000375798571965427,0.000375798571965427,0.000375798571965427,0.000375798571965427,51,25,29,0,83,17,4,3,5,30,18,0.0191657271702368,0.00939496429913566,0.0108981585869974,0,0.0311912814731304,0.00638857572341225,0.00150319428786171,0.00112739571589628,0.00187899285982713,0.0112739571589628,0.00676437429537768,2661,1948,3,2.62798498896709,0.0108981585869974,0.00338218714768884,2661,0,0,1,1
"2013-09-01","Nigeria",15,2,63,7,22,1,1,47,64,18,2,11,37,12,26,36,4,10,99,36,0,1,1,0,0,0,5,2,0,0,4,0,1,0,6,3,0,1,2,0,0,1,0.00598086124401914,0.000797448165869219,0.0251196172248804,0.00279106858054226,0.0087719298245614,0.000398724082934609,0.000398724082934609,0.0187400318979266,0.025518341307815,0.00717703349282297,0.000797448165869219,0.0043859649122807,0.0147527910685805,0.00478468899521531,0.0103668261562998,0.0143540669856459,0.00159489633173844,0.00398724082934609,0.0394736842105263,0.0143540669856459,0,0.000398724082934609,0.000398724082934609,0,0,0,0.00199362041467305,0.000797448165869219,0,0,0.00159489633173844,0,0.000398724082934609,0,0.00239234449760766,0.00119617224880383,0,0.000398724082934609,0.000797448165869219,0,0,0.000398724082934609,65,38,26,2,59,24,8,2,10,14,18,0.0259170653907496,0.0151515151515152,0.0103668261562998,0.000797448165869219,0.0235247208931419,0.00956937799043062,0.00318979266347687,0.000797448165869219,0.00398724082934609,0.00558213716108453,0.00717703349282297,2508,1792,2,3.19223541608642,0.00478468899521531,0.00677830940988836,2508,0,0,1,1
"2013-10-01","Nigeria",14,1,66,17,36,3,0,55,61,8,6,9,37,8,43,23,4,20,69,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.00543267365153279,0.000388048117966628,0.0256111757857974,0.00659681800543267,0.0139697322467986,0.00116414435389988,0,0.0213426464881645,0.0236709351959643,0.00310438494373302,0.00232828870779977,0.00349243306169965,0.0143577803647652,0.00310438494373302,0.016686069072565,0.00892510671323244,0.00155219247186651,0.00776096235933256,0.0267753201396973,0.0124175397749321,0,0,0,0,0,0,0,0,0,0,0.000776096235933256,0,0,0,0.000388048117966628,0,0,0,0,0,0,0,35,20,28,0,70,27,3,4,7,17,29,0.013581684128832,0.00776096235933256,0.0108653473030656,0,0.0271633682576639,0.010477299185099,0.00116414435389988,0.00155219247186651,0.0027163368257664,0.00659681800543267,0.0112533954210322,2577,1884,19,2.56608272340404,0.000388048117966628,0.000776096235933256,2577,0,0,1,1
