"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","newvision.co.ug","nilepost.co.ug","sunrise.ug","eagle.co.ug"
"2012-11-01","Uganda",0,0,7,0,18,1,1,11,21,6,0,15,17,0,8,2,0,3,3,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0134099616858238,0,0.0344827586206897,0.00191570881226054,0.00191570881226054,0.0210727969348659,0.0402298850574713,0.0114942528735632,0,0.028735632183908,0.0325670498084291,0,0.0153256704980843,0.00383141762452107,0,0.00574712643678161,0.00574712643678161,0.0421455938697318,0,0,0,0,0,0,0,0.00191570881226054,0,0,0,0,0,0,0,0,3,1,7,0,9,5,1,0,0,0,2,0.00574712643678161,0.00191570881226054,0.0134099616858238,0,0.0172413793103448,0.00957854406130268,0.00191570881226054,0,0,0,0.00383141762452107,522,384,1,6.31213761339733,0,0.00191570881226054,522,1,0,1,0
"2012-12-01","Uganda",4,0,3,1,17,0,0,3,11,11,1,3,9,4,7,4,0,2,1,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.00675675675675676,0,0.00506756756756757,0.00168918918918919,0.0287162162162162,0,0,0.00506756756756757,0.0185810810810811,0.0185810810810811,0.00168918918918919,0.00506756756756757,0.0152027027027027,0.00675675675675676,0.0118243243243243,0.00675675675675676,0,0.00337837837837838,0.00168918918918919,0.0118243243243243,0,0,0,0.00168918918918919,0,0,0,0.00168918918918919,0,0,0,0,0,0,0,0.00168918918918919,5,3,6,0,13,8,0,1,0,4,2,0.00844594594594595,0.00506756756756757,0.0101351351351351,0,0.0219594594594595,0.0135135135135135,0,0.00168918918918919,0,0.00675675675675676,0.00337837837837838,592,475,5,2.5986009764221,0.00168918918918919,0.00337837837837838,592,1,0,0,0
"2013-01-01","Uganda",6,1,5,1,8,4,0,4,14,6,0,4,13,6,3,2,0,6,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0108499095840868,0.00180831826401447,0.00904159132007233,0.00180831826401447,0.0144665461121157,0.00723327305605787,0,0.00723327305605787,0.0253164556962025,0.0108499095840868,0,0.00723327305605787,0.0235081374321881,0.0108499095840868,0.0054249547920434,0.00361663652802893,0,0.0108499095840868,0.0054249547920434,0.00361663652802893,0,0,0,0,0,0,0,0.00180831826401447,0,0,0,0,0,0,0,0,4,4,9,0,11,7,2,1,0,2,3,0.00723327305605787,0.00723327305605787,0.0162748643761302,0,0.0198915009041591,0.0126582278481013,0.00361663652802893,0.00180831826401447,0,0.00361663652802893,0.0054249547920434,553,442,1,4.13462356532998,0,0.00180831826401447,553,1,0,0,0
"2013-02-01","Uganda",0,0,4,1,2,0,0,2,4,4,0,2,3,2,1,0,0,0,2,6,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.00968523002421308,0.00242130750605327,0.00484261501210654,0,0,0.00484261501210654,0.00968523002421308,0.00968523002421308,0,0.00484261501210654,0.00726392251815981,0.00484261501210654,0.00242130750605327,0,0,0,0.00484261501210654,0.0145278450363196,0.00242130750605327,0.00242130750605327,0,0,0,0,0,0.00726392251815981,0,0,0,0,0,0,0,0,2,2,2,0,10,8,0,0,1,1,0,0.00484261501210654,0.00484261501210654,0.00484261501210654,0,0.0242130750605327,0.0193704600484262,0,0,0.00242130750605327,0.00242130750605327,0,413,358,1,0.856014376481554,0.00484261501210654,0.00726392251815981,413,1,0,0,0
"2013-03-01","Uganda",0,0,9,2,5,0,0,5,8,5,0,3,9,2,2,2,1,2,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01875,0.00416666666666667,0.0104166666666667,0,0,0.0104166666666667,0.0166666666666667,0.0104166666666667,0,0.00625,0.01875,0.00416666666666667,0.00416666666666667,0.00416666666666667,0.00208333333333333,0.00416666666666667,0.00416666666666667,0.00625,0,0,0,0,0,0,0,0.00208333333333333,0,0,0,0,0,0,0,0,3,4,4,1,9,11,0,0,0,0,1,0.00625,0.00833333333333333,0.00833333333333333,0.00208333333333333,0.01875,0.0229166666666667,0,0,0,0,0.00208333333333333,480,401,2,1.85994123929073,0,0.00208333333333333,480,1,0,1,0
"2013-04-01","Uganda",3,1,9,1,7,2,0,7,7,8,0,0,11,2,5,7,0,3,2,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0.00401606425702811,0.00133868808567604,0.0120481927710843,0.00133868808567604,0.00937081659973226,0.00267737617135207,0,0.00937081659973226,0.00937081659973226,0.0107095046854083,0,0,0.0147255689424364,0.00267737617135207,0.00669344042838019,0.00937081659973226,0,0.00401606425702811,0.00267737617135207,0.00133868808567604,0,0,0,0.00133868808567604,0,0,0,0.00401606425702811,0.00133868808567604,0,0,0,0,0,0,0,6,10,6,0,16,13,1,0,0,2,3,0.00803212851405622,0.0133868808567604,0.00803212851405622,0,0.0214190093708166,0.0174029451137885,0.00133868808567604,0,0,0.00267737617135207,0.00401606425702811,747,630,4,1.42141096356877,0.00133868808567604,0.00669344042838019,747,1,0,0,0
"2013-05-01","Uganda",3,4,3,0,5,0,0,11,6,6,0,3,0,1,4,4,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604838709677419,0.00806451612903226,0.00604838709677419,0,0.0100806451612903,0,0,0.0221774193548387,0.0120967741935484,0.0120967741935484,0,0.00604838709677419,0,0.00201612903225806,0.00806451612903226,0.00806451612903226,0.0141129032258065,0,0.00403225806451613,0,0.00201612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,5,8,0,1,0,4,3,0.00403225806451613,0.00403225806451613,0.00403225806451613,0,0.0100806451612903,0.0161290322580645,0,0.00201612903225806,0,0.00806451612903226,0.00604838709677419,496,412,2,2.64453924415663,0.00201612903225806,0,496,1,0,1,0
"2013-06-01","Uganda",3,1,3,1,12,0,2,9,16,9,1,1,15,5,10,3,3,2,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.00481540930979133,0.00160513643659711,0.00481540930979133,0.00160513643659711,0.0192616372391653,0,0.00321027287319422,0.014446227929374,0.0256821829855538,0.014446227929374,0.00160513643659711,0.00160513643659711,0.0240770465489567,0.00802568218298555,0.0160513643659711,0.00481540930979133,0.00481540930979133,0.00321027287319422,0.00802568218298555,0.00160513643659711,0,0,0,0,0,0,0,0.00481540930979133,0,0,0,0,0,0,0,0,2,9,6,0,10,15,1,0,1,2,1,0.00321027287319422,0.014446227929374,0.00963081861958266,0,0.0160513643659711,0.0240770465489567,0.00160513643659711,0,0.00160513643659711,0.00321027287319422,0.00160513643659711,623,496,3,3.73827129089867,0,0.00481540930979133,623,1,0,1,0
"2013-07-01","Uganda",5,0,1,1,9,4,0,9,24,9,1,1,19,1,7,3,1,4,3,9,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0.00802568218298555,0,0.00160513643659711,0.00160513643659711,0.014446227929374,0.00642054574638844,0,0.014446227929374,0.0385232744783307,0.014446227929374,0.00160513643659711,0.00160513643659711,0.0304975922953451,0.00160513643659711,0.0112359550561798,0.00481540930979133,0.00160513643659711,0.00642054574638844,0.00481540930979133,0.014446227929374,0,0,0,0,0,0,0.00160513643659711,0.00963081861958266,0.00160513643659711,0,0,0,0,0,0,0,9,5,8,1,16,11,0,1,1,1,0,0.014446227929374,0.00802568218298555,0.0128410914927769,0.00160513643659711,0.0256821829855538,0.0176565008025682,0,0.00160513643659711,0.00160513643659711,0.00160513643659711,0,623,485,10,4.25251414971622,0,0.0128410914927769,623,1,0,1,0
"2013-08-01","Uganda",0,1,5,0,2,1,1,10,7,6,0,0,6,1,2,3,0,1,0,3,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0.00181488203266788,0.00907441016333938,0,0.00362976406533575,0.00181488203266788,0.00181488203266788,0.0181488203266788,0.0127041742286751,0.0108892921960073,0,0,0.0108892921960073,0.00181488203266788,0.00362976406533575,0.00544464609800363,0,0.00181488203266788,0,0.00544464609800363,0,0,0,0.00181488203266788,0,0,0,0.00544464609800363,0.00181488203266788,0,0,0,0.00181488203266788,0,0,0,5,8,2,0,2,9,0,1,2,2,1,0.00907441016333938,0.014519056261343,0.00362976406533575,0,0.00362976406533575,0.0163339382940109,0,0.00181488203266788,0.00362976406533575,0.00362976406533575,0.00181488203266788,551,477,23,0.915428853102439,0.00181488203266788,0.00907441016333938,551,1,0,0,0
