"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","kbc.co.ke","citizen.digital"
"2012-01-01","Kenya",4,2,28,6,11,0,3,10,56,13,0,4,18,4,5,10,1,0,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00628930817610063,0.00314465408805031,0.0440251572327044,0.00943396226415094,0.0172955974842767,0,0.00471698113207547,0.0157232704402516,0.0880503144654088,0.020440251572327,0,0.00628930817610063,0.0283018867924528,0.00628930817610063,0.00786163522012579,0.0157232704402516,0.00157232704402516,0,0.0455974842767296,0.0172955974842767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,24,8,0,0,1,3,3,0.00314465408805031,0.0125786163522013,0.0125786163522013,0,0.0377358490566038,0.0125786163522013,0,0,0.00157232704402516,0.00471698113207547,0.00471698113207547,636,390,2,7.77834388610603,0,0,636,0,0
"2012-02-01","Kenya",2,0,27,6,10,0,0,9,27,24,0,1,13,2,11,8,1,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00301204819277108,0,0.0406626506024096,0.00903614457831325,0.0150602409638554,0,0,0.0135542168674699,0.0406626506024096,0.036144578313253,0,0.00150602409638554,0.019578313253012,0.00301204819277108,0.016566265060241,0.0120481927710843,0.00150602409638554,0.00451807228915663,0.0105421686746988,0.0150602409638554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,25,13,1,0,1,0,2,0.00451807228915663,0.00753012048192771,0.0135542168674699,0,0.0376506024096386,0.019578313253012,0.00150602409638554,0,0.00150602409638554,0,0.00301204819277108,664,466,12,3.8910886987399,0,0,664,0,0
"2012-03-01","Kenya",8,0,27,6,15,2,0,16,24,10,0,3,13,3,15,12,0,9,10,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00988875154511743,0,0.0333745364647713,0.00741656365883807,0.0185414091470952,0.00247218788627936,0,0.0197775030902349,0.0296662546353523,0.0123609394313968,0,0.00370828182941904,0.0160692212608158,0.00370828182941904,0.0185414091470952,0.0148331273176761,0,0.0111248454882571,0.0123609394313968,0.0234857849196539,0,0,0,0,0,0,0,0.00123609394313968,0,0,0,0,0,0,0,0,0,4,2,9,0,23,13,0,0,2,3,5,0.00494437577255871,0.00247218788627936,0.0111248454882571,0,0.0284301606922126,0.0160692212608158,0,0,0.00247218788627936,0.00370828182941904,0.00618046971569839,809,575,8,3.89835685363371,0,0.00123609394313968,809,0,0
"2012-04-01","Kenya",1,1,15,7,13,0,0,30,28,16,1,4,17,5,2,17,2,7,10,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.00137741046831956,0.00137741046831956,0.0206611570247934,0.00964187327823691,0.0179063360881543,0,0,0.0413223140495868,0.0385674931129477,0.0220385674931129,0.00137741046831956,0.00550964187327824,0.0234159779614325,0.0068870523415978,0.00275482093663912,0.0234159779614325,0.00275482093663912,0.00964187327823691,0.0137741046831956,0.0165289256198347,0,0,0,0,0,0,0,0.00137741046831956,0,0,0,0,0,0,0,0,0.00137741046831956,4,8,9,0,14,24,3,0,2,5,1,0.00550964187327824,0.0110192837465565,0.012396694214876,0,0.0192837465564738,0.0330578512396694,0.00413223140495868,0,0.00275482093663912,0.0068870523415978,0.00137741046831956,726,491,6,4.5125959930285,0,0.00275482093663912,726,0,0
"2012-05-01","Kenya",2,0,29,0,11,0,0,30,26,16,2,2,11,8,6,10,0,10,13,29,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.00241837968561064,0,0.0350665054413543,0,0.0133010882708585,0,0,0.0362756952841596,0.0314389359129383,0.0193470374848851,0.00241837968561064,0.00241837968561064,0.0133010882708585,0.00967351874244256,0.00725513905683192,0.0120918984280532,0,0.0120918984280532,0.0157194679564692,0.0350665054413543,0,0,0,0,0,0,0,0.00241837968561064,0,0,0,0,0,0,0,0,0,7,3,14,2,35,8,6,0,3,7,7,0.00846432889963724,0.00362756952841596,0.0169286577992745,0.00241837968561064,0.0423216444981862,0.00967351874244256,0.00725513905683192,0,0.00362756952841596,0.00846432889963724,0.00846432889963724,827,557,10,3.60139481570885,0,0.00241837968561064,827,0,0
"2012-06-01","Kenya",3,1,28,4,12,0,0,17,33,23,0,3,14,4,2,9,1,10,10,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00387096774193548,0.00129032258064516,0.0361290322580645,0.00516129032258065,0.0154838709677419,0,0,0.0219354838709677,0.0425806451612903,0.0296774193548387,0,0.00387096774193548,0.0180645161290323,0.00516129032258065,0.00258064516129032,0.0116129032258065,0.00129032258064516,0.0129032258064516,0.0129032258064516,0.0245161290322581,0,0,0,0,0,0,0,0,0,0,0.00129032258064516,0,0,0,0,0,0,4,8,5,0,25,19,0,0,0,1,4,0.00516129032258065,0.0103225806451613,0.00645161290322581,0,0.032258064516129,0.0245161290322581,0,0,0,0.00129032258064516,0.00516129032258065,775,534,17,4.47818203205663,0.00129032258064516,0,775,0,0
"2012-07-01","Kenya",10,5,37,8,12,1,1,10,40,17,0,11,13,8,2,11,0,7,24,17,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0.0113636363636364,0.00568181818181818,0.0420454545454545,0.00909090909090909,0.0136363636363636,0.00113636363636364,0.00113636363636364,0.0113636363636364,0.0454545454545455,0.0193181818181818,0,0.0125,0.0147727272727273,0.00909090909090909,0.00227272727272727,0.0125,0,0.00795454545454545,0.0272727272727273,0.0193181818181818,0,0,0,0,0.00113636363636364,0,0.00227272727272727,0.00340909090909091,0,0,0,0,0,0,0,0,0,6,9,7,0,30,7,2,0,2,5,3,0.00681818181818182,0.0102272727272727,0.00795454545454545,0,0.0340909090909091,0.00795454545454545,0.00227272727272727,0,0.00227272727272727,0.00568181818181818,0.00340909090909091,880,594,24,4.96686449407524,0.00113636363636364,0.00568181818181818,880,0,0
"2012-08-01","Kenya",4,1,40,10,19,1,1,29,38,29,1,3,18,5,17,9,2,7,35,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.00401203610832497,0.00100300902708124,0.0401203610832497,0.0100300902708124,0.0190571715145436,0.00100300902708124,0.00100300902708124,0.0290872617853561,0.0381143430290873,0.0290872617853561,0.00100300902708124,0.00300902708124373,0.0180541624874624,0.00501504513540622,0.0170511534603811,0.00902708124373119,0.00200601805416249,0.00702106318956871,0.0351053159478435,0.0130391173520562,0,0,0,0,0,0,0,0.00100300902708124,0,0,0,0,0,0.00100300902708124,0,0,0.00100300902708124,4,9,8,0,15,10,2,0,1,1,3,0.00401203610832497,0.00902708124373119,0.00802407221664995,0,0.0150451354062187,0.0100300902708124,0.00200601805416249,0,0.00100300902708124,0.00100300902708124,0.00300902708124373,997,688,59,4.76303435373127,0,0.00300902708124373,997,0,0
"2012-09-01","Kenya",6,0,35,4,16,1,0,10,33,18,2,6,14,1,27,12,1,3,39,37,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.0077720207253886,0,0.0453367875647668,0.00518134715025907,0.0207253886010363,0.00129533678756477,0,0.0129533678756477,0.0427461139896373,0.0233160621761658,0.00259067357512953,0.0077720207253886,0.0181347150259067,0.00129533678756477,0.0349740932642487,0.0155440414507772,0.00129533678756477,0.0038860103626943,0.0505181347150259,0.0479274611398964,0,0,0,0,0,0.00129533678756477,0,0.00259067357512953,0,0,0,0,0,0,0,0,0,4,7,7,0,24,13,2,0,2,4,1,0.00518134715025907,0.00906735751295337,0.00906735751295337,0,0.0310880829015544,0.016839378238342,0.00259067357512953,0,0.00259067357512953,0.00518134715025907,0.00129533678756477,772,463,9,6.41468886300956,0,0.0038860103626943,772,0,0
"2012-10-01","Kenya",3,1,24,2,21,2,1,6,41,22,1,8,13,1,13,8,5,13,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00396301188903567,0.00132100396301189,0.0317040951122853,0.00264200792602378,0.0277410832232497,0.00264200792602378,0.00132100396301189,0.00792602377807133,0.0541611624834875,0.0290620871862616,0.00132100396301189,0.0105680317040951,0.0171730515191546,0.00132100396301189,0.0171730515191546,0.0105680317040951,0.00660501981505945,0.0171730515191546,0.0264200792602378,0.0171730515191546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132100396301189,0,0,0,4,3,3,0,33,11,2,2,0,6,9,0.00528401585204756,0.00396301188903567,0.00396301188903567,0,0.0435931307793923,0.0145310435931308,0.00264200792602378,0.00264200792602378,0,0.00792602377807133,0.011889035667107,757,482,4,7.19257270613071,0,0.00132100396301189,757,0,0
