"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","elsalvador.com","diario.elmundo.sv","diarioelsalvador.com","revistafactum.com","gatoencerrado.news"
"2013-04-01","El Salvador",42,1,51,8,39,1,0,106,112,40,0,4,27,5,22,20,0,4,33,9,0,0,0,0,0,2,0,0,1,0,1,0,1,0,1,1,0,1,1,0.0140845070422535,0.000335345405767941,0.017102615694165,0.00268276324614353,0.0130784708249497,0.000335345405767941,0,0.0355466130114017,0.0375586854460094,0.0134138162307176,0,0.00134138162307176,0.00905432595573441,0.0016767270288397,0.0073775989268947,0.00670690811535882,0,0.00134138162307176,0.0110663983903421,0.00301810865191147,0,0,0,0,0,0.000670690811535882,0,0,0.000335345405767941,0,0.000335345405767941,0,0.000335345405767941,0,0.000335345405767941,0.000335345405767941,0,0.000335345405767941,0.000335345405767941,122,23,16,0,92,31,4,1,1,84,23,0.0409121395036888,0.00771294433266264,0.00536552649228706,0,0.0308517773306506,0.0103957075788062,0.00134138162307176,0.000335345405767941,0.000335345405767941,0.028169014084507,0.00771294433266264,2982,2100,10,4.16284907114275,0.00100603621730382,0.00201207243460765,2982,1,1,0,0,0
"2013-05-01","El Salvador",39,2,41,1,53,3,8,61,140,79,2,4,36,8,14,12,1,3,43,8,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0.0124760076775432,0.000639795265515035,0.0131158029430582,0.000319897632757518,0.0169545745361484,0.000959692898272553,0.00255918106206014,0.0195137555982086,0.0447856685860525,0.0252719129878439,0.000639795265515035,0.00127959053103007,0.0115163147792706,0.00255918106206014,0.00447856685860525,0.00383877159309021,0.000319897632757518,0.000959692898272553,0.0137555982085733,0.00255918106206014,0.000319897632757518,0,0,0,0,0.000319897632757518,0,0.000319897632757518,0,0.000319897632757518,0,0,0,0,0,0.000639795265515035,0,0,0,105,31,14,0,98,48,5,2,2,105,30,0.0335892514395393,0.00991682661548304,0.00447856685860525,0,0.0313499680102367,0.0153550863723608,0.00159948816378759,0.000639795265515035,0.000639795265515035,0.0335892514395393,0.00959692898272553,3126,2177,5,4.78896906488289,0.000959692898272553,0.000959692898272553,3126,1,1,0,0,0
"2013-06-01","El Salvador",25,1,51,6,41,4,4,103,115,72,2,4,27,8,37,17,2,3,33,17,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0.00865950813993765,0.000346380325597506,0.0176653966054728,0.00207828195358504,0.0142015933494977,0.00138552130239002,0.00138552130239002,0.0356771735365431,0.0398337374437132,0.0249393834430204,0.000692760651195012,0.00138552130239002,0.00935226879113266,0.00277104260478005,0.0128160720471077,0.0058884655351576,0.000692760651195012,0.00103914097679252,0.0114305507447177,0.0058884655351576,0,0,0,0,0,0,0,0.000346380325597506,0.000692760651195012,0,0,0,0.00103914097679252,0,0,0,0,0,0,107,35,11,0,81,57,4,1,5,85,35,0.0370626948389331,0.0121233113959127,0.00381018358157257,0,0.028056806373398,0.0197436785590578,0.00138552130239002,0.000346380325597506,0.00173190162798753,0.029442327675788,0.0121233113959127,2887,1932,7,4.33337111229621,0.00207828195358504,0,2887,1,0,0,0,0
"2013-07-01","El Salvador",27,3,69,13,40,8,0,91,99,61,3,10,18,3,30,9,7,7,30,20,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00864276568501921,0.000960307298335467,0.0220870678617157,0.00416133162612036,0.0128040973111396,0.00256081946222791,0,0.0291293213828425,0.0316901408450704,0.0195262483994878,0.000960307298335467,0.00320102432778489,0.0057618437900128,0.000960307298335467,0.00960307298335467,0.0028809218950064,0.00224071702944942,0.00224071702944942,0.00960307298335467,0.00640204865556978,0,0,0,0,0,0.000320102432778489,0,0.000320102432778489,0,0,0,0,0,0,0,0.000320102432778489,0,0,0,129,24,7,0,83,45,1,6,1,99,35,0.0412932138284251,0.00768245838668374,0.00224071702944942,0,0.0265685019206146,0.014404609475032,0.000320102432778489,0.00192061459667093,0.000320102432778489,0.0316901408450704,0.0112035851472471,3124,2163,4,4.49529635379773,0.000640204865556978,0.000320102432778489,3124,1,1,0,0,0
"2013-08-01","El Salvador",33,2,58,4,42,3,1,120,113,28,4,5,28,5,36,7,2,0,47,18,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0.0106520335700452,0.000645577792123951,0.0187217559715946,0.0012911555842479,0.013557133634603,0.000968366688185926,0.000322788896061975,0.0387346675274371,0.0364751452550032,0.00903808908973531,0.0012911555842479,0.00161394448030988,0.00903808908973531,0.00161394448030988,0.0116204002582311,0.00225952227243383,0.000645577792123951,0,0.0151710781149128,0.00581020012911556,0,0,0,0,0,0,0.000645577792123951,0,0.000322788896061975,0,0,0,0,0,0,0.000322788896061975,0,0,0,117,22,9,1,129,32,1,1,0,130,27,0.0377663008392511,0.00710135571336346,0.00290510006455778,0.000322788896061975,0.0416397675919948,0.0103292446739832,0.000322788896061975,0.000322788896061975,0,0.0419625564880568,0.00871530019367334,3098,2100,4,2.99242157908691,0.00161394448030988,0,3098,1,1,0,0,0
"2013-09-01","El Salvador",40,3,59,7,31,0,10,74,106,54,2,5,31,15,50,9,3,4,29,13,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0.0134816312773846,0.00101112234580384,0.0198854061341422,0.0023592854735423,0.010448264239973,0,0.00337040781934614,0.0249410178631614,0.0357263228850691,0.0182002022244692,0.000674081563869228,0.00168520390967307,0.010448264239973,0.00505561172901921,0.0168520390967307,0.00303336703741153,0.00101112234580384,0.00134816312773846,0.00977418267610381,0.00438153016514998,0,0.000337040781934614,0,0,0,0.000674081563869228,0,0,0,0.000674081563869228,0,0,0.000337040781934614,0,0,0,0,0,0.000337040781934614,107,23,16,0,85,53,2,0,2,108,32,0.0360633636670037,0.00775193798449612,0.00539265251095383,0,0.0286484664644422,0.0178631614425345,0.000674081563869228,0,0.000674081563869228,0.0364004044489383,0.0107853050219077,2967,2042,4,4.33287170335581,0.00168520390967307,0.000674081563869228,2967,1,1,0,0,0
"2013-10-01","El Salvador",32,4,86,6,26,0,6,93,107,52,0,9,49,1,54,14,3,4,32,22,0,1,0,1,1,1,0,0,0,0,2,0,2,2,0,0,0,1,0,0.0098159509202454,0.00122699386503067,0.0263803680981595,0.00184049079754601,0.00797546012269939,0,0.00184049079754601,0.0285276073619632,0.0328220858895706,0.0159509202453988,0,0.00276073619631902,0.0150306748466258,0.000306748466257669,0.0165644171779141,0.00429447852760736,0.000920245398773006,0.00122699386503067,0.0098159509202454,0.00674846625766871,0,0.000306748466257669,0,0.000306748466257669,0.000306748466257669,0.000306748466257669,0,0,0,0,0.000613496932515337,0,0.000613496932515337,0.000613496932515337,0,0,0,0.000306748466257669,0,101,26,11,2,90,39,4,2,1,103,42,0.0309815950920245,0.00797546012269939,0.00337423312883436,0.000613496932515337,0.0276073619631902,0.0119631901840491,0.00122699386503067,0.000613496932515337,0.000306748466257669,0.0315950920245399,0.0128834355828221,3260,2287,7,3.39334538764862,0.000920245398773006,0.00245398773006135,3260,1,0,0,0,0
"2013-11-01","El Salvador",28,0,72,10,24,5,2,70,121,54,2,13,22,5,35,6,4,7,40,23,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0.00888324873096447,0,0.0228426395939086,0.00317258883248731,0.00761421319796954,0.00158629441624365,0.000634517766497462,0.0222081218274112,0.0383883248730964,0.0171319796954315,0.000634517766497462,0.0041243654822335,0.00697969543147208,0.00158629441624365,0.0111040609137056,0.00190355329949239,0.00126903553299492,0.00222081218274112,0.0126903553299492,0.00729695431472081,0,0,0,0,0,0,0,0.000317258883248731,0.000634517766497462,0,0,0,0,0,0,0,0,0.000951776649746193,0,81,20,14,0,128,38,1,2,2,111,30,0.0256979695431472,0.00634517766497462,0.00444162436548223,0,0.0406091370558376,0.0120558375634518,0.000317258883248731,0.000634517766497462,0.000634517766497462,0.0352157360406091,0.00951776649746193,3152,2213,3,3.63407093849233,0.000951776649746193,0.000951776649746193,3152,1,1,0,0,0
"2013-12-01","El Salvador",24,2,82,9,22,0,0,87,80,50,3,7,34,4,24,17,0,0,26,21,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,2,0.00794701986754967,0.000662251655629139,0.0271523178807947,0.00298013245033113,0.00728476821192053,0,0,0.0288079470198675,0.0264900662251656,0.0165562913907285,0.000993377483443709,0.00231788079470199,0.0112582781456954,0.00132450331125828,0.00794701986754967,0.00562913907284768,0,0,0.00860927152317881,0.00695364238410596,0,0,0,0,0.00033112582781457,0,0,0.00033112582781457,0,0,0,0.00033112582781457,0.00033112582781457,0,0,0.00033112582781457,0,0.00033112582781457,0.000662251655629139,106,20,11,2,54,36,1,2,2,99,35,0.0350993377483444,0.00662251655629139,0.00364238410596027,0.000662251655629139,0.0178807947019868,0.0119205298013245,0.00033112582781457,0.000662251655629139,0.000662251655629139,0.0327814569536424,0.0115894039735099,3020,2197,5,3.23554405521724,0.000662251655629139,0.00198675496688742,3020,1,1,0,0,0
"2014-01-01","El Salvador",25,6,121,4,34,4,5,91,85,48,1,7,27,1,28,3,0,5,44,26,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0.00858221764503948,0.00205973223480947,0.0415379334019911,0.00137315482320632,0.0116718159972537,0.00137315482320632,0.0017164435290079,0.0312392722279437,0.0291795399931342,0.0164778578784758,0.000343288705801579,0.00240302094061105,0.00926879505664264,0.000343288705801579,0.00961208376244422,0.00102986611740474,0,0.0017164435290079,0.0151047030552695,0.00892550635084106,0.000343288705801579,0,0,0,0,0,0,0,0,0,0,0,0.000343288705801579,0,0.000343288705801579,0.000343288705801579,0,0.000343288705801579,0,148,15,13,0,81,28,5,2,2,139,38,0.0508067284586337,0.00514933058702369,0.00446275317542053,0,0.0278063851699279,0.00961208376244422,0.0017164435290079,0.000686577411603158,0.000686577411603158,0.0477171301064195,0.01304497082046,2913,1907,7,2.57785262954061,0.000686577411603158,0.00102986611740474,2913,1,0,0,0,0
