"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","koha.mk","slobodenpecat.mk","skopjediem.com","novamakedonija.com.mk"
2012-11-01,"Macedonia",2,0,0,0,14,0,0,4,3,4,0,0,1,1,4,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.00557103064066852,0,0,0,0.0389972144846797,0,0,0.011142061281337,0.00835654596100279,0.011142061281337,0,0,0.00278551532033426,0.00278551532033426,0.011142061281337,0.00557103064066852,0,0.00557103064066852,0.00278551532033426,0.00557103064066852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00278551532033426,0,0,0,0,0,0.00278551532033426,0,10,6,7,0,5,10,0,0,0,1,30,0.0278551532033426,0.0167130919220056,0.0194986072423398,0,0.0139275766016713,0.0278551532033426,0,0,0,0.00278551532033426,0.0835654596100279,359,258,357,10.2214466996205,0.00278551532033426,0.00278551532033426,359,0,0,0,0
2012-12-01,"Macedonia",1,0,2,1,9,2,0,12,10,6,0,0,1,0,5,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00288184438040346,0,0.00576368876080692,0.00288184438040346,0.0259365994236311,0.00576368876080692,0,0.0345821325648415,0.0288184438040346,0.0172910662824208,0,0,0.00288184438040346,0,0.0144092219020173,0.00576368876080692,0,0,0,0.0172910662824208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288184438040346,0,0,0,0,0,0,8,4,1,0,6,4,1,1,0,6,28,0.0230547550432277,0.0115273775216138,0.00288184438040346,0,0.0172910662824208,0.0115273775216138,0.00288184438040346,0.00288184438040346,0,0.0172910662824208,0.0806916426512968,347,233,346,12.0629907765124,0,0.00576368876080692,347,0,0,0,0
2013-01-01,"Macedonia",0,0,2,2,7,0,0,15,6,4,0,0,0,0,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602409638554217,0.00602409638554217,0.0210843373493976,0,0,0.0451807228915663,0.0180722891566265,0.0120481927710843,0,0,0,0,0.00903614457831325,0,0,0.00301204819277108,0.00301204819277108,0.00903614457831325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,11,6,0,0,0,4,31,0.0180722891566265,0.0150602409638554,0,0,0.0331325301204819,0.0180722891566265,0,0,0,0.0120481927710843,0.0933734939759036,332,225,332,9.73889898507224,0,0,332,0,0,0,0
2013-02-01,"Macedonia",0,1,6,4,8,1,0,12,6,2,0,0,4,1,1,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029940119760479,0.0179640718562874,0.0119760479041916,0.0239520958083832,0.0029940119760479,0,0.0359281437125748,0.0179640718562874,0.00598802395209581,0,0,0.0119760479041916,0.0029940119760479,0.0029940119760479,0.0149700598802395,0,0.0029940119760479,0,0.0149700598802395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,8,9,0,0,1,8,29,0.0119760479041916,0.0179640718562874,0,0,0.0239520958083832,0.0269461077844311,0,0,0.0029940119760479,0.0239520958083832,0.0868263473053892,334,216,334,11.1413938136023,0.0029940119760479,0,334,0,0,0,0
2013-03-01,"Macedonia",2,0,8,2,8,0,0,5,4,1,0,1,2,0,7,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00760456273764259,0,0.0304182509505703,0.00760456273764259,0.0304182509505703,0,0,0.0190114068441065,0.0152091254752852,0.00380228136882129,0,0.00380228136882129,0.00760456273764259,0,0.026615969581749,0,0,0,0.00760456273764259,0.0228136882129278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,7,1,0,0,0,3,26,0.0190114068441065,0.0228136882129278,0.00380228136882129,0,0.026615969581749,0.00380228136882129,0,0,0,0.0114068441064639,0.0988593155893536,263,169,263,12.8134307299548,0,0,263,0,0,0,0
2013-04-01,"Macedonia",2,0,4,3,5,0,0,6,5,3,0,0,2,0,0,2,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00657894736842105,0,0.0131578947368421,0.00986842105263158,0.0164473684210526,0,0,0.0197368421052632,0.0164473684210526,0.00986842105263158,0,0,0.00657894736842105,0,0,0.00657894736842105,0,0.00657894736842105,0.00328947368421053,0.00328947368421053,0,0,0,0,0,0,0,0.00328947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,5,2,0,0,0,5,18,0.0164473684210526,0.0625,0,0,0.0164473684210526,0.00657894736842105,0,0,0,0.0164473684210526,0.0592105263157895,304,216,303,9.61153035707335,0,0.00328947368421053,304,0,0,0,0
2013-05-01,"Macedonia",2,0,0,0,11,0,0,4,5,2,0,1,4,3,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.00615384615384615,0,0,0,0.0338461538461538,0,0,0.0123076923076923,0.0153846153846154,0.00615384615384615,0,0.00307692307692308,0.0123076923076923,0.00923076923076923,0.00923076923076923,0,0,0.00307692307692308,0.00307692307692308,0.00307692307692308,0,0,0,0,0,0,0,0.00307692307692308,0,0,0,0,0,0,0.00307692307692308,0,0,0,0,0,0.00307692307692308,0,9,6,0,0,4,5,0,0,0,7,22,0.0276923076923077,0.0184615384615385,0,0,0.0123076923076923,0.0153846153846154,0,0,0,0.0215384615384615,0.0676923076923077,325,237,322,11.4478143436696,0,0.00923076923076923,325,0,0,0,0
2013-06-01,"Macedonia",1,0,1,0,10,1,0,2,4,1,0,0,0,0,7,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00359712230215827,0,0.00359712230215827,0,0.0359712230215827,0.00359712230215827,0,0.00719424460431655,0.0143884892086331,0.00359712230215827,0,0,0,0,0.0251798561151079,0,0,0.00359712230215827,0.00359712230215827,0.0143884892086331,0,0,0,0,0,0,0,0,0,0,0.00359712230215827,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,4,4,0,0,0,2,16,0.0215827338129496,0.0107913669064748,0.00359712230215827,0,0.0143884892086331,0.0143884892086331,0,0,0,0.00719424460431655,0.0575539568345324,278,210,277,11.9175114982279,0.00719424460431655,0,278,0,0,0,0
2013-07-01,"Macedonia",7,0,0,1,10,0,0,9,4,3,0,0,2,1,2,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.018716577540107,0,0,0.00267379679144385,0.0267379679144385,0,0,0.0240641711229947,0.0106951871657754,0.00802139037433155,0,0,0.0053475935828877,0.00267379679144385,0.0053475935828877,0.00267379679144385,0,0,0.00267379679144385,0.0053475935828877,0,0,0,0,0,0,0,0.00267379679144385,0,0,0.0133689839572193,0,0,0,0,0,0,0,0,0,0,0,9,17,1,0,13,5,0,1,1,10,22,0.0240641711229947,0.0454545454545455,0.00267379679144385,0,0.0347593582887701,0.0133689839572193,0,0.00267379679144385,0.00267379679144385,0.0267379679144385,0.0588235294117647,374,255,368,10.144739566842,0.0133689839572193,0.0133689839572193,374,0,0,0,0
2013-08-01,"Macedonia",0,0,1,1,0,0,0,5,3,4,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00440528634361234,0.00440528634361234,0,0,0,0.0220264317180617,0.013215859030837,0.0176211453744493,0,0,0,0,0.00440528634361234,0,0,0.00440528634361234,0.00881057268722467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,3,1,0,0,0,6,19,0.0308370044052863,0.0176211453744493,0.013215859030837,0,0.013215859030837,0.00440528634361234,0,0,0,0.026431718061674,0.0837004405286344,227,168,227,9.30023511353183,0.00440528634361234,0,227,0,0,0,0
